行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
巴蜀府,交通服务,华欣火车站,Hua Hin Railway Station,火车站,华欣市区；华欣区,51,6,疑似已存在,THXHSFINAL-1331:华欣火车站,固定实体候选,合并既有记录，不新增,适合打卡/交通,1911年拉玛六世时期修建、泰国最美火车站之一、无检票随便进出,"周末华欣Ace of Hua Hin resort酒店躺平
🇹🇭华欣！四天三晚最满意的海边度假酒店
从曼谷花9元坐6个多小时火车去趟华欣值吗？
曼谷去华欣坐车一天搞定🤣
🇹🇭华欣！心中no.1的漂亮度假酒店💚🌴","https://www.xiaohongshu.com/explore/6791c42a0000000018007fa3?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a4f1bf000000002202ea11?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6445161c00000000120336e3?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6918a1d7000000000402a91e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/698089c3000000000a03dda2?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,交通服务,曼谷华南蓬火车站,Hua Lamphong Railway Station,百年火车站/火车博物馆,市中心靠近唐人街,51,1,疑似已存在,THXHSFINAL-0727:华南蓬火车站,固定实体候选,合并既有记录，不新增,适合体验绿皮火车,意大利建筑风格、每天1趟9:20发车到华欣44泰铢约4小时,曼谷～华欣 泰国风情火车🚞 仅44🐷,https://www.xiaohongshu.com/explore/69e07202000000001a033e28?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,康养SPA,Ruen Boran Thai Massage,Ruen Boran Thai Massage,泰式按摩,华欣市区百年建筑内,51,3,疑似已存在,THXHSFINAL-1560:Ruen Boran Thai Massage,固定实体候选,合并既有记录，不新增,适合体验传统泰式按摩,150年历史、泡脚水有香水柠檬和香茅叶、按摩后有芒果糯米饭、足部按摩1小时300泰铢,"泰国华欣 / SPA马杀鸡💆🏼‍♀️Ruen Boran Thai Mass
来华欣都给我来这家马杀鸡！
来华欣发呆看海吃什么🍽️🏝️🐳","https://www.xiaohongshu.com/explore/69d37a40000000001a021f74?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a69d1950000000001000f11?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6985a063000000001b01c455?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,餐饮美食,RaftDara Cafe,RaftDara Cafe,咖啡馆,桂河,27,1,疑似已存在,THXHSFINAL-1521:RaftDara Cafe,固定实体候选,合并既有记录，不新增,下午休闲游客,英伦风环境好、河景治愈、饮品甜点不错,📍北碧3天2夜怎么玩？保姆级攻略🚗⛰️🏡,https://www.xiaohongshu.com/explore/6a675395000000001102e9b1?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,餐饮美食,W Story Cafe Kanchanaburi,W Story Cafe,景观咖啡馆,桂河,27,1,疑似已存在,THXHSFINAL-1522:W Story Cafe Kanchanaburi,固定实体候选,合并既有记录，不新增,摄影游客,山景+桂河景观、两层空间座位多、建议15:00-18:00来光线最美,📍北碧3天2夜怎么玩？保姆级攻略🚗⛰️🏡,https://www.xiaohongshu.com/explore/6a675395000000001102e9b1?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,购物商业,北碧夜市,Kanchanaburi Night Market,夜市,大巴站前面,27,3,疑似已存在,THXHSFINAL-1525:北碧府火车站夜市,固定实体候选,合并既有记录，不新增,刚到/离开游客,特别便宜、打抛饭20泰铢,"北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，
北碧府：泰国的宁静绿洲
全网首发，泰国北碧府3天2夜自助游攻略","https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69046ffe0000000004000821?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,景点观光,爱侣湾瀑布,Erawan Water Fall อุทยานแห่งชาติเอราวัณ,国家公园瀑布,市区外1.5小时车程,27,7,疑似已存在,THXHSFINAL-1329:爱侣湾国家公园(七层瀑布),固定实体候选,合并既有记录，不新增,亲子/徒步游客,7层瀑布、越往上水越清、可玩水游泳免费鱼疗,"⛺️北碧府短途游记｜桂河·瀑布·河畔露营
北碧府：泰国的宁静绿洲
泰国值得去之北碧府（1）
📍北碧3天2夜怎么玩？保姆级攻略🚗⛰️🏡
🌿【北碧府：泰国的隐世治愈系秘境】🌿","https://www.xiaohongshu.com/explore/6a2ec0c10000000021014b11?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69046ffe0000000004000821?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65a228d2000000001a02a44c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a675395000000001102e9b1?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68b961df000000001b021544?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,景点观光,桂河大桥,River Kwai Bridge / สะพานข้ามแม่น้ําแคว,文化古迹与宗教,桂河,27,12,疑似已存在,THXHSFINAL-1300:桂河大桥,固定实体候选,合并既有记录，不新增,历史爱好者,《桂河大桥》电影取景地、可漫步铁桥看火车驶过、日落氛围感强,"北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，
⛺️北碧府短途游记｜桂河·瀑布·河畔露营
北碧府一日游｜神树+寺庙+咖啡+桂河大桥
花200泰铢，坐上泰国最美铁路！
北碧府tips","https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a2ec0c10000000021014b11?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69cf9ef0000000001f0066b4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a648900000000000100f5bc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a843ae000000000250002fa?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,景点观光,虎穴寺,Wat Tham Suea / วัดถ้ําเสือ,文化古迹与宗教,桂河东岸,27,4,疑似已存在,THXHSFINAL-1362:虎穴寺；THXHSFINAL-1437:虎穴寺(Wat Tham Sua)；THXHSFINAL-0806:虎窟寺(Wat Tham Suea),固定实体候选,合并既有记录，不新增,祈福/摄影游客,157级台阶登顶、俯瞰稻田与远山、巨型金佛庄严出片,"北碧府的两家宝藏咖啡馆
北碧府一日游｜神树+寺庙+咖啡+桂河大桥
泰国值得去之北碧府（1）
📍北碧3天2夜怎么玩？保姆级攻略🚗⛰️🏡","https://www.xiaohongshu.com/explore/6a5317a9000000000803f38c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69cf9ef0000000001f0066b4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65a228d2000000001a02a44c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a675395000000001102e9b1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,景点观光,死亡铁路,Death Railway ทางรถไฟสายมรณะ,历史铁路,Tham Krasae段,27,12,疑似已存在,THXHSFINAL-1199:死亡铁路(悬崖栈道),固定实体候选,合并既有记录，不新增,历史/摄影游客,贴着悬崖行驶、一边悬崖一边桂河、电影感拉满,"北碧府的两家宝藏咖啡馆
北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，
北碧府：泰国的宁静绿洲
花200泰铢，坐上泰国最美铁路！
泰国值得去之北碧府（1）","https://www.xiaohongshu.com/explore/6a5317a9000000000803f38c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69046ffe0000000004000821?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a648900000000000100f5bc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65a228d2000000001a02a44c?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
