证据ID,候选ID,问题ID,采集轮次,来源阶段,POI名称,小红书帖子ID,标题,URL,帖子正文,命中名称,帖子类型候选,帖子类型审核,证据片段,证据审核状态,审核备注
EV-F377BE4A3588C6DE,POICAND-9243AD310F1826AE,GYTRAVEL-HV-20260916-0112,1,20260916_贵阳高价值POI精确补采,情人谷,5f2cc5fd000000000100ae29,情人谷,https://www.xiaohongshu.com/explore/5f2cc5fd000000000100ae29?xsec_token_redacted=1&xsec_source=pc_dots,"打卡贵阳市乌当区情人谷
这里可以烧烤🔥🔥
可以玩水💦💦
可以打麻将[萌萌哒R]🎉
烧烤可以自己准备食材也可以在当地农家乐买
重点是这里很凉快🍃🍃
小盆友在这里有玩的
推荐指数⭐️⭐️⭐️⭐️",情人谷,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-43E0AC07F3363F72,POICAND-9243AD310F1826AE,GYTRAVEL-HV-20260916-0112,1,20260916_贵阳高价值POI精确补采,情人谷,651577150000000022028ce7,情人谷去了 挺好玩,https://www.xiaohongshu.com/explore/651577150000000022028ce7?xsec_token_redacted=1&xsec_source=pc_dots,"情人谷 听着名字好听去的 去了也不负众望  人少 很好看
还可以坐在河两边吃烧烤 烤鱼 一些美食 胆子大的可以去瀑布这里拍照 好好看#贵阳[话题]# #中秋旅游[话题]# #贵阳情人谷[话题]#",情人谷,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-200033722B13E9E8,POICAND-9243AD310F1826AE,GYTRAVEL-HV-20260916-0112,1,20260916_贵阳高价值POI精确补采,情人谷,65cf4152000000000b0165a2,6/100|来逛贵阳的浪漫小众地（被遗弃版,https://www.xiaohongshu.com/explore/65cf4152000000000b0165a2?xsec_token_redacted=1&xsec_source=pc_dots,"📍地点：
情人谷是贵州贵阳的一个著名景点，位于贵阳市南郊，距贵阳市中心约25公里。
🏞️景：
情人谷因其独特的地貌和浪漫的传说而闻名，在那里可以欣赏到美丽的自然风光，如清澈的小溪、奇特的岩石和茂密的植被。这里也是许多情侣和游客喜欢前往的地方，被称为""爱情圣地""。
🪽故事：
据说当年一对情侣因为各种原因无法在一起，最终变成了一对相对的山，形成了现在的情人谷，因此也有了""情人谷""这个美丽的名字。游客可以在情人谷漫步，感受浪漫的氛围，欣赏大自然的美景，是一个适合放松心情和享受亲近自然的好去处。
‼️‼️‼️评价：
名字浪漫，环境糟糕，可能人多热闹的 时候好一些吧
可能是因为我去的时候是12月份的冬季，所以没什么人去（好吧，可以直接说成没有人，挺荒废让人害怕的），夏季应该是热门景点，有很多农家乐，烧烤啥的，可以进行野炊。
交通嘛，有点偏，也有公交的导航一下就OK
得自驾（方便，但是夏季停车费20，平常没人不收费，基本没什么人所以没看见小商店，可能夏天就有了吧
空气挺好的，绿水青山，还有一个杨梅采摘园（这是我的猜测，因为一进来就是写着“情人谷杨梅园”
就是给人一种很荒废的感觉！热闹之后的安静，地上河边都有少许白色垃圾
（卫生不过关，但是也的确没人来
‼️‼️‼️⚠️
注意:很老的景点，年久失修，栏杆损坏，存在安全隐患
#大家的春节[话题]# #贵阳旅游[话题]##外出游玩[话题]# #小众旅行地[话题]# #浪漫生活的记录者[话题]# #自然风光分享[话题]# #小众景点[话题]# #旅游[话题]# #旅行[话题]# #不宅在家挑战[话题]# #贵阳旅游[话题]# #贵阳周边游[话题]# #贵阳旅行[话题]# #打卡亲近大自然的好去处[话题]#",情人谷,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-3785DC5234473033,POICAND-9243AD310F1826AE,GYTRAVEL-HV-20260916-0112,1,20260916_贵阳高价值POI精确补采,情人谷,662e5013000000000d0325f0,贵阳｜情人谷,https://www.xiaohongshu.com/explore/662e5013000000000d0325f0?xsec_token_redacted=1&xsec_source=pc_dots,"宝藏周边游-情人谷

自助烧烤68元/人，也可以自带食材，提供烧烤工具，停车免费，要开到河边去
风吹很舒服，可以钓鱼🎣，看有的人可以搭露营帐篷
头顶可以带小朋友近距离看飞机✈️，最近涨水，不然可以带小朋友在河边捞虾

#一起享受大自然的美[话题]# #一日游[话题]# #BBQ[话题]# #露营烤肉[话题]# #家庭烧烤[话题]# #说走就走[话题]# #徒步好风景[话题]# #自然风光分享[话题]#",情人谷,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-955961F977220528,POICAND-9243AD310F1826AE,GYTRAVEL-HV-20260916-0112,1,20260916_贵阳高价值POI精确补采,情人谷,67fd245b000000001c008a4f,贵阳的情人谷 阳光正好 出门拍点自由,https://www.xiaohongshu.com/explore/67fd245b000000001c008a4f?xsec_token_redacted=1&xsec_source=pc_dots,出门拍点自由  这个地方阳光正好  溪水潺潺 还有烧烤   #户外游山玩水随手一拍[话题]# #与大自然的约会[话题]# #这个夏天一起去山里玩水呀[话题]#,情人谷,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-554049B52DD9417B,POICAND-9243AD310F1826AE,GYTRAVEL-HV-20260916-0112,1,20260916_贵阳高价值POI精确补采,情人谷,680f7b59000000000900e5d9,20250427贵阳情人谷徒步。,https://www.xiaohongshu.com/explore/680f7b59000000000900e5d9?xsec_token_redacted=1&xsec_source=pc_dots,#徒步丈量世界[话题]# #户外徒步[话题]# #徒步的乐趣[话题]# #情人谷[话题]# 二十年前情人谷是贵阳的后花园，现在景区人工部分溃败，自然部分仍然漂亮，2万多步从情人谷一直走到了阿栗村，路过皆是果林，目前樱桃是成熟季，枇杷、杨梅、桃子今年挂果都很不错，大概1、2月后都会陆续进入丰收期，前阵的冰雹狂风都未到达阿栗，天佑阿栗。,情人谷,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-AF858B95CBA4D41B,POICAND-9243AD310F1826AE,GYTRAVEL-HV-20260916-0112,1,20260916_贵阳高价值POI精确补采,情人谷,681b3c56000000002100f40e,贵阳市｜情人谷地层考察小记,https://www.xiaohongshu.com/explore/681b3c56000000002100f40e?xsec_token_redacted=1&xsec_source=pc_dots,"贵阳市乌当区是我国著名的野外地质实习基地之一。在情人谷地区内，除了丰富、连续的古生代地层剖面外，还伴随着明显的地质构造证据，如逆冲断层、局部褶皱、单斜等等。此次出差之余的另外一个目标就是尽可能重走一遍实习区内所有的路线（当然不是用脚，开车咧），看看有什么可以留作纪念的化石。

过往论文中经常出现的小谷农（可能是当地口音，实际上是小谷龙）、大凹（大洼）路线，前者已经顺利变成了住宅区，高雅的很；情人谷景区内的这条大洼线尽管还在，但出于地质安全考虑，大路上的剖面基本都已经糊上了水泥。

行车考察路线如下：从情人谷南边往北开，一路穿越二叠纪梁山群、泥盆纪高坡场组、蟒山群、志留纪高寨天上下亚群、奥陶纪的桐梓组、红花园组和湄潭组上下段，然后从高院村穿出去，最后在一处逆冲断层停车。

尽管柏油路旁的地层已封上水泥，村道剖面保存非常完美。我个人认为情人谷内出露比较明显的是蟒山群、高寨田亚群以及湄潭组，这几个单位覆盖面积大、岩性也比较好辩认。其他地层肯定有出露，但时间太赶了，无法一层一层的做比对，两套地层之间的界限也不是特别熟悉。

以下是发现化石的地层：
湄潭组：情人谷内的湄潭组主要分为上下两段。整套地层在情人谷中部偏北占比巨大，沿路几乎一直可以看到风化成碎渣和泥巴的黄绿色、灰色和紫色粉砂岩、页岩和泥岩。这次考察，除了在高院村一带的灰绿色粉砂岩内发现大量腕足，还有一个小惊喜，就是在开错的一套村道边的紫红色泥岩内发现了大量的软舌螺以及不太确认的宏体化石。这种岩性几乎和澄江泥岩一致，分层不太规律，但保存极其细腻，莫非有特异埋藏的潜力？笔石是一丁点都没找到，也许是自己看不懂吧。三叶虫无（意料之中）。逆冲断层的那个地方也含有大量的腕足类，有一种砂岩内保存的腕足非常立体，很有意思，而且不是沿着层理面保存，是出现在断面上。

高寨田上下亚群：讲真，分不出来，但根据书本对岩性和化石的描述，我肯定跑到了下亚群。这个组基本上就是一坨泥巴，每一坨内都含有超高含量的“海螺蛳“，呈立体保存。整个地层颜色也是容易辨认的深灰色。无聊，实在对腹足类毫无感情。疑似上亚群的地点在水系农家乐边上，地层倾斜清晰，倾角至少有85度，而且局部居然有一个完整的小背斜。这套地层化石丰度也很高，岩石偏绿色。

等回京后辨认下挖到的化石种类，写第二篇推文。#徒步圈[话题]# #徒步丈量世界[话题]# #户外探险[话题]#",情人谷,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-7AEFF05C3ABB264F,POICAND-9243AD310F1826AE,GYTRAVEL-HV-20260916-0112,1,20260916_贵阳高价值POI精确补采,情人谷,684cd6cf000000002300e3cb,乌当区阿栗村下寨—情人谷上游玩水攻略,https://www.xiaohongshu.com/explore/684cd6cf000000002300e3cb?xsec_token_redacted=1&xsec_source=pc_dots,"#周末去哪儿[话题]# #贵阳周边游[话题]# #玩水[话题]# #看山看水看风景[话题]# #溯溪[话题]# #徒步[话题]# #情人谷[话题]# #阿栗村[话题]# #阿栗村杨梅[话题]# #玩水的好去处[话题]# #小众避暑地[话题]# #夏日溯溪[话题]# #免费游山玩水[话题]# #夏天玩水好去处[话题]# #山水好地方[话题]# #山清水秀好地方景色宜人[话题]# #户外游山玩水[话题]# #山清水秀的地方[话题]# #山间小溪流水[话题]# #山间溪水河流[话题]# #游山玩水好美景[话题]# #周末游山玩水[话题]# #周边游好去处[话题]#
地址：阿栗村下寨
交通：自驾游或者观水路坐贵阳—永乐的农村客运到下寨
游玩点：导航乌当区阿栗村下寨，到桥头的位置，左手边有个路口进村子里，进去沿路行驶几百米，河就在路边上，自己找一个合适的位置露营，六月份的时候还可以来采摘阿栗村杨梅。沿路沿河流一直走，就可以到东郊水厂汪家大井抽水点，下去就是情人谷了，一路风景如画。注意：这里是野生河流，还是水源保护区，爱护环境，注意安全。",情人谷,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-1EB772D80D0AD223,POICAND-9243AD310F1826AE,GYTRAVEL-HV-20260916-0112,1,20260916_贵阳高价值POI精确补采,情人谷,6850a7a00000000023017131,贵阳情人谷烧烤摊消费体验极差，慎入！,https://www.xiaohongshu.com/explore/6850a7a00000000023017131?xsec_token_redacted=1&xsec_source=pc_dots,"#情人谷#钓鱼[话题]#
**贵阳情人谷烧烤摊消费体验极差，慎入！
情人谷风景不错，适合散步休闲，但烧烤摊的消费实在坑人！价格贵得离谱，一包普通纸巾卖5元，蘸水每人强制收费5元，连钢炭火都要另收30元，七七八八算下来人均消费轻松破百。更糟的是，味道一般，食材也不新鲜，完全对不起这个价格。
建议大家来情人谷走走就好，千万别在烧烤摊花钱，纯属被宰！希望景区能规范管理，别让这种乱收费现象毁了游客的好心情。",情人谷,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
EV-0794368C3AC2CD71,POICAND-9243AD310F1826AE,GYTRAVEL-HV-20260916-0112,1,20260916_贵阳高价值POI精确补采,情人谷,687d9dab000000000d02511d,溯溪才是贵州夏天正确的打开方式,https://www.xiaohongshu.com/explore/687d9dab000000000d02511d?xsec_token_redacted=1&xsec_source=pc_dots,"机场25分钟左右就开到了情人谷，这里停车难，吃烧烤店家会安排车位。
🚗导航：情人谷，沿路看到合适停下来玩就好；
这里水流比较急，很适合漂浮玩法，低龄儿童在缓流区玩好，顺便吃个烧烤也不错，价格不实惠，口味还可以。
#夏日溯溪[话题]# #夏日玩水[话题]# #户外溯溪[话题]# #夏天玩水好去处[话题]# #我的溯溪体验[话题]# #情人谷[话题]# #贵阳[话题]#",情人谷,普通贴候选,,,待审核,候选普通贴：核实全文是否主要描述当前唯一POI；通过后证据内容保留完整正文。
