候选ID,问题ID,采集轮次,来源阶段,行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,游客需求场景,AI证据强度,POI细分类型证据,地理位置描述证据,游客需求场景证据,字段证据审核状态,名称直接命中帖子数（非热度）,证据帖子ID,证据标题,证据URL,固定实体初筛,分店消歧状态,审核结论,合并主候选ID,审核备注,原始回答行
POICAND-9243AD310F1826AE,GYTRAVEL-HV-20260916-0112,1,20260916_贵阳高价值POI精确补采,乌当区,景点观光,情人谷,情人谷（Qingren Valley）,自然峡谷·溯溪玩水景区,情人谷路，乌当区东风镇阿栗村一带、头堡河沿岸，距贵阳市中心约25公里,溯溪玩水、烧烤野餐、轻徒步、亲子遛娃、避暑,证据较强,,,,,27,"5f2cc5fd000000000100ae29
651577150000000022028ce7
65cf4152000000000b0165a2
662e5013000000000d0325f0
67fd245b000000001c008a4f
680f7b59000000000900e5d9
681b3c56000000002100f40e
684cd6cf000000002300e3cb
6850a7a00000000023017131
687d9dab000000000d02511d
68a6df51000000001d011a34
6900129c000000000301b4e9
69e450a50000000021010d08
69fa1007000000003700c9d0
6a104fde0000000008032738
6a154f4e0000000036033f06
6a244a8b0000000021018e1c
6a2779f3000000003502f970
6a474e8100000000150263b9
6a4a1fac00000000070257ea
6a61c9b8000000000c033c02
6a7e78440000000006005081
6a813060000000002701ed99
6a841e30000000002701cb4e
6a9a3002000000001203face
6a9f710c000000002700afb5
6aa4a2110000000025035953","情人谷
情人谷去了 挺好玩
6/100|来逛贵阳的浪漫小众地（被遗弃版
贵阳｜情人谷
贵阳的情人谷 阳光正好 出门拍点自由
20250427贵阳情人谷徒步。
贵阳市｜情人谷地层考察小记
乌当区阿栗村下寨—情人谷上游玩水攻略
贵阳情人谷烧烤摊消费体验极差，慎入！
溯溪才是贵州夏天正确的打开方式
6个绝美溯溪地遛娃不费妈💦人少景美码住
📍贵阳·情人谷
周六老婆带我去贵阳情人谷，溜娃烧烤好去处
龙洞堡机场旁的一片绿和小花海
乌当情人谷#用我的世界打开旅行[话题]#
贵阳遛娃|10个亲子友好溯溪宝地
贵阳乌当区情人谷烧烤玩水
贵阳带长辈出游｜人少！藏在近郊的田园秘境
打卡贵阳情人谷湄潭组
天河潭｜贵阳人的“秘密花园”🌿
贵阳咖啡馆探店-治愈系天花板树上栖咖啡馆
说走就走的旅行，第一课是踩雷
马岭河峡谷真的可以贵阳当天往返
就在城边边！零压力小众峡谷穿越，半天就够
📍贵州都匀 | 情人谷瀑布旅游攻略
贵阳乌当区情人谷，才开两个月，工作日去的，所以没人，很安静，周末的话还可以带小朋
贵州游玩❗️马岭河3h低精力速通tips","https://www.xiaohongshu.com/explore/5f2cc5fd000000000100ae29?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/651577150000000022028ce7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65cf4152000000000b0165a2?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/662e5013000000000d0325f0?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67fd245b000000001c008a4f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/680f7b59000000000900e5d9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/681b3c56000000002100f40e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/684cd6cf000000002300e3cb?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6850a7a00000000023017131?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/687d9dab000000000d02511d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68a6df51000000001d011a34?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6900129c000000000301b4e9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69e450a50000000021010d08?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69fa1007000000003700c9d0?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a104fde0000000008032738?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a154f4e0000000036033f06?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a244a8b0000000021018e1c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a2779f3000000003502f970?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a474e8100000000150263b9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a4a1fac00000000070257ea?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a61c9b8000000000c033c02?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7e78440000000006005081?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a813060000000002701ed99?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a841e30000000002701cb4e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a9a3002000000001203face?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a9f710c000000002700afb5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa4a2110000000025035953?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,情人谷｜情人谷（Qingren Valley）｜景点观光｜自然峡谷·溯溪玩水景区｜乌当区｜情人谷路，乌当区东风镇阿栗村一带、头堡河沿岸，距贵阳市中心约25公里｜溯溪玩水、烧烤野餐、轻徒步、亲子遛娃、避暑｜证据较强
POICAND-BE1DA367C06D5577,GYTRAVEL-HV-20260916-0109,1,20260916_贵阳高价值POI精确补采,乌当区,景点观光,香纸沟,香纸沟风景区,自然风景区（溯溪·徒步·非遗造纸）,新堡布依族乡103县道附近，贵阳自驾约1小时可达,夏日溯溪玩水、亲子玩水烧烤、竹林徒步避暑、古法造纸非遗体验,强,,,,,22,"67e23fcd000000001b03fa99
6803561e000000001d01e4e7
6820b7ee000000000c03ae77
68873130000000000d0264bd
68900500000000000500905b
68a6ffa8000000001d02fe9d
696cea2e000000000e00e104
69e84fe1000000002200deea
6a24f6420000000008003b8d
6a33443f000000001503ddf3
6a3747c9000000000f01fd15
6a54ad2e000000002003b598
6a5ca0a90000000005039f34
6a5dad1e000000000c0154d0
6a65ddf0000000000f01cbdc
6a66e5c1000000001101ebae
6a676298000000001302defb
6a6eb990000000003300b7ad
6a94cd10000000000402b84f
6a964fa7000000002802ea5b
6aa67ec80000000027016c46
6aaa9745000000002700b6c0","文旅·香纸沟非遗探秘 | 72道古法造纸
小狗！玩水！瀑布！溯溪！徒步！
贵阳出发🚗1h到的玩水好去处💦
夏日玩水宝地|贵阳香纸沟💦
香纸沟锅底箐环线
本地人疯狂按头安利带娃玩水的地方
贵阳香纸沟｜冬天来这里看虫、玩水、撸狗！
贵阳近郊徒步秘境🌿香纸沟
香纸沟锅底箐｜在6666的日子闯进绿野仙
贵阳周边溯溪露营好去处｜香纸沟
乌当香纸沟｜云仙农家乐
贵阳乌当香纸沟｜亲子溯溪玩水天花板✨保
贵阳周边玩水烧烤必去 停车方便🍃
乐游记之香纸沟南静寺
乌当区 宝藏玻璃水
香纸沟溯溪
贵阳周边溯溪✨藏在山谷里的清凉秘境
夏日纳凉保留项目🍃
贵阳溯溪｜香纸沟VS蜈蚣桥
🌱森林小溪，与自然的对视~贵阳香纸沟
贵阳🎣白水河
香纸沟锅底箐是一条集 溯溪 、瀑布、峡谷和密林于一体的徒步路线，风景很美，但路况","https://www.xiaohongshu.com/explore/67e23fcd000000001b03fa99?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6803561e000000001d01e4e7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6820b7ee000000000c03ae77?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68873130000000000d0264bd?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68900500000000000500905b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68a6ffa8000000001d02fe9d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/696cea2e000000000e00e104?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69e84fe1000000002200deea?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a24f6420000000008003b8d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a33443f000000001503ddf3?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a3747c9000000000f01fd15?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a54ad2e000000002003b598?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a5ca0a90000000005039f34?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a5dad1e000000000c0154d0?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a65ddf0000000000f01cbdc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a66e5c1000000001101ebae?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a676298000000001302defb?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6eb990000000003300b7ad?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a94cd10000000000402b84f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a964fa7000000002802ea5b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa67ec80000000027016c46?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aaa9745000000002700b6c0?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,香纸沟｜香纸沟风景区｜景点观光｜自然风景区（溯溪·徒步·非遗造纸）｜乌当区｜新堡布依族乡103县道附近，贵阳自驾约1小时可达｜夏日溯溪玩水、亲子玩水烧烤、竹林徒步避暑、古法造纸非遗体验｜强
POICAND-41F1D2CC1B7B9DCB,GYTRAVEL-HV-20260916-0153,1,20260916_贵阳高价值POI精确补采,乌当区,餐饮美食,兄弟毛肚(火炬大道店),兄弟毛肚火锅（火炬大道店）,毛肚火锅,高新路火炬大道中段（臣功新天地房地产旁），近高新路地铁站B口约330米,来贵阳旅游时打卡本地老字号毛肚火锅，体验屠场毛肚、糟辣椒锅底、牛脊髓等,证据较弱（1篇游客笔记直接指向，发布于2024-08，超出24个月优先窗口、在36个月放宽范围内）,,,,,2,"61e56292000000000102e762
68077c7e000000001c00c517","十几年毛肚火锅一直火到现在也是厉害👍
贵阳本地人爱去的店（上篇）","https://www.xiaohongshu.com/explore/61e56292000000000102e762?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68077c7e000000001c00c517?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,兄弟毛肚(火炬大道店)｜兄弟毛肚火锅（火炬大道店）｜餐饮美食｜毛肚火锅｜乌当区｜高新路火炬大道中段（臣功新天地房地产旁），近高新路地铁站B口约330米｜来贵阳旅游时打卡本地老字号毛肚火锅，体验屠场毛肚、糟辣椒锅底、牛脊髓等｜证据较弱（1篇游客笔记直接指向，发布于2024-08，超出24个月优先窗口、在36个月放宽范围内）
POICAND-BDD23EE5046ABE39,GYTRAVEL-HV-20260916-0154,1,20260916_贵阳高价值POI精确补采,乌当区,餐饮美食,新天一烤大排档(乌当店),新天一烤·贵州菜·烧烤（乌当店）,烧烤/黔菜大排档,新添寨高新路7号大厅，近地铁3号线高新路站B口（笔记称步行约135米）,游客到贵阳品尝本地老字号烧烤与黔菜、夜宵及聚餐,强（近24个月9篇直接提及）,,,,,2,"68db669c0000000003023a7f
6a6b49cf0000000005028b4c","贵阳32年宝藏老店！我家三代人都爱，乌当人的
📍 新天一烤·贵州菜·烧烤（乌当店）","https://www.xiaohongshu.com/explore/68db669c0000000003023a7f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6b49cf0000000005028b4c?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,新天一烤大排档(乌当店)｜新天一烤·贵州菜·烧烤（乌当店）｜餐饮美食｜烧烤/黔菜大排档｜乌当区｜新添寨高新路7号大厅，近地铁3号线高新路站B口（笔记称步行约135米）｜游客到贵阳品尝本地老字号烧烤与黔菜、夜宵及聚餐｜强（近24个月9篇直接提及）
POICAND-3EFCCB6847F407A1,GYTRAVEL-HV-20260916-0152,1,20260916_贵阳高价值POI精确补采,乌当区,餐饮美食,贵州龙(正德家邦店),未确认,未确认,育新路2号正德家邦新天卫城卫央生活广场LG层LG-02号（笔记中提及新天卫城/正德家邦区域）,未确认,弱,,,,,0,,,,通过候选,待Google阶段消歧,待审核,,未在本题完整来源帖中直接命中名称；不得进入正式表，需人工找证据或补采。,贵州龙(正德家邦店)｜未确认｜餐饮美食｜未确认｜乌当区｜育新路2号正德家邦新天卫城卫央生活广场LG层LG-02号（笔记中提及新天卫城/正德家邦区域）｜未确认｜弱
POICAND-3301AC15BF10EABE,GYTRAVEL-HV-20260916-0159,1,20260916_贵阳高价值POI精确补采,乌当区,餐饮美食,魏家麻辣烫(新天商业中心店),Wei Jia Ma La Tang（新天商业中心店）,老汤麻辣烫·苍蝇馆子,新光路4号（新添寨新光路口，新天商业中心旁，从新添大道转入新光路约15米）,来贵阳避暑/旅游的大陆游客打卡本地30余年老字号老汤麻辣烫，体验不换汤底的怀旧老锅、脆哨辣椒蘸水与折耳根酸萝卜蘸碟,证据强度：近24个月内有8篇小红书笔记正文直接指向该实体（新光路4号/新天商业中心旁），其中1篇明确面向来贵阳避暑游客推荐；另有贵阳文旅官方账号佐证地址。实体存在性证据充分，但游客专属体验类笔记有限，多数为本地食客视角。,,,,,0,,,,通过候选,待Google阶段消歧,待审核,,未在本题完整来源帖中直接命中名称；不得进入正式表，需人工找证据或补采。,魏家麻辣烫(新天商业中心店)｜Wei Jia Ma La Tang（新天商业中心店）｜餐饮美食｜老汤麻辣烫·苍蝇馆子｜乌当区｜新光路4号（新添寨新光路口，新天商业中心旁，从新添大道转入新光路约15米）｜来贵阳避暑/旅游的大陆游客打卡本地30余年老字号老汤麻辣烫，体验不换汤底的怀旧老锅、脆哨辣椒蘸水与折耳根酸萝卜蘸碟｜证据强度：近24个月内有8篇小红书笔记正文直接指向该实体（新光路4号/新天商业中心旁），其中1篇明确面向来贵阳避暑游客推荐；另有贵阳文旅官方账号佐证地址。实体存在性证据充分，但游客专属体验类笔记有限，多数为本地食客视角。
POICAND-565712A5F78B5D86,GYTRAVEL-HV-20260916-0116,1,20260916_贵阳高价值POI精确补采,乌当区,交通服务,贵阳东站,Guiyang East Railway Station,高铁站,贵阳市乌当区东二环附近，距市区较远、位置偏，无地铁直达，靠公交（276路/B272路等）、网约车或城际快铁接驳市区,高铁到达/出发、站内便捷换乘、往返市区交通,强,,,,,24,"67c16a09000000001203fe98
67f254b1000000000f032938
68371913000000000f039fcd
685102a2000000002301511d
68915e7c00000000030268e9
68a2c7a8000000001d02cfa2
68a36dcb000000001d01bb3b
68c3a426000000001b032083
68e72a1d0000000007008c15
694d5121000000001e00cb8e
696abd94000000002202cf72
6987451e00000000150305d7
69f6cdf0000000001b0239ae
69fd5b2e0000000035027f75
6a0f1c8a000000000803d599
6a394a0e000000000f017fa7
6a505d0c0000000011005469
6a6433890000000011018e5f
6a672a6c00000000100245db
6a7fda290000000032022098
6a8528dd0000000033031f09
6a8a63730000000033021e48
6aa9582a000000001103029e
6aaa3581000000001103b8b7","贵阳东站直达市区（北京路地铁站）公交快线
贵阳两天一夜citywalk懒人攻略
贵阳东站出站到网约车上车点最快路线
有很多方法哦✔️
贵阳东站太抽象了
关于我的贵阳东站换乘
周末两日游——贵阳
🚄贵阳东14分钟极限换乘成功！
首次在贵阳东站坐车
一个人来了一趟贵阳
贵阳东转车3小时 | 阳明心学与甲秀楼
【亲身经历！贵阳东站换乘不迷路🐎】
贵阳东站带娃极限1分钟换乘攻略
五一贵阳三天两夜游记
贵阳东站换乘点外卖🥡
贵阳东站这也太偏了吧
去贵阳东的公交在北京路D口等276号车
贵阳东打不到车就坐公交吧
推送给要去贵阳东站的小伙伴们
贵阳东站换乘攻略📝13分钟极限操作亲测！
贵阳东站停车16元/天 步行40米进站
贵阳｜虎门高铁出行一家老少家庭四日游🚝
贵阳小众秘境Vol.4｜闯入魔幻石头王国
Day1下午近七点到的贵阳东站，这个站超难打车，建议别从这走
晚餐：一烙锅（陕西","https://www.xiaohongshu.com/explore/67c16a09000000001203fe98?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67f254b1000000000f032938?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68371913000000000f039fcd?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/685102a2000000002301511d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68915e7c00000000030268e9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68a2c7a8000000001d02cfa2?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68a36dcb000000001d01bb3b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68c3a426000000001b032083?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68e72a1d0000000007008c15?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/694d5121000000001e00cb8e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/696abd94000000002202cf72?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6987451e00000000150305d7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69f6cdf0000000001b0239ae?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69fd5b2e0000000035027f75?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a0f1c8a000000000803d599?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a394a0e000000000f017fa7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a505d0c0000000011005469?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6433890000000011018e5f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a672a6c00000000100245db?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7fda290000000032022098?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8528dd0000000033031f09?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8a63730000000033021e48?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa9582a000000001103029e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aaa3581000000001103b8b7?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,贵阳东站｜Guiyang East Railway Station｜交通服务｜高铁站｜乌当区｜贵阳市乌当区东二环附近，距市区较远、位置偏，无地铁直达，靠公交（276路/B272路等）、网约车或城际快铁接驳市区｜高铁到达/出发、站内便捷换乘、往返市区交通｜强
POICAND-C9CF9168678741E2,GYTRAVEL-HV-20260916-0104,1,20260916_贵阳高价值POI精确补采,云岩区,景点观光,黔灵山公园,黔灵山公园,城市森林公园（4A级景区）,贵州省贵阳市云岩区枣山路187号，市中心，地铁3号线黔灵山公园站C口步行约2-5分钟即达南门,看野生猕猴、熊猫馆看大熊猫、逛动物园、弘福寺祈福、瞰筑亭俯瞰贵阳全景、黔灵湖游船、登山吸氧，适配亲子、老人及休闲半日游,强（近24个月多篇独立游客笔记直接到访，来源充分）,,,,,15,"6a65d59a00000000100258e0
6a8111a2000000002800bc59
6a86a5bb000000000902c207
6a98355d000000002901493e
6a992ffe000000002b01cc7c
6a9a2afc0000000012035037
6a9a3252000000002502e241
6aa2d912000000002a02e41b
6aa43615000000000b00db50
6aa56799000000002a0050a3
6aa6234a000000001103620b
6aa8dc4e000000002803b5e9
6aa9142c000000002802805c
6aaa92850000000028003d35
6aab693a000000002600b442","黔灵山公园给到夯｜游玩攻略✅
贵阳|0元玩转黔灵山公园！免费看攻略来了
贵阳黔灵山公园｜最省力玩法🍃景色绝了
黔灵山公园怎么玩
半天搞定黔灵山 不绕路攻略🔥
黔灵山公园｜半日游
黔灵山公园路线推荐🖼️城景索道➕看猴儿
谁懂啊 被黔灵山的🐒打劫了
第一次来贵州旅游黔灵山避雷 ！
黔灵山公园攻略
黔灵山公园看猴🐒一小时速通！
黔灵山公园最省力动线（3h通关！）
贵阳旅行｜黔灵山懒人保姆级路线🍃
贵阳搭机，市区city walk的一天，早上从安顺到贵阳北
先到第一站:黔灵山公
不坐索道也能看猴？黔灵山西门进的偷懒玩法","https://www.xiaohongshu.com/explore/6a65d59a00000000100258e0?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8111a2000000002800bc59?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a86a5bb000000000902c207?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a98355d000000002901493e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a992ffe000000002b01cc7c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a9a2afc0000000012035037?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a9a3252000000002502e241?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa2d912000000002a02e41b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa43615000000000b00db50?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa56799000000002a0050a3?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa6234a000000001103620b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa8dc4e000000002803b5e9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa9142c000000002802805c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aaa92850000000028003d35?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aab693a000000002600b442?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,黔灵山公园｜黔灵山公园｜景点观光｜城市森林公园（4A级景区）｜云岩区｜贵州省贵阳市云岩区枣山路187号，市中心，地铁3号线黔灵山公园站C口步行约2-5分钟即达南门｜看野生猕猴、熊猫馆看大熊猫、逛动物园、弘福寺祈福、瞰筑亭俯瞰贵阳全景、黔灵湖游船、登山吸氧，适配亲子、老人及休闲半日游｜强（近24个月多篇独立游客笔记直接到访，来源充分）
POICAND-8166C20AC53368D7,GYTRAVEL-HV-20260916-0046,1,20260916_贵阳高价值POI精确补采,云岩区,餐饮美食,一烙锅(友谊店),未确认,烙锅店（贵州烙锅）,友谊路89号（阿一鲍鱼斜对面）,贵阳旅游夜宵打卡、品尝老贵阳烙锅与特色蘸料,强,,,,,2,"681f7ed6000000000f033e2b
6958aefa000000001f00d25a","贵阳！一烙锅（友谊店）！好吃爱吃！😋
【动摩擦】贵阳·一烙锅","https://www.xiaohongshu.com/explore/681f7ed6000000000f033e2b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6958aefa000000001f00d25a?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,一烙锅(友谊店)｜未确认｜餐饮美食｜烙锅店（贵州烙锅）｜云岩区｜友谊路89号（阿一鲍鱼斜对面）｜贵阳旅游夜宵打卡、品尝老贵阳烙锅与特色蘸料｜强
POICAND-9B9CE999778D94FF,GYTRAVEL-HV-20260916-0018,1,20260916_贵阳高价值POI精确补采,云岩区,餐饮美食,乔治公社(文昌路),Captain George 乔治队长（文昌路店）,精品咖啡馆,文昌北路文昌阁1-4号，文昌阁附近,游客打卡贵阳精品咖啡、体验冠军店特调（京都艺伎、文昌路一号、莓果城等）并拍照出片,强,,,,,0,,,,通过候选,待Google阶段消歧,待审核,,未在本题完整来源帖中直接命中名称；不得进入正式表，需人工找证据或补采。,乔治公社(文昌路)｜Captain George 乔治队长（文昌路店）｜餐饮美食｜精品咖啡馆｜云岩区｜文昌北路文昌阁1-4号，文昌阁附近｜游客打卡贵阳精品咖啡、体验冠军店特调（京都艺伎、文昌路一号、莓果城等）并拍照出片｜强
