,,,,,,
贵阳高德/大众点评美食 POI（评分 ≥3.5）,,,,,,
仅使用高德 POI 搜索2.0 数据，不与大众点评对齐。当前为可续采快照，仍有 268 个子格待采。,,,,,,
,,,,,,
指标,结果,说明,,行政区,POI 数,占比
评分 ≥3.5 的美食 POI,24238,唯一筛选条件为高德 business.rating ≥ 3.5,,白云区,1929,0.0795857744038287
独立高德 ID,24238,按 amapPoiId 去重,,观山湖区,4489,0.185205049921611
准确坐标与双 H3,24238,GCJ-02 坐标；R9 用于 1km 内，R7 用于更大半径,,花溪区,4625,0.190816073933493
有详细地址,24156,address 非空,,开阳县,518,0.0213714002805512
有营业时间,19173,仅表示接口返回营业时间，不等于明确营业状态,,南明区,4671,0.192713920290453
有人均消费,20595,高德采集时点 cost,,清镇市,1846,0.0761613994554006
PlaceAlias,24238,每个 POI 建一条名称到 R8/R9 的一跳定位记录,,乌当区,1076,0.0443931017410677
待续采子格,268,空间采集尚未完成，当前数量不是最终全量,,息烽县,361,0.0148939681491872
数据质量状态,24238,全部 needs_review：高德没有明确营业/停业字段，且尚未生成断言级 SourceEvidence,,修文县,666,0.027477514646423
,,,,云岩区,4057,0.167381797177985
,,,,,,
挂载口径,取值,说明,,,,
身份状态,source_only,仅表示高德单源实体，不再声称与大众点评同一店铺,,,,
身份方法,source_external_id,以高德 amapPoiId 作为跨批次去重键,,,,
空间能力,exact + R9/R7,可用于游客定位附近、指定 POI 附近和大半径粗筛,,,,
对外闸门,needs_review,若要在自然语言查询中直接出示，需补 SourceEvidence 或调整经批准的放行规则,,,,
地名索引,同表派生列,placeAliasId、normalizedAlias、R8/R9 目标格随 POI 同行输出，挂载时拆成 PlaceAlias 实体,,,,
官方接口,https://lbs.amap.com/api/webservice/guide/api-advanced/newpoisearch,POI 搜索2.0字段与分页约束,,,,
