entityType,entityChineseName,field,fieldChineseName,dataType,constraint,index,optional,description,currentNonEmptyCount,coveragePercent
TransitHub,交通枢纽,id,标识,Text,NotNull,Text,,全局唯一稳定标识，独立铸造，不由名称或来源拼接派生 —— 用「名称+章节」拼 id 会在同一对象被多次采集时产生重复实体,4,1
TransitHub,交通枢纽,name,名称,Text,NotNull,TextAndVector,,,4,1
TransitHub,交通枢纽,type,枢纽类型,Text,"NotNull,Enum=""机场,火车站,高铁站,客运站,地铁站,集散中心""",Text,,,4,1
TransitHub,交通枢纽,level,枢纽级别,Text,"Enum=""国际,国家,区域,本地""",Text,,,4,1
TransitHub,交通枢纽,accessGuide,到离指引,Text,,TextAndVector,,,3,0.75
TransitHub,交通枢纽,serviceItems,服务项目,Text,MultiValue,TextAndVector,,,3,0.75
TransitHub,交通枢纽,sourcePlaceId,来源地点ID,Text,,Text,,,4,1
TransitHub,交通枢纽,amapPoiId,高德POI ID,Text,,Text,,,4,1
TransitHub,交通枢纽,facilityClassCode,设施分类代码,Text,,Text,,,4,1
TransitHub,交通枢纽,facilityClassName,设施分类名称,Text,,Text,,,4,1
TransitHub,交通枢纽,detailType,设施细分类型,Text,,Text,,,4,1
TransitHub,交通枢纽,address,地址,Text,,TextAndVector,,,4,1
TransitHub,交通枢纽,province,省份,Text,,Text,,,4,1
TransitHub,交通枢纽,city,城市,Text,,Text,,,4,1
TransitHub,交通枢纽,district,区县,Text,,Text,,,4,1
TransitHub,交通枢纽,adcode,行政区划代码,Text,,Text,,,4,1
TransitHub,交通枢纽,telephone,联系电话,Text,,Text,,,3,0.75
TransitHub,交通枢纽,website,网站,Text,,Text,,,0,0
TransitHub,交通枢纽,sourceUrl,来源地址,Text,,Text,,,4,1
TransitHub,交通枢纽,verificationStatus,核验状态,Text,,Text,,,3,0.75
TransitHub,交通枢纽,qualityStatus,质量状态,Text,,Text,,,4,1
TransitHub,交通枢纽,qualityNotes,质量说明,Text,,TextAndVector,,,3,0.75
TransitHub,交通枢纽,scheduleNote,时刻动态说明,Text,,TextAndVector,,,3,0.75
TransitHub,交通枢纽,sourceCoordinateText,来源坐标原文,Text,,Text,,交通专题表里的原始坐标审计文本；当 spatialFacility 已承载标准坐标时，仅保留原文，不再复制成第二套地图点位,4,1
TransitHub,交通枢纽,spatialFacility,对应地图交通POI,TransitFacility,,,,只有来源地点ID精确命中高德空间底图时才建立；名称相似不建边。存在本引用时，地图展示与附近检索只使用目标 TransitFacility，本语义节点必须 geoPrecision=none 且不得再存 latitude/longitude/H3,4,1
TransitHub,交通枢纽,locatedInAdminArea,所属行政区,AdminArea,,,,,4,1
TransitHub,交通枢纽,latitude,纬度,Float,,,,,0,0
TransitHub,交通枢纽,longitude,经度,Float,,,,,0,0
TransitHub,交通枢纽,coordinateSystem,坐标系,Text,"Enum=""WGS84,GCJ02,BD09,unknown""",Text,,本实体自带坐标时才填写；有 spatialFacility 时坐标系随目标设施读取，本字段必须留空,0,0
