行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
北碧府,景点观光,爱侣湾瀑布,Erawan Water Fall อุทยานแห่งชาติเอราวัณ,国家公园瀑布,市区外1.5小时车程,27,7,疑似已存在,THXHSFINAL-1329:爱侣湾国家公园(七层瀑布),固定实体候选,合并既有记录，不新增,亲子/徒步游客,7层瀑布、越往上水越清、可玩水游泳免费鱼疗,"⛺️北碧府短途游记｜桂河·瀑布·河畔露营
北碧府：泰国的宁静绿洲
泰国值得去之北碧府（1）
📍北碧3天2夜怎么玩？保姆级攻略🚗⛰️🏡
🌿【北碧府：泰国的隐世治愈系秘境】🌿","https://www.xiaohongshu.com/explore/6a2ec0c10000000021014b11?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69046ffe0000000004000821?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65a228d2000000001a02a44c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a675395000000001102e9b1?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68b961df000000001b021544?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,景点观光,桂河大桥,River Kwai Bridge / สะพานข้ามแม่น้ําแคว,文化古迹与宗教,桂河,27,12,疑似已存在,THXHSFINAL-1300:桂河大桥,固定实体候选,合并既有记录，不新增,历史爱好者,《桂河大桥》电影取景地、可漫步铁桥看火车驶过、日落氛围感强,"北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，
⛺️北碧府短途游记｜桂河·瀑布·河畔露营
北碧府一日游｜神树+寺庙+咖啡+桂河大桥
花200泰铢，坐上泰国最美铁路！
北碧府tips","https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a2ec0c10000000021014b11?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69cf9ef0000000001f0066b4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a648900000000000100f5bc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a843ae000000000250002fa?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,景点观光,虎穴寺,Wat Tham Suea / วัดถ้ําเสือ,文化古迹与宗教,桂河东岸,27,4,疑似已存在,THXHSFINAL-1362:虎穴寺；THXHSFINAL-1437:虎穴寺(Wat Tham Sua)；THXHSFINAL-0806:虎窟寺(Wat Tham Suea),固定实体候选,合并既有记录，不新增,祈福/摄影游客,157级台阶登顶、俯瞰稻田与远山、巨型金佛庄严出片,"北碧府的两家宝藏咖啡馆
北碧府一日游｜神树+寺庙+咖啡+桂河大桥
泰国值得去之北碧府（1）
📍北碧3天2夜怎么玩？保姆级攻略🚗⛰️🏡","https://www.xiaohongshu.com/explore/6a5317a9000000000803f38c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69cf9ef0000000001f0066b4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65a228d2000000001a02a44c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a675395000000001102e9b1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,景点观光,死亡铁路,Death Railway ทางรถไฟสายมรณะ,历史铁路,Tham Krasae段,27,12,疑似已存在,THXHSFINAL-1199:死亡铁路(悬崖栈道),固定实体候选,合并既有记录，不新增,历史/摄影游客,贴着悬崖行驶、一边悬崖一边桂河、电影感拉满,"北碧府的两家宝藏咖啡馆
北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，
北碧府：泰国的宁静绿洲
花200泰铢，坐上泰国最美铁路！
泰国值得去之北碧府（1）","https://www.xiaohongshu.com/explore/6a5317a9000000000803f38c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69046ffe0000000004000821?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a648900000000000100f5bc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65a228d2000000001a02a44c?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,景点观光,Sai Yok Noi瀑布,Sai Yok Noi Waterfall น้ําตกไทรโยคน้อย,瀑布,Nam Tok站附近,27,3,疑似已存在,THXHSFINAL-1456:赛约克诺伊瀑布,固定实体候选,合并既有记录，不新增,深度游游客,免费开放可下水游泳、雨季水量壮观,"北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，
北碧府二日一晚攻略🇹🇭
北碧府隐藏仙境！Sai Yok国家公园必打卡","https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a39115d000000000f016a23?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6837cb44000000000f038ae6?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
洛坤府,景点观光,Wat Phra Mahathat Woramahawihan,วัดพระมหาธาตุวรมหาวิหาร,寺庙,洛坤市区,29,2,疑似已存在,THXHSFINAL-1299:玛哈泰寺；THXHSFINAL-1321:玛哈泰寺,固定实体候选,合并既有记录，不新增,文化爱好者,千年佛塔、供奉佛祖舍利、泰国南部最重要皇家寺庙,"多彩的泰北小城｜ 彭世洛一日游
泰国不止有普吉甲米！洛坤府，南部宝藏地🛵","https://www.xiaohongshu.com/explore/69a07bc9000000002303869c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a5df157000000000f012a11?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,景点观光,Khao Lak-Lam Ru National Park,兰儒国家公园,国家公园,热带雨林,51,1,疑似已存在,THXHSFINAL-1588:兰儒国家公园,固定实体候选,合并既有记录，不新增,徒步/自然,30分钟轻松路线、观景台、沙滩,考拉兰儒国家公园🏞️徒步路线和邦娘夜市,https://www.xiaohongshu.com/explore/693adc45000000001e028d33?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,景点观光,Nang Thong Beach,南通海滩,海滩,南通区,51,3,疑似已存在,THXHSFINAL-1765:囊通海滩,固定实体候选,合并既有记录，不新增,冲浪/日落,人少清净、贝壳多、适合冲浪,"向全世界安利普吉周边度假小镇—考拉
🇹🇭泰国!考拉!不愧是亲子酒店天花板
🇹🇭考拉Khao Lak - 四天四夜","https://www.xiaohongshu.com/explore/67d15c99000000001201ea99?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69e6ebaf000000002200eb84?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69cbb7c4000000001a028066?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,景点观光,Samet Nangshe Viewpoint,萨梅特南舍观景台,山顶观景台,山顶,51,0,疑似已存在,THXHSFINAL-1344:Samet Nangshe 观景台,固定实体候选,合并既有记录，不新增,日落/摄影,俯瞰攀牙湾、50泰铢接驳车、坡度45度,,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,景点观光,Takuapa Old Town,达锅巴古镇,百年老街,老城区,51,2,疑似已存在,THXHSFINAL-1583:塔库阿帕老镇,固定实体候选,合并既有记录，不新增,文化/历史,中泰建筑、艺术涂鸦、复古咖啡厅,"这条街有多少阿嫲的情书
避开人潮｜普吉周边小众目的地推荐！","https://www.xiaohongshu.com/explore/6a3e925b0000000016025258?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67790b2c000000000900e8e5?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,景点观光,Ton Chong Fa Waterfall,通冲法瀑布,瀑布,雨林深处,51,1,疑似已存在,THXHSFINAL-1426:通冲法瀑布,固定实体候选,合并既有记录，不新增,亲子/戏水,溪边野餐、自然清凉,普吉岛考拉必打卡清单✨玩这些才叫海岛游！,https://www.xiaohongshu.com/explore/69f5f46e0000000023007cb5?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
彭世洛府,景点观光,Wat Ratchaburana,วัดราชบูรณะ,寺庙,彭世洛市区,29,2,疑似已存在,THXHSFINAL-1303:拉差布拉那寺,固定实体候选,合并既有记录，不新增,历史爱好者,15世纪阿瑜陀耶早期建筑、古壁画、拉玛九世出生证明,"泰北旅行泰国彭世洛旅游攻略
多彩的泰北小城｜ 彭世洛一日游","https://www.xiaohongshu.com/explore/6a799c28000000002c003f20?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a07bc9000000002303869c?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,景点观光,合艾市政公园,Hatyai Municipal Park,山顶公园,市区山顶,42,1,疑似已存在,THXHSFINAL-1547:Hatyai Municipal Park,固定实体候选,合并既有记录，不新增,全景俯瞰,"结合自然生态+宗教,山顶从上往下分成几站每站有庙供奉不同神灵,可眺望合艾市全景",🇲🇾🇹🇭合艾D3｜宋卡-树上cafe-站佛寺,https://www.xiaohongshu.com/explore/6947b5cf000000001e0270a1?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,景点观光,红磨坊,Hub Ho Hin (Red Rice Mill),历史建筑,湖畔,42,3,疑似已存在,THXHSFINAL-1415:Hub Ho Hin,固定实体候选,合并既有记录，不新增,拍照打卡,"宋卡世界遗产筹备处,最具标志视觉符号","泰国预备世界遗产地｜南洋秘境-宋卡老城
📍Songkhla Old Town｜宋卡老城 🇹🇭
大马留子|🇹🇭合艾➕宋卡4D3N自由行（自用版）","https://www.xiaohongshu.com/explore/6a896d8000000000380001fe?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a812bb8000000000c033c00?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6be9c40000000006007b44?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,景点观光,金祖寺,Wat Matchimawat,泰南寺院,市区,42,1,疑似已存在,THXHSFINAL-1551:Wat Matchimawat,固定实体候选,合并既有记录，不新增,文化爱好者,"建于大城府晚期约300年历史,古色古香满满中国元素",泰国预备世界遗产地｜南洋秘境-宋卡老城,https://www.xiaohongshu.com/explore/6a896d8000000000380001fe?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,景点观光,美人鱼雕像,Golden Mermaid Statue,地标雕塑,Samila Beach,42,4,疑似已存在,THXHSFINAL-1414:Golden Mermaid Statue,固定实体候选,合并既有记录，不新增,拍照打卡,"宋卡地标,35年后再次相遇的怀旧打卡点","🎨泰国南部宋卡｜漫步老城的色彩美学
泰国🇹🇭合艾Hatyai｜一座被低估的小城🌿
🇲🇾🇹🇭合艾D3｜宋卡-树上cafe-站佛寺
🇹🇭泰国合艾五天三夜游","https://www.xiaohongshu.com/explore/6a40efbd0000000006034624?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69d6a800000000002102d88a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6947b5cf000000001e0270a1?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a258f720000000010001c01?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,景点观光,萨米拉海滩,Samila Beach,海滩,市区,42,9,疑似已存在,THXHSFINAL-1416:Samila Beach,固定实体候选,合并既有记录，不新增,海边休闲,"金色美人鱼雕像打卡热点,沙滩可骑马,海边有小摊卖纪念品和风筝","🇹🇭｜合艾宋卡老街半日游🚗
🎨泰国南部宋卡｜漫步老城的色彩美学
海丝一梦·宋卡·泰南篇
穷游第12天泰国（合艾-宋卡）暮色打卡
🇲🇾🇹🇭合艾D3｜宋卡-树上cafe-站佛寺","https://www.xiaohongshu.com/explore/68f8b97900000000040050d0?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a40efbd0000000006034624?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69b3ce92000000001f0056f8?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66b1fe8b0000000005022d1b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6947b5cf000000001e0270a1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
