行政区,POI业务类型,POI名称,POI细分类型,外文/地图名,地理位置描述,游客需求场景,名称直接命中帖子数（非热度）,来源阶段,证据URL,证据内容,重要口径
巴蜀府,康养SPA,Ruen Boran Thai Massage,泰式按摩,Ruen Boran Thai Massage,华欣市区百年建筑内,按摩/SPA/康养放松,1,20260831小红书点点AI增量采集,https://www.xiaohongshu.com/explore/6a325bda0000000007021f69?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：HuaHin｜曼谷周末计划—华欣
正文：💆🏻♀️Ruen Boran Thai Massage",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,休闲娱乐,华欣野生动物园,亲子乐园与动物体验,Hua Hin Safari & Adventure Park,华欣市区,亲子游乐/动物体验,1,20260831小红书点点AI增量采集,https://www.xiaohongshu.com/explore/69c0d5bd000000001e00e743?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：给我7天时间，玩遍泰国华欣（旅游攻略）
正文：1. 华欣野生动物园Hua Hin Safari & Adventure Park，非常精彩，尤其是跟长颈鹿玩耍🦒。5星",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,休闲娱乐,瑞士绵羊牧场(Zucata Sheep Farm),亲子乐园与动物体验,Swiss Sheep Farm / Zucata Sheep Farm,华欣市区约 30 分钟车程,亲子游乐/动物体验,3,20260831小红书点点AI增量采集,"https://www.xiaohongshu.com/explore/69888aee0000000015021a13?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69c0d5bd000000001e00e743?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a85c99e000000003400e2fd?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：泰兰德🇹🇭曼谷+华欣7天6晚亲子游攻略
正文：3⃣️瑞士绵羊牧场-华欣葡萄酒庄园

「2*混合贴」
标题：给我7天时间，玩遍泰国华欣（旅游攻略）
正文：1. Swiss Sheep Farm，现在改名叫Zucata Sheep Farm，可以看各种动物，尤其是喂羊和长颈鹿。4星

第七天：包车前往

「3*混合贴」
标题：泰国华欣3天2夜保姆级攻略｜人均1k慢节奏
正文：5. 瑞士绵羊牧场小镇（第三天打卡）
童话感满分欧式绵羊小镇，超多小羊可以近距离投喂拍照
大片草坪、风车、彩色小木屋，欧式田园风超出片
清新治愈，和海边、复古车站形成完全不一样的风景👸
3天2夜懒人行程参考（不赶路版）",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,休闲娱乐,Vana Nava 水上丛林乐园,亲子乐园与动物体验,Vana Nava Hua Hin,华欣市区,亲子游乐/动物体验,1,20260831小红书点点AI增量采集,https://www.xiaohongshu.com/explore/68efa9f700000000070310ca?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：🌴 华欣慢游指南
正文：3️⃣ Vana Nava 水上丛林乐园
如果你喜欢玩水，这里值得大半天。园里有19条不同刺激度的滑道，号称“亚洲首座热带丛林主题水上乐园”。带小朋友的话，儿童区也够他们疯玩。",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,休闲娱乐,Elephant Village,亲子乐园与动物体验,Elephant Village Hua Hin,华欣市区,亲子互动/大象体验,1,20260831小红书点点AI增量采集,https://www.xiaohongshu.com/explore/69c0d5bd000000001e00e743?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：给我7天时间，玩遍泰国华欣（旅游攻略）
正文：1. Elephant Village，骑大象，在丛林和池塘里穿行，很刺激。4.5星",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,康养SPA,The Barai Spa,SPA与水疗,เดอะ บาราย สปา,凯悦酒店内,高端SPA/康养放松,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/696ba0cc000000000b011a24?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：按了个摩
正文：泰国华欣凯悦里的The Barai Spa值得体验
一定酒店前台乘小车去（酒店内部走会错过静谧星星隧道）
建筑设计理念应该是按五行来的，色彩都很出片
房间有单人和双人两种
按摩前送淋浴和桑拿，干蒸湿蒸都有，湿蒸空间里放了青柠黄瓜苦瓜等蔬果，青涩沁人的味道，可以蒸很久
独立房间都带有室外有浴池的院子，超级大，按摩床的顶上有个天窗，正对肚脐位置，做完你会感觉吸收到了天地的能量，按完送姜茶排寒
选90分钟项目会送半小时
综合下来是挺好的体验
记得预约
#按摩spa[话题]# #泰国旅行[话题]#",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
北碧府,康养SPA,北碧府按摩一条街,泰式按摩,Massage Street,桂河,按摩/SPA/康养放松,0,20260831小红书点点AI增量采集,,,小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
北碧府,休闲娱乐,北碧府动物园大象保育营,亲子乐园与动物体验,Elephants World,桂河,亲子游乐/动物体验,1,20260831小红书点点AI增量采集,https://www.xiaohongshu.com/explore/6a843ae000000000250002fa?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：北碧府tips
正文：🚗Elephants World大象保育营（预约接送P5）
12:00-15:00午餐、大象喂食、河边洗象……",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
北碧府,休闲娱乐,北碧府野生动物园,亲子乐园与动物体验,safari park kanchanaburi,曼谷车程约3小时,亲子游乐/动物体验,4,既有全量候选,"https://www.xiaohongshu.com/explore/6a50994e000000001503c3ff?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/693d2ee0000000001f0043db?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6cab400000000008009c00?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a919da00000000004036952?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a29f99000000002602e689?xsec_token_redacted=1&xsec_source=pc_dots","「1」
标题：不是非洲去不起，曼谷周边safari更有性价比
正文：实名推荐北碧府野生动物园（ซาฟารีปาร์ค）！虽然离曼谷确实挺远的，但千万别被车程劝退。

本地泰国朋友帮查，可以在 Klook 或者 Trip 上直接报个一日游的小团，也特别省心。

具体的玩法：
基础门票（500-550铢，我忘记了具体金额💰，外国人专属高价）：
这个门票其实已经包含了坐园区的观光大巴进去逛一圈。一路上能看到狮子、老虎、豹子等等一堆动物。
🤪超级搞笑看到便秘的母狮子艰难拉💩

⚠️进去前一定要买胡萝卜！ 虽然现场 100 铢一盆略贵，但千万别省这个钱，也千万别自己偷偷带（园区为了动物健康严格禁止自带）。
大巴开进去的时候，长颈鹿会直接把大脑袋从窗户伸进车里疯狂抢吃的，舌头卷来卷去，现场真的又刺激又好玩，全车人都在尖叫！

后面的徒步园区： 坐完车别急着走，后面还有一个徒步区，可以近距离去跟各种小动物互动，特别治愈。
有一只脑门上有爱心白毛的灰色贪吃小羊🐑
还有一只对着你疯狂说hello的精钢鹦鹉🦜

🔔重头戏·斑马吉普车（1000铢/人）：
虽然大巴能喂长颈鹿，但最精彩的绝对是包这个斑马车去单独合影！
我们俩人独占一辆车，体验感直接拉满。车上有两个神仙管理员，大哥负责拿胡萝卜引诱长颈鹿、帮它们定位看镜头；大姐简直是拍照神器，拿游客手机疯狂抓拍，找角度巨专业，绝不出废片！
这个extral的行程要提前预定哦。

总之这一趟去得超值，不管是看猛兽、体验长颈鹿“贴脸开大”，还是拍人生照片，都妥妥值回票价。

地址：99 ถนน ลาดหญ้า-บ่อพลอย Nong Kum, Bo Phloi District, Kanchanaburi 71160泰国

#泰国旅游[话题]# #曼谷周边[话题]# #北碧府野生动物园[话题]# #长颈鹿拍照[话题]# #泰国包车一日游[话题]#

「2」
标题：泰国曼谷包车一日游 | 精选热门景点游
正文：🇹🇭曼谷周边有各种各样好玩的景点，市区有热门的大皇宫，郑王庙，湄南河夜游，水门寺，四面佛，着落暹罗海洋馆等等，周边府有野生动物园、巧克力小镇、水上市场等等，今天给大家规划了以下[五R]条热们经典包车线路
✅线路一：大皇宫（玉佛寺）--郑王庙--暹罗天地--水门寺--吞武里海鲜市场
✅线路二：野生动物园--海洋公园--巧克力庄园--暹罗四面佛--夜游湄南河
✅线路三：美攻火车铁道集市--丹嫩沙多水上市场--丹嫩大象园--热带雨林咖啡厅---曼谷夜市
✅线路四：北碧府野生动物园--森林呼吸餐厅--桂河大桥--‘小马尔代夫’咖啡厅--唐人街夜市
✅线路五：海军射击俱乐部--三头象神博物馆--暹罗古城72府--暹罗代天宫--夜游湄南河
景点不满意？❓
⚠️没关系，以上景点线路均可以根据需要进行调整的，安排您喜欢的景点打卡游览！
🚗多款车型选择：
5座小车/7座suv/10座豪华VIP车/7座豪华阿尔法车

💰包车价格：
🌈曼谷市区包车一日游10小时：
2400泰铢/5座车（1-4人）
2700泰铢/7座车（4-6人）
3500泰铢/10座保姆VIP车（6-10人）
8000泰铢/豪华阿尔法车（1-6人）
--------------------------
🌈曼谷郊区一日游10小时：
2700泰铢/5座车（1-4人）
2900泰铢/7座车（4-6人）
3800泰铢/10座保姆VIP车（6-10人）
8500泰铢/豪华阿尔法车（1-6人）
🎀一价全含：包括司机，车油，停车费和过路费
北碧府包车游更多包车游具体🉑📩评论区留言！

#泰国旅游[话题]# #泰国[话题]# #曼谷夜游湄南河[话题]# #一站式旅游[话题]# #曼谷包车一日游[话题]# #曼谷[话题]# #泰国包车游[话题]# #曼谷旅游[话题]# #曼谷包车[话题]# #旅游包车[话题]#

「3*混合贴」
标题：曼谷近郊I 北碧府就是要这么玩I 一日游
正文：🦒 第一站｜Safari Park Kanchanaburi
6:30am 从酒店出发，到达的时间还很早，就到附近的cafe休息一下，等待时间！时间一到赶紧去兑换门票。完成了跟长颈鹿近距离合照的愿望！这里最大的特色就是可以跟长颈鹿互动，完全不用隔着围栏，拍照真的超级出片。其实他们还有其它项目，不过我们觉得不划算，因为就喂小老虎拍张照就要800-1000THB。不过园内的动物有点少，跟长颈鹿拍完照后，会有小巴逛园内！
⚠️ 建议一定要预约好互动时间，在FB search *Safari Park, Kanchanaburi*，跟他们说日期时间，就等待回复。不要last minute, 至少14天前！
🎫 Entry ticket: 550THB/person I Giraffe encouter 1000THB/person

「4」
标题：🇹🇭帶娃衝泰國北碧府！長頸鹿把頭伸進車窗
正文：🇹🇭帶娃去泰國，這座北碧府野生動物園（Safari Park Kanchanaburi）絕對是全家最難忘的驚喜體驗！
搭遊園巴士進野生區，長頸鹿直接把頭「伸進車窗」討胡蘿蔔，小孩興奮到尖叫，近距離互動的畫面太治癒📷
🦒 必玩三大高光亮點
長頸鹿伸進窗戶零距離餵食
巴士一開進草食動物區，一群長頸鹿直接圍上來，把長脖子和靈活的舌頭探進車窗裡！看著小朋友從一開始驚訝縮到後面、到開心地遞胡蘿蔔，現場笑聲不斷，拍照張張是大片。
大象親密接觸（騎大象）
坐在象背上感受沉穩又慢節奏的步伐，帶小孩感受大象的溫和與高大視角，是很棒的大自然體驗。
逗趣大象表演
大象踢足球、畫畫、隨著音樂靈巧搖擺，聰明又有靈性，整場表演互動感十足，小朋友看得目不轉睛。
🏨 親子帶娃實用行程建議（強烈推薦前晚住渡假村）
前一天先住北碧渡假村：
從曼谷市區開車到北碧府單程約需 2.5～3 小時，帶小孩當天來回容易太累。建議前一天下午先抵達北碧府，入住附近的景觀渡假村，在泳池放空、享受河畔美景充電一晚。
隔天一早開門直衝園區：
早上從附近渡假村出發只需 30～40 分鐘，趁上午氣溫舒適、長頸鹿最有食慾又不用大排長龍時入園，體驗感最佳！
包車出行最省心：
包車直達渡假村與動物園，車上備妥推車、防曬帽、薄外套與防蚊液，小孩在車上隨時能吹冷氣補眠。
#泰國親子遊[话题]# #北碧府野生動物園[话题]# #北碧府旅遊[话题]# #長頸鹿互動[话题]# #泰國自由行[话题]# #曼谷周邊遊[话题]# #親子度假[话题]#

#与野生动物零距离[话题]# #动物园[话题]# #泰國[话题]#

「5」
标题：北碧府野生动物园-体验感满满的动物互动
正文：接上篇，午饭7-11面包打发，拍完长颈鹿合影吉普车再回到门口，和工作人员说要去walk with big cat，车带你去喂食区，更大的惊喜一点点来吧！（动物表演，动物互动体验都在那边）
下午1️⃣点：大象表演，稀稀拉拉的观众，互动感超强，20分钟结束后付小费还可以再喂及合影
2️⃣点：鳄鱼表演，躲避一下太阳，里面挺凉快。鳄鱼很大几乎不动，也是小费合影。（不喜欢可以跳过直接去喂动物）
演出后就和大猫🐯一起散步和喂食啦！
散步：1000฿，我选了老虎，据说她情绪最稳定，一开始我有点紧张，走着走着越来越大胆了……
喂食：100泰铢大概有20块鸡肉，可以喂20次。真的太值了！记得找最后照片的阿姨，会简单中文，给了100小费疯狂指挥老虎跳起来，还给你各种拍照和服务。黑豹、金钱豹、老虎都看见她很乖的样子
最大的惊喜喂小动物：没什么人，动物看见人都很热情❤️🔥100฿都有好多好多东西，比国内的值太多！推荐“小山羊喂奶”（看见你有奶瓶和胡萝卜追着你走）最推荐喂鸟和豚鼠，喂食的瓜子很难磕，一盘可以喂很久很久，鸟儿飞在你的手上头上，真的体验感满满……一直喂到关门，还不想走。工作人员也不催你，我们是实在不好意思让人家加班，只能撤了，出来还被司机弱弱的批评了一下，为什么关门了你们还可以玩这么久[害羞R]
总之，有机会还来的地方#与动物亲密接触[话题]# #动物零距离接触[话题]# #和小动物的亲密接触[话题]# #与野生动物零距离[话题]# #与动物亲密互动[话题]# #北碧府动物园[话题]# #北碧府攻略[话题]# #北碧府旅行[话题]#",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
北榄府,休闲娱乐,GIGAPARK,亲子乐园与动物体验,gigapark,Bang Na-Trat区,亲子游乐/动物体验,0,既有全量候选,https://www.xiaohongshu.com/explore/6918429500000000050106f3?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：曼谷🇹🇭｜带娃的宝藏地方‼️曼谷室内乐园
正文：📍GIGAPARK
เลขที่ 14/9 อาคารเทสโก้โลตัส สาขาบางนา หมู่ที่13 บางนา-ตราด51 Bang Kaeo, Bang Phli District, Samut Prakan 10540

Lotus二楼游乐场🎡
性价比很高，可玩的也很多也很安全！
价格便宜60块可以玩一天，旁边还有美食区可以吃饭。

💰kids zone
180泰铢90分钟，299畅玩一天
（大人免费）
💰Jump up zone
200泰铢90分钟，399畅玩一天
💰两个区域不限333泰铢3小时，500玩一天。
110cm一下的孩子需要家长一起，家长免费！

需要自备袜子🧦（或者前台30泰铢买一双）
3岁以下感觉kidszone 就已经足够了～2岁半女儿玩了3小时，已经累的在回程车上睡着了😂

#泰国亲子[话题]# #曼谷亲子[话题]# #曼谷自由行[话题]# #泰国旅行[话题]# #宝宝最爱的亲子游乐场[话题]# #遛娃好去处[话题]# #亲子乐园[话题]# #适合亲子游玩的地方[话题]# #曼谷遛娃[话题]# #曼谷室内游乐场[话题]#",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
