行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
巴蜀府,康养SPA,Ruen Boran Thai Massage,Ruen Boran Thai Massage,泰式按摩,华欣市区百年建筑内,51,3,疑似已存在,THXHSFINAL-1560:Ruen Boran Thai Massage,固定实体候选,合并既有记录，不新增,适合体验传统泰式按摩,150年历史、泡脚水有香水柠檬和香茅叶、按摩后有芒果糯米饭、足部按摩1小时300泰铢,"泰国华欣 / SPA马杀鸡💆🏼‍♀️Ruen Boran Thai Mass
来华欣都给我来这家马杀鸡！
来华欣发呆看海吃什么🍽️🏝️🐳","https://www.xiaohongshu.com/explore/69d37a40000000001a021f74?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a69d1950000000001000f11?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6985a063000000001b01c455?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,休闲娱乐,北碧府野生动物园,safari park kanchanaburi,亲子乐园与动物体验,曼谷车程约3小时,27,2,疑似已存在,THXHSFULL-0359:北碧府野生动物园,固定实体候选,合并既有记录，不新增,亲子游客,近距离接触野生动物、喂长颈鹿小老虎小狮子、需提前预约,"🌿【北碧府：泰国的隐世治愈系秘境】🌿
曼谷出发🚗2.5h 打卡这座小众宝藏小城","https://www.xiaohongshu.com/explore/68b961df000000001b021544?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65aa6faa000000002d030535?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,康养SPA,Health Station 2 Traditional Massage,Health Station 2 traditional massage,按摩店,市区,41,1,疑似已存在,THXHSFINAL-1372:Head Feel Good,固定实体候选,合并既有记录，不新增,按摩,"500泰铢/2小时,体验差按摩师力度不够且不专注",🇹🇭小众旅行地➡️春蓬，榴莲爱好者速来,https://www.xiaohongshu.com/explore/683b202d000000002102cc1b?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,康养SPA,Let's Relax,Let's Relax,连锁按摩,主街旁警局往前走,75,1,疑似已存在,THXHSFINAL-1308:Let's Relax(Central World店)；THXHSFINAL-1309:Let's Relax(Ratchadamri店)；THXHSFINAL-1310:Let's Relax(Siam Square店)；THXHSFINAL-1311:唐人街店)；THXHSFULL-0117:Let's Relax Spa（芭东）,固定实体候选,合并既有记录，不新增,手法好,"泰式按摩1小时300铢,技师很给力按到唉唉叫,环境不行手法棒",沙美島的Let’s Relax 服務與技術首選,https://www.xiaohongshu.com/explore/6a957805000000002303f434?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
沙敦府,康养SPA,Health Massage,Health Massage,按摩店,丽贝岛步行街,70,2,疑似已存在,THXHSFULL-0115:Salisa Spa / Health Massage,固定实体候选,合并既有记录，不新增,预算有限、追求性价比,350泰铢/小时、手法不错、但被吐槽临时换技师,"丽贝岛6天 不愿意醒的一场梦💙🪼
丽贝岛躺平日记","https://www.xiaohongshu.com/explore/6a3e8c2b0000000016026d46?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6945d163000000001e0052cd?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
沙敦府,康养SPA,SABYE Health Massage,,泰式按摩,,70,2,疑似已存在,THXHSFULL-0114:SABYE Health Massage,固定实体候选,合并既有记录，不新增,预算有限、追求性价比,350泰铢/小时、但被吐槽有擦边服务、手法一般,"丽贝岛6天 不愿意醒的一场梦💙🪼
丽贝岛的泰式按摩推荐两家","https://www.xiaohongshu.com/explore/6a3e8c2b0000000016026d46?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/690d549100000000070153c2?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
沙敦府,康养SPA,Triluck Massage,Triluck Health Massage,SPA,丽贝岛芭提雅沙滩,70,5,疑似已存在,THXHSFULL-0111:Triluck Health Massage,固定实体候选,合并既有记录，不新增,追求海景按摩、预算充足,Google评分4.9、沙滩露天、椰子油按摩、400-450泰铢/60分钟、需预约,"丽贝岛从夯到拉测评2.0
丽贝岛6天 不愿意醒的一场梦💙🪼
丽贝岛SPA天花板🌊4.9分沙滩露天按摩
丽贝岛躺平日记
丽贝岛｜按摩天花板","https://www.xiaohongshu.com/explore/69fb0721000000002301dd8a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a3e8c2b0000000016026d46?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69d3d16c000000002200247e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6945d163000000001e0052cd?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69f5ce67000000003503313e?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,康养SPA,The Barai Spa,เดอะ บาราย สปา,SPA与水疗,凯悦酒店内,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合追求设计感/高端体验,建筑设计按五行理念、色彩出片、有桑拿湿蒸、90分钟项目送半小时,按了个摩,https://www.xiaohongshu.com/explore/696ba0cc000000000b011a24?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
春蓬府,康养SPA,วันสุข นวดเพื่อสุขภาพ สาขา1,วันสุข นวดเพื่อสุขภาพ สาขา1,按摩店,市区,41,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,放松/按摩,"250泰铢/小时,试了几家最舒服价格合理",🇹🇭春蓬｜三天三夜吃喝住行全攻略,https://www.xiaohongshu.com/explore/69a82d160000000022023db8?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
呵叻府,休闲娱乐,促猜农场,Farm Chokchai / ฟาร์มโชคชัย,亲子乐园与动物体验,北冲县,55,6,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,亲子家庭,"泰国最大休闲牧场,可喂小牛、挤牛奶、看牛仔表演","泰国考艾亲子攻略｜自然×农场×美食一次满足
Khao Yai｜泰国考艾7个宝藏景点+餐厅+住宿
泰国🇹🇭考艾 3天2晚自由行攻略
曼谷出发2.5h🚗考艾促猜农场🐏
🇹🇭考艾-曼谷周边一日往返农场遛娃🐑🐄","https://www.xiaohongshu.com/explore/695cb06f000000001a023951?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7dcfc5000000000c003001?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6985c506000000000d00a373?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a92e46f000000002903ccb4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/692dd4ee000000001e0358f2?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
