候选ID,问题ID,采集轮次,来源阶段,行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,游客需求场景,AI证据强度,POI细分类型证据,地理位置描述证据,游客需求场景证据,字段证据审核状态,名称直接命中帖子数（非热度）,证据帖子ID,证据标题,证据URL,固定实体初筛,分店消歧状态,审核结论,合并主候选ID,审核备注,原始回答行
POICAND-B19844CC52042B6E,GYTRAVEL-S4-F002,1,20260914_贵阳特色热门美食体验_六区一市,乌当区,餐饮美食,张记凯里味正酸汤,未确认,酸汤火锅,新添寨,社区正餐,弱（仅N31盘点帖提及）,,,,,1,6a98f0f8000000002a006222,贵阳酸汤火锅 | 5家非网红老店,https://www.xiaohongshu.com/explore/6a98f0f8000000002a006222?xsec_token_redacted=1&xsec_source=pc_dots,通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,张记凯里味正酸汤｜未确认｜餐饮美食｜酸汤火锅｜乌当区｜新添寨｜社区正餐｜弱（仅N31盘点帖提及）
POICAND-D432FA5B668F7144,GYTRAVEL-S4-F005,1,20260914_贵阳特色热门美食体验_六区一市,乌当区,餐饮美食,资家羊肉粉,资家羊肉粉,羊肉粉馆,保利附近,游客打卡、排队、羊脑花,弱,,,,,1,6a7dd9590000000022031eca,乌当美食｜资家羊肉粉香得我无法,https://www.xiaohongshu.com/explore/6a7dd9590000000022031eca?xsec_token_redacted=1&xsec_source=pc_dots,通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,资家羊肉粉｜资家羊肉粉｜餐饮美食｜羊肉粉馆｜乌当区｜保利附近｜游客打卡、排队、羊脑花｜弱
POICAND-6B913F1713196961,GYTRAVEL-S4-F016,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,Combos咖啡,Combos,一豆三喝咖啡,富水中路104号富侨公寓东楼1层,木姜子特调一豆三喝,中（2026-09单篇）,,,,,2,"6a2e60c40000000015025f56
6aa4c0f3000000002902ecfe","贵阳记录
贵阳咖啡 一种咖啡多种体验的Combos","https://www.xiaohongshu.com/explore/6a2e60c40000000015025f56?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa4c0f3000000002902ecfe?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,Combos咖啡｜Combos｜餐饮美食｜一豆三喝咖啡｜云岩区｜富水中路104号富侨公寓东楼1层｜木姜子特调一豆三喝｜中（2026-09单篇）
POICAND-E77A9526507C3FD0,GYTRAVEL-S4-F016,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,FUDOU胡豆咖啡,FUDOU,特调咖啡,省府路2号（原贵山饭店）,苹果特调、一豆三喝,高（2026-02至09多篇）,,,,,4,"699c1530000000001503aec1
6a7f31a900000000250170e7
6a9abf47000000000d025dfb
6aa617ba000000002502f9fd","贵阳咖啡封神3家｜实测不踩雷‼️直接抄作业
贵阳咖啡三巨头（胡豆|乔治队长|对的）感受
贵阳行之咖啡三巨头☕️
贵阳咖啡封神4家｜实测不踩雷‼️直接抄作业","https://www.xiaohongshu.com/explore/699c1530000000001503aec1?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7f31a900000000250170e7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a9abf47000000000d025dfb?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa617ba000000002502f9fd?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,FUDOU胡豆咖啡｜FUDOU｜餐饮美食｜特调咖啡｜云岩区｜省府路2号（原贵山饭店）｜苹果特调、一豆三喝｜高（2026-02至09多篇）
POICAND-29F82675136C6B86,GYTRAVEL-S4-F016,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,OuiOui,OuiOui,咖啡特调,省府东街14号院门口,刺梨冰萃咖啡,中（2026-06单篇）,,,,,1,6a2cf689000000000803dd7a,｜OuiOui｜贵阳从来不缺少给人惊喜的咖啡,https://www.xiaohongshu.com/explore/6a2cf689000000000803dd7a?xsec_token_redacted=1&xsec_source=pc_dots,通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,OuiOui｜OuiOui｜餐饮美食｜咖啡特调｜云岩区｜省府东街14号院门口｜刺梨冰萃咖啡｜中（2026-06单篇）
POICAND-4A3E15C70728D713,GYTRAVEL-S4-F006,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,一烙锅,盐务街店/友谊路店,烙锅,盐务街、友谊路,唤俊同款打卡、夜宵,强，约6篇（N4/N6/N9/N11/N13/N19/N36）,,,,,15,"6704c2bd000000002c014aba
690f4fbd0000000004021702
69e7241a0000000021007c68
6a203aef0000000007013600
6a302035000000002100a4f2
6a3d2bbb0000000022015c1b
6a5e0033000000000c014488
6a770252000000003300f9e2
6a7b57320000000005033c48
6a7bed6000000000330097d4
6a8318770000000005020cea
6a89965d000000003300d484
6aa3b62e0000000011038cfb
6aa4b1360000000028031620
6aa78679000000000b0358e8","请一定要吃完这几家再离开贵阳😭
贵阳烙锅Battle🔥｜四家顶流实测！
📍贵阳美食打卡 | 盐务街小耳朵清水烫

本地人强推的盐务街小耳朵清水烫！作
分享在我心中贵阳top1的烙锅㊙️（无广）
本地人整理的贵阳美食合集……
在贵阳个人觉得无法超越的店！！！（附地址
逛吃贵阳不迷茫→2026必吃美食榜单上新
火热来袭，贵阳“烫烫”测评
打卡唤俊同款烙锅！！！一烙锅（友谊路）
2026贵阳必吃榜｜完整38家
一、火锅/豆米/酸汤/虾酸（14家）
1. 黔渔
贵阳会一直带好朋友去的10家。。。（平价
跟着乌啦啦&唤俊真的不踩雷！一张嘴完全不够炫啊
跟着两位博主打卡贵阳这七家
吃完
贵阳本地人推荐的店（穷凶极饿版）
跟着乌啦啦&唤俊真的不踩雷！一张嘴完全不
中秋国庆来贵阳的收好！！","https://www.xiaohongshu.com/explore/6704c2bd000000002c014aba?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/690f4fbd0000000004021702?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69e7241a0000000021007c68?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a203aef0000000007013600?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a302035000000002100a4f2?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a3d2bbb0000000022015c1b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a5e0033000000000c014488?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a770252000000003300f9e2?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7b57320000000005033c48?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7bed6000000000330097d4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8318770000000005020cea?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a89965d000000003300d484?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa3b62e0000000011038cfb?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa4b1360000000028031620?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa78679000000000b0358e8?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,一烙锅｜盐务街店/友谊路店｜餐饮美食｜烙锅｜云岩区｜盐务街、友谊路｜唤俊同款打卡、夜宵｜强，约6篇（N4/N6/N9/N11/N13/N19/N36）
POICAND-C14BCBFB9D277EED,GYTRAVEL-S4-F018,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,一烙锅,一烙锅,烙锅,盐务街总店、陕西路店等,游客夜宵吃烙锅、周深同款,高,,,,,6,"66ed3ec20000000025032072
690f4fbd0000000004021702
69395903000000001e032852
6a8525d5000000002202c79c
6a913f940000000026036586
6aa55d6c000000002b01e276","贵阳🍅到底是谁还在推荐民生路啊?!🤨
贵阳烙锅Battle🔥｜四家顶流实测！
贵阳烙锅探店，好吃到停不下来😋
贵阳美食天花板｜本地人私藏6大品类
贵阳10家美食｜精简版
贵阳美食攻略完整分类版","https://www.xiaohongshu.com/explore/66ed3ec20000000025032072?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/690f4fbd0000000004021702?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69395903000000001e032852?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8525d5000000002202c79c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a913f940000000026036586?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa55d6c000000002b01e276?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,一烙锅｜一烙锅｜餐饮美食｜烙锅｜云岩区｜盐务街总店、陕西路店等｜游客夜宵吃烙锅、周深同款｜高
POICAND-EFCB564162150190,GYTRAVEL-S4-F017,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,一烙锅,盐务街老店,深夜烙锅,盐务街,演唱会散场后夜宵,中（N46/N47 提及）,,,,,5,"69ce36f8000000001d01a001
6a9cbaa40000000026009f0f
6aa4b1360000000028031620
6aa4c448000000002b01d2ec
6aa796900000000026023d69","来贵阳要带1TB的胃
离开贵阳让我念念不忘的9家。。。
跟着乌啦啦&唤俊真的不踩雷！一张嘴完全不
汪苏泷演唱会前白天有没有安排逛吃计划？
贵阳美食！照着吃不踩雷！","https://www.xiaohongshu.com/explore/69ce36f8000000001d01a001?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a9cbaa40000000026009f0f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa4b1360000000028031620?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa4c448000000002b01d2ec?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6aa796900000000026023d69?xsec_token_redacted=1&xsec_source=pc_dots",通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,一烙锅｜盐务街老店｜餐饮美食｜深夜烙锅｜云岩区｜盐务街｜演唱会散场后夜宵｜中（N46/N47 提及）
POICAND-43ECC058332DD3E8,GYTRAVEL-S4-F001,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,一烙锅（盐务街老店）,Yiluoguo,烙锅,盐务街,游客体验贵阳烙锅，饭点排队猛,证据强度：强（N4/N8/N35）,,,,,1,6a9cbaa40000000026009f0f,离开贵阳让我念念不忘的9家。。。,https://www.xiaohongshu.com/explore/6a9cbaa40000000026009f0f?xsec_token_redacted=1&xsec_source=pc_dots,通过候选,待Google阶段消歧,待审核,,分类、位置与场景必须逐项由原帖证据确认；AI回答仅作候选。,一烙锅（盐务街老店）｜Yiluoguo｜餐饮美食｜烙锅｜云岩区｜盐务街｜游客体验贵阳烙锅，饭点排队猛｜证据强度：强（N4/N8/N35）
POICAND-B5C12E3C819B128A,GYTRAVEL-S4-F009,1,20260914_贵阳特色热门美食体验_六区一市,云岩区,餐饮美食,一统烤肉（民生路）,—,烤肉/烤串,民生路,排队等位：排队王、经常爆满,笔记,,,,,0,,,,通过候选,待Google阶段消歧,待审核,,未在本题完整来源帖中直接命中名称；不得进入正式表，需人工找证据或补采。,一统烤肉（民生路）｜—｜餐饮美食｜烤肉/烤串｜云岩区｜民生路｜排队等位：排队王、经常爆满｜笔记
