行政区,POI业务类型,POI名称,POI泰文名称,POI细分类型,地理位置描述,名称直接命中帖子数（非热度）,证据样例标题,证据样例URL,重要口径
巴蜀府,康养SPA,The Barai Spa,เดอะ บาราย สปา,SPA与水疗,凯悦酒店内,1,按了个摩,https://www.xiaohongshu.com/explore/696ba0cc000000000b011a24?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,休闲娱乐,促猜农场,Farm Chokchai / ฟาร์มโชคชัย,亲子乐园与动物体验,北冲县,6,"泰国考艾亲子攻略｜自然×农场×美食一次满足
Khao Yai｜泰国考艾7个宝藏景点+餐厅+住宿
泰国🇹🇭考艾 3天2晚自由行攻略
曼谷出发2.5h🚗考艾促猜农场🐏
🇹🇭考艾-曼谷周边一日往返农场遛娃🐑🐄","https://www.xiaohongshu.com/explore/695cb06f000000001a023951?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7dcfc5000000000c003001?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6985c506000000000d00a373?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a92e46f000000002903ccb4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/692dd4ee000000001e0358f2?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,休闲娱乐,Sweet&Green Farm,Sweet&Green Farm,亲子乐园与动物体验,北冲县,1,泰国考艾亲子攻略｜自然×农场×美食一次满足,https://www.xiaohongshu.com/explore/695cb06f000000001a023951?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,休闲娱乐,Thongsomboon Club,Thongsomboon Club,户外乐园,北冲县,1,📷泰国宝藏打卡地Vol.14——Thongsomboonclub,https://www.xiaohongshu.com/explore/64df4146000000001201b90c?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
攀牙府,康养SPA,Finn Massage,芬恩按摩,精油按摩,邦娘夜市附近,1,🇹🇭考拉Khao Lak - 四天四夜,https://www.xiaohongshu.com/explore/69cbb7c4000000001a028066?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
攀牙府,康养SPA,Nalinya Spa,娜琳雅SPA,亲子SPA,卡塔坦尼金沙度假村,1,家庭Spa💆才是泰国亲子游正确打开方式！,https://www.xiaohongshu.com/explore/673b22a60000000008005402?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
攀牙府,康养SPA,Quan Spa,权SPA,高端SPA,JW万豪酒店内,1,考拉JW 万豪水疗度假酒店,https://www.xiaohongshu.com/explore/6a5b3db4000000000301fe63?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
攀牙府,康养SPA,Sala Massage,萨拉按摩,海滩按摩,卡塔坦尼金沙度假村,1,家庭Spa💆才是泰国亲子游正确打开方式！,https://www.xiaohongshu.com/explore/673b22a60000000008005402?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
清莱府,康养SPA,Akha Ya Massage & Spa,Akha Ya Massage & Spa,按摩店,夜市869/169 Phahonyothin Rd,1,清莱spa探店|人均250泰铢💆60min泰式按摩,https://www.xiaohongshu.com/explore/5e465d340000000001008a1d?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
清莱府,康养SPA,Baan Tawan Massage,Baan Tawan Massage,按摩店,班塔万民宿一层,1,泰国清莱旅游 泰式按摩,https://www.xiaohongshu.com/explore/62b6b829000000000102c058?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
