entityType,entityChineseName,field,fieldChineseName,dataType,constraint,index,optional,description,currentNonEmptyCount,coveragePercent
City,城市,id,标识,Text,NotNull,Text,,全局唯一稳定标识，独立铸造，不由名称或来源拼接派生 —— 用「名称+章节」拼 id 会在同一对象被多次采集时产生重复实体,1,1
City,城市,name,名称,Text,NotNull,TextAndVector,,,1,1
City,城市,adminCode,行政区划代码,Text,,Text,,,1,1
City,城市,description,描述,Text,,TextAndVector,,,0,0
City,城市,bestSeason,推荐季节,Text,,TextAndVector,,,0,0
City,城市,spatialCoordinateSystem,空间索引统一坐标系,Text,"NotNull,Enum=""WGS84,GCJ02,BD09""",Text,,本图项目所有可进入地图、H3 候选集和精确距离计算的坐标必须统一到这一坐标系；查询坐标也必须先转换到同一坐标系。当前贵阳项目固定为 GCJ02，因为空间底图和地图运行时均来自高德。不同坐标系绝不能混入同一组 H3 索引,1,1
City,城市,h3FineResolution,H3细分辨率,Integer,NotNull,,,h3Index 的项目级分辨率；当前为 R9，服务 1km 以内候选检索,1,1
City,城市,h3CoarseResolution,H3粗分辨率,Integer,NotNull,,,h3IndexCoarse 的项目级分辨率；当前为 R7，服务 1km 以上候选检索，必须小于 h3FineResolution,1,1
City,城市,latitude,纬度,Float,,,,,0,0
City,城市,longitude,经度,Float,,,,,0,0
City,城市,coordinateSystem,坐标系,Text,"Enum=""WGS84,GCJ02,BD09,unknown""",Text,,本实体所存经纬度的坐标系；有坐标时必填。exact 必须等于 City.spatialCoordinateSystem；unknown 不得进入 H3 或附近检索,0,0
City,城市,h3Index,空间网格,Text,,Text,,由同一组经纬度通过 h3-py 4.x latlng_to_cell 派生的真实 H3 R9 单元（平均边长约 200.8m），用于 1km 以内的就近检索。用法固定为「算含一圈安全冗余的 k 环 → 批量等值查 → 再算精确距离」：相距 50m 的两个 POI 可能落在不同格，只查同一格会静默漏召回。超过 1km 改用 h3IndexCoarse；按安全环估算，R9 在 5km 约 817 格、10km 约 2791 格。编码必须能通过 is_valid_cell，且分辨率与坐标重算结果一致,0,0
City,城市,h3IndexCoarse,粗粒度网格,Text,,Text,true,由同一组经纬度通过 h3-py 4.x latlng_to_cell 派生的真实 H3 R7 单元（平均边长约 1.406km），用于 1km 以上的就近检索。按含一圈安全冗余的 k 环估算，3km、5km、10km 分别查 37、61、127 格；同场景 R9 分别约 331、817、2791 格。检索层按半径选字段并在粗筛后计算精确距离；本字段与 h3Index 必须成对填写并能由坐标重算验证,0,0
City,城市,geoPrecision,坐标精度,Text,"NotNull,Enum=""exact,approx,none""",Text,,exact=已核验的独立点位，必须有项目统一坐标系及成对 R9/R7 H3，可参与地图与附近排序；approx=中心点、继承点或估算点，只用于范围展示或归属说明，不写 H3、不参与附近排序；none=无直接坐标，坐标、坐标系和 H3 均为空,1,1
City,城市,picture,图片,Text,MultiValue,Text,,,0,0
City,城市,pictureDesc,图片说明,Text,MultiValue,TextAndVector,,与 picture 顺序一一对应，供展示与图片检索,0,0
City,城市,sourceId,来源ID,Text,NotNull,Text,,该实体的主来源，指向 DataSource.id。多源融合时它只代表主源，逐字段的出处见 fieldSources,1,1
City,城市,fieldSources,字段级来源,Text,MultiValue,Text,,形如 name:src_amap、summary:src_baike。多源融合后整个实体只标一个主源说不清「名称来自高德、简介来自百科」，出问题时无法定位是哪个源写错的,0,0
City,城市,fieldUpdatedAt,字段级更新时间,Text,MultiValue,Text,,形如 ticketPrice:2026-09-10。用于回答「这个票价是什么时候采的」，比实体级 updatedAt 精确,0,0
City,城市,batchId,采集批次,Text,,Text,,指向 CollectionBatch.batchId；未登记批次的数据不得入库,1,1
City,城市,externalIds,外部标识,Text,"NotNull,MultiValue",Text,,"跨源去重键。形如 amap:B0FFH..., baike:956442。同一对象在多次采集或多来源出现时，必须先按本字段查重命中已有实体再决定新建或更新；不得用名称拼 id 去重 —— 实测同一词条出现在两个采集目录时会产生重复实体",1,1
City,城市,lastVerifiedAt,最近核验时间,Text,,Text,,最近一次被人或权威源确认「现在仍然成立」的时间，区别于 lastSeenAt（只说明抓到过）。票价、营业时间挂在实体上，没有本字段就回答不了「这个价核过没有、多久没核了」；与来源的 refreshDays 一起判定该不该重采,0,0
City,城市,verifiedBy,核验人或来源,Text,,Text,true,人工复核填工号，权威源自动核验填 DataSource.id,0,0
City,城市,dataQuality,数据质量,Text,"NotNull,Enum=""ingestable,needs_review,rejected,archived""",Text,,【共享词表 DataQuality】唯一的对外闸门。置为 ingestable 必须同时满足四条，缺一不可，且四条全部可由本 schema 的字段机器判定，不靠人记规则：① lastVerifiedAt 非空；② 每个对外字段的 fieldSources 指向的 DataSource.publishable=是，百科等不可发布来源写的字段必须先由官方源覆盖或人工确认；③ 该字段有断言级 SourceEvidence（带 field 与 quote），词条级证据不算；④ updatedAt 不晚于 lastVerifiedAt —— 核验之后内容又变过的必须自动退回 needs_review，否则改了价照样对外。needs_review 只进人工队列不对外；archived 为软删除，引用保留但不出现在任何对外查询 —— 删除一个景区平均波及 34 条引用，其中 18 条是 targetId 软引用不在图上，硬删会留下指向空对象的知识,1,1
City,城市,contentHash,内容哈希,Text,,Text,,对业务字段与关系一并求哈希；哈希不变时不得推进 updatedAt，否则无法回答「哪些真的变了」。必须把关系算进去 —— 关系是内容不是元数据。漏算会让「第一遍灌实体、第二遍补关系」的分步挂载中，第二遍因指纹未变被判为未变而整个吞掉，图上永远建不起边,1,1
City,城市,createdAt,首次入库时间,Text,,Text,,,1,1
City,城市,updatedAt,内容更新时间,Text,,Text,,内容变更时刻，不是抓取时刻,1,1
City,城市,lastSeenAt,最近抓取时间,Text,,Text,,最近一次抓到本记录的时间。contentHash 未变时只推进本字段、不推进 updatedAt —— 否则重复抓取会把「最近更新」刷屏，人工复核队列也会被无变化的记录淹没,1,1
City,城市,referencedBy,被引用数,Integer,,,,指向本实体的硬引用与软引用总数，入库时由灌数器维护。删除或下线前先读本字段判断波及面；为 0 才可安全硬删，否则一律走 dataQuality=archived 软删除,1,1
City,城市,archivedAt,归档时间,Text,,Text,,软删除时刻。归档后实体与引用全部保留，仅从对外查询中过滤，证据与历史知识仍可追溯,0,0
City,城市,archiveReason,归档原因,Text,,Text,,如「景区永久关闭」「重复实体已合并至 XX」。合并去重时被并方也走归档而非删除，以便回查,0,0
AdminArea,行政区,id,标识,Text,NotNull,Text,,全局唯一稳定标识，独立铸造，不由名称或来源拼接派生 —— 用「名称+章节」拼 id 会在同一对象被多次采集时产生重复实体,157,1
AdminArea,行政区,name,名称,Text,NotNull,TextAndVector,,,157,1
AdminArea,行政区,adminCode,行政区划代码,Text,NotNull,Text,,,157,1
AdminArea,行政区,level,层级,Text,"NotNull,Enum=""市,区县,街道乡镇""",Text,,,157,1
AdminArea,行政区,parentAdminArea,上级行政区,AdminArea,,,,市级为空,156,0.9936305732484076
AdminArea,行政区,boundaryH3Cells,边界网格,Text,MultiValue,Text,true,本行政区范围由高德行政区域查询的 polyline 经 h3shape_to_cells(R8) 转出的格子集合。行政区是面不是点，只存中心点判定不了包含关系；转成格子后「这个坐标属于哪个区」退化为等值匹配，图库不需要支持任何多边形运算。与 GeoCell 同分辨率，两者可直接做集合运算,148,0.9426751592356688
AdminArea,行政区,registryVerified,区划已官方核对,Text,"NotNull,Enum=""是,否""",Text,,本条区划是否经政府公开区划信息核对。区县级已用民政部数据逐条比对全部为是；街道乡镇级仅部分区完成核对，未核对的暂用地图厂商注册表并置为否 —— 未核对不等于错误，但不得当作官方口径对外,157,1
AdminArea,行政区,registrySource,区划来源,Text,,Text,,形如 mca:202301xzqh@2026-09-15 或 amap:district:520102@2026-09-14。区划会调整，来源与时点必须可追溯到具体版本,157,1
AdminArea,行政区,registryLagTownships,登记但边界未切分的下级,Text,MultiValue,Text,true,在本级区划注册表中已登记、但地图厂商的逆地理编码边界尚未切分出来的下级街道乡镇。实测贵阳 7 区共 8 个：南明区的花果园街道与湘雅街道已登记，但花果园地块的坐标仍被判给后巢乡/太慈桥街道/遵义路街道。 这类差异不得靠猜测改写 —— 区县级归属不受影响，乡级须标记 townshipLagRisk 交人工核定,0,0
AdminArea,行政区,boundarySource,边界来源,Text,,Text,true,记录边界从哪来与何时取的，形如 amap:district:520102@2026-09-14。行政区划会调整，边界必须可追溯到具体版本,0,0
AdminArea,行政区,latitude,纬度,Float,,,,,0,0
AdminArea,行政区,longitude,经度,Float,,,,,0,0
AdminArea,行政区,coordinateSystem,坐标系,Text,"Enum=""WGS84,GCJ02,BD09,unknown""",Text,,本实体所存经纬度的坐标系；有坐标时必填。exact 必须等于 City.spatialCoordinateSystem；unknown 不得进入 H3 或附近检索,0,0
AdminArea,行政区,h3Index,空间网格,Text,,Text,,由同一组经纬度通过 h3-py 4.x latlng_to_cell 派生的真实 H3 R9 单元（平均边长约 200.8m），用于 1km 以内的就近检索。用法固定为「算含一圈安全冗余的 k 环 → 批量等值查 → 再算精确距离」：相距 50m 的两个 POI 可能落在不同格，只查同一格会静默漏召回。超过 1km 改用 h3IndexCoarse；按安全环估算，R9 在 5km 约 817 格、10km 约 2791 格。编码必须能通过 is_valid_cell，且分辨率与坐标重算结果一致,0,0
AdminArea,行政区,h3IndexCoarse,粗粒度网格,Text,,Text,true,由同一组经纬度通过 h3-py 4.x latlng_to_cell 派生的真实 H3 R7 单元（平均边长约 1.406km），用于 1km 以上的就近检索。按含一圈安全冗余的 k 环估算，3km、5km、10km 分别查 37、61、127 格；同场景 R9 分别约 331、817、2791 格。检索层按半径选字段并在粗筛后计算精确距离；本字段与 h3Index 必须成对填写并能由坐标重算验证,0,0
