行政区,POI业务类型,POI名称,POI泰文名称,POI细分类型,地理位置描述,名称直接命中帖子数（非热度）,证据样例标题,证据样例URL,重要口径
巴蜀府,餐饮美食,正盛餐厅,เจ๊เล้ง ซีฟู้ด,中泰融合餐厅,夜市前一个十字路口,1,【泰国❤︎华欣】夜市不能错过的餐厅&马杀鸡,https://www.xiaohongshu.com/explore/5c17cb7b00000000090225e3?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,餐饮美食,Aowtakiab Seafood,อ่าวตะเกียบ ซีฟู้ด,海景海鲜餐厅,筷子山附近海边,1,🇹🇭泰国华欣｜Aowtakiab Seafood海鲜餐厅,https://www.xiaohongshu.com/explore/6a2bbd0b000000000e021800?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,餐饮美食,Aunt Jaew's Kitchen,ครัวป้าแจ๊ว,海鲜餐厅,เขาตะเกียบ,1,🇹🇭华欣｜隐藏海鲜小馆（附地址）,https://www.xiaohongshu.com/explore/6a8e784f000000002502601d?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,餐饮美食,Baan Ko Hua Hin,ร้านอาหารบ้านโก หัวหิน,海鲜餐厅,Naebkehardt Rd,1,🇹🇭华欣｜隐藏海鲜小馆（附地址）,https://www.xiaohongshu.com/explore/6a8e784f000000002502601d?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,餐饮美食,Bonnie,บอนนี่,海边咖啡馆,去华欣途中顺路,1,泰国华欣七岩海边咖啡店,https://www.xiaohongshu.com/explore/64c7abcc000000000b02acbe?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,餐饮美食,Chow Mong Restaurant,ร้านอาหารชาวมง,泰式餐厅,The Peri Hua Hin Hotel内,1,🇹🇭华欣｜隐藏海鲜小馆（附地址）,https://www.xiaohongshu.com/explore/6a8e784f000000002502601d?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,餐饮美食,Hawaii Sky Beach Cafe,ฮาวาย สกาย บีช,海边咖啡馆,距离华欣市中心38km开车50分钟,1,华欣附近自驾〡七岩海边摆烂躺的咖啡店,https://www.xiaohongshu.com/explore/6a8696c5000000002300d6d6?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,餐饮美食,It's Here Coffee House,อิตส์ เฮียร์ คอฟฟี่,创业咖啡店,七岩区,1,泰国🇹🇭华欣☕年轻人创业咖啡店,https://www.xiaohongshu.com/explore/68a5adec000000001d017e83?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,餐饮美食,Jhe Maew Pak Nam Pran,เจ๊แมว ปากน้ําปราณ,海鲜餐厅,距离华欣市中心23km海边,1,华欣附近〡Pran Buri海鲜店，碾压华欣所有,https://www.xiaohongshu.com/explore/6a91b78c000000002503d38d?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,餐饮美食,Ka Phrao Hom,กาเผื่อหอม,泰式餐厅,市区,2,"🇹🇭泰好吃❤️‍🔥泰国华欣吃饭记录
来华欣发呆看海吃什么🍽️🏝️🐳","https://www.xiaohongshu.com/explore/6a6c9f960000000025006cdc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6985a063000000001b01c455?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
