帖子知识ID,关联问题ID,来源采集阶段,小红书帖子ID,标题,作者,发布日期,URL,帖子正文,正文状态,正文字符数,点赞数,采集时间,内容SHA256,重复来源记录数,重要口径
XHSPOST-5B49952907EF1C50AE3C329E,GYTRAVEL-S2-F001,20260904_第二阶段_餐饮住宿扩充,5b49952907ef1c50ae3c329e,"没吃过肠旺面可不算来过贵阳！这几家肠旺面一定要尝～
#贵阳[地点]##贵阳旅行[",夜猫子二,2018-07-14,https://www.xiaohongshu.com/explore/5b49952907ef1c50ae3c329e?xsec_token_redacted=1&xsec_source=pc_dots,"没吃过肠旺面可不算来过贵阳！这几家肠旺面一定要尝～
#贵阳[地点]##贵阳旅行[话题]##肠旺面[自定义]#
关于贵阳肠旺面老一辈的人会说汤宽哨子多，面条几根根。是很多贵阳人的早餐，也有很多贵阳人午晚餐也会选择一碗肠旺面解决，而且吃肠旺面一定要加一点醋提味，这都是我去吃肠旺面遇到的老人家教的～
🌟【师赐福肠旺面】
肠旺面中我真的最爱他家，经常跑去吃，肥肠血旺大块，特满足，血旺烫得特别特别嫩，油水足不腻。每天超多贵阳人来吃早餐的，也会有贵阳老人家，图3⃣️照的时候我是大概十点去吃，而且坐的里面，所以比较空，去早点八九点时会有很多很多人，而且他家祖辈开始就做肠旺面，非常厉害！#师赐福肠旺[地点]# 位置在解放路上，可导航，离火车站很近的！
🌟【南门口】
在贵阳已经很有名气了，天天排队😑，除非半夜12点去就不排，但是还好每次不会排很久，我是隔段时间必去吃的！我朋友在外地每次回来也要去吃他家的。他家【鸡肠旺】最爱，不过照片不在了，照片是某天半夜12点突然去吃拍的肠旺面，哈哈哈哈。
去他家会看见很多贵阳老爷爷婆婆去吃的，又一次我和一个老爷爷，一对外地情侣恰好凑一桌，老爷爷看他们是外地人就给他们讲怎么吃，还说他吃了快三十年了👍，说其实南门口现在不如以前味道好，不过找不到更好吃的，现在味道也能将就😄不过当时这对情侣吃不来贵阳的味道，剩了大半碗，可心疼我了！
还有他家可以买到贵阳青岩产的【成有王记】酸梅汤，贵阳酸梅汤很多，最有名的是这个，个人觉得最好喝的也是它，市区好多地方都能买到喔，建议也尝一下，夏天喝特解暑，长相如图9⃣️。#南门口肠旺面[地点]#
位置在下护国路，旁边挨着有家湖南面，也是人气超高的！！旁边还有全林步行街，吃的也很多！！
🌟【金牌罗记肠旺面】
这家也非常有名气，我还是去年去吃过两次，sorry没照片～😂也很好吃的！也是是排队的，只不过他家我很不顺路，又不爱特意跑去吃，所以很少去，但如果我住附近或者顺路，很愿意去排队吃的！#金牌罗记肠旺面[地点]# 位置在蔡家街街口
这三家是我心中绝对的前三名，个人口味喔～不过贵阳还有很多家肠旺面。
🌟另外还有【程肠旺】，也是名气在外，他家老板比较拽😂😂【蒋家肠旺面】【威西门蔡家肠旺面】也很有名气，不过我近几年没去吃了，已经忘记具体味道怎么样了。
然后外地盆友们不一定吃得来这味道，遇见蛮多外地人慕名去吃都会剩的😂😂😂我们可是每次吃光光就剩点汤的，不过还是建议盆友们来感受一下味道喔～店都可以导航哈！
#贵阳美食[话题]##贵阳[地点]##贵阳肠旺面[自定义]#",完整,1065,76,2026-09-04T01:23:02-07:00,7d6deb10765f7e60923fa0160b83bbe1ed69cb80bbb11df7e0f58beaf08b6ab4,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-5CF0ED7B000000000602BC86,GYTRAVEL-S2-F010,20260904_第二阶段_餐饮住宿扩充,5cf0ed7b000000000602bc86,贵阳美食探店 | 贵阳人都爱吃的豆米火锅🔥,汪拾叁,2019-05-31,https://www.xiaohongshu.com/explore/5cf0ed7b000000000602bc86?xsec_token_redacted=1&xsec_source=pc_dots,"🍛都市新大新豆米火锅（南国店）
📍地址：中华中路南国花锦7F
🚇公交：距离地铁①号线喷水池站C口614m
💰人均：78元
🥓位于市中心南国花锦7楼的都市新大新豆米火锅我想很多人都吃过，他家重新装修过后一进店给人的感觉很清爽，小清新风格式的就餐环境，
🥘酸菜豆米锅底：浓郁的汤汁越煮越黏稠，里面非常多的酸菜豆米和肉片，捞出一勺浇在米饭上拌起吃口感超级好！
🥗西红柿凉皮：有点类似于安顺裹卷，里面包裹着海带丝、豆芽、酸萝卜等一些凉菜裹成一团，西红柿酱跟青椒酱淋在凉皮表面，一口咬下去西红柿酱跟青椒酱融合，滋味妙不可言
🥩现炸家常熟肉：新大新家酥肉是椒盐味的，上桌过后可以直接食用口感香脆外酥里嫩，也可以煮在豆米锅里吃，煮过后酥肉很软非常适合老人吃
🥩板筋：他家的板筋在煮过后非常软糯，嚼起来脆脆的感觉很适合小孩子吃",完整,355,23,2026-09-04T01:39:32-07:00,379a80f498cda6962e046cc03253c03789ae8970308a610a5833fb4fe8c72873,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-5D357EBA0000000027013014,GYTRAVEL-S2-F010,20260904_第二阶段_餐饮住宿扩充,5d357eba0000000027013014,花花探店🔥 高记馒头！最富贵阳特色的土汉堡,花花肠子的自拍,2019-07-22,https://www.xiaohongshu.com/explore/5d357eba0000000027013014?xsec_token_redacted=1&xsec_source=pc_dots,"店名：【高记馒头】
🔥
在贵阳正新街里面有一家这样的店，他开在公共厕所门口，每天排队来买吃的人络绎不绝，简直是有味道！就是这家【高记馒头】已经开了8⃣️年了！
🔥
老板👩🍳最开始在街口摆摊摊，两年前搬到正新街的公厕门口，这是从灵魂上的升华。
馒头选用的是贵阳有名的贵钢老面馒头放在炭火上翻烤到外壳微焦，用剪刀从中间破开，接着丰富它的内涵。
🔥
标配的是💰5元一个，会在其中加折耳根、酸豇豆、凉拌海带、榨菜、酸菜、酸罗卜、花生豆腐粒、...都是贵阳当地特色小菜🙈
当然作为土豪的你还可以加肉，三椒肉末，脆哨软哨、红烧肉...最爽的是直接盖一个煎到两面金黄爆浆的荷包蛋，一个全家福只要💰11块！你就可以得到一个最富有贵阳特色的土汉堡🍔
🌟
一口下去外壳酥脆，馒头筋道有嚼劲，再有全是店家自制每一样都好吃的各式内馅，简直绝了！🤩
老板说冬天生意好的时候一天可以卖三、四百个馒头，如果你看到，你还没有吃过，请一定要去感受一下这开在厕所门口的街头美味！
————————————————
🏠地址：正新街中华中路入口50米处公共厕所门口
🕙营业时间：07:00~22:00",完整,480,43,2026-09-04T01:39:32-07:00,a9f847d201454e3d1bbc23f9000c0319fb480b7b686a8c80f884ea5a67c24ee1,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-5F5D74FA0000000001005AFA,GYTRAVEL-S3-W001,20260907_第三阶段_游客高频问题覆盖,5f5d74fa0000000001005afa,贵阳旅游探店 ｜万象温泉 ♨️ +自助餐,是素素的设计笔记🍼,2020-09-13,https://www.xiaohongshu.com/explore/5f5d74fa0000000001005afa?xsec_token_redacted=1&xsec_source=pc_dots,"天气渐冷 选择温泉是放松休闲的不二选择
滴滴打卡 贵阳万象温泉
1.距离市区不远
2.环境比较大气 温泉池也比较多
室内外都有，还有孩子喜欢的水上乐园设施
3.配有午餐 晚餐自助 不能说好吃但是品种多 分量管够（不过里面素粉+辣子鸡 香的呀）
4.服务态度挺好的，就算人很多的情况下 服务员也会耐心帮忙，泡池的时候 服务员也会主动前来询问是否需要饮用茶水。

总结一下：满意！这家温泉我会再去多次！
地址：贵州贵阳乌当区新添大道北段150号

贵阳旅游｜贵阳探店 ｜贵阳吃喝玩乐｜贵州旅游｜贵阳周边",完整,249,13,2026-09-07T02:40:15-07:00,357e06a0f5f3754e8b6f4de058efc2f1120eaacaf4a669946d222c837d020841,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-5FE8FE07000000000101FF3A,GYTRAVEL-S2-H006,20260904_第二阶段_餐饮住宿扩充,5fe8fe07000000000101ff3a,📷【万象温泉酒店】,Nick,2020-12-28,https://www.xiaohongshu.com/explore/5fe8fe07000000000101ff3a?xsec_token_redacted=1&xsec_source=pc_dots,"🏨地址：贵阳市乌当区新添大道北段150号
酒店可免费停车🅿
🌿环境：酒店大堂宽敞明亮，旁边还有温泉区域

🛀房间设施: 大大的落地窗，感觉视野非常宽阔。房间干净整洁，隔音效果也很好。干湿分离的卫生间和浴室非常人性化，互不影响，一般很多酒店在客房里都不会准备儿童拖鞋，但是酒店有考虑到儿童的需求，真的很贴心[强]从客房区域可以不用出酒店，直接到温泉区域这样很方便。
💗总体感觉不错，蛮适合家人朋友聚会，泡泡温泉喝喝茶。",完整,208,5,2026-09-04T02:07:52-07:00,bb11ad24b9ae0d1470feb4422ef70f4829b85375a66968f145b740497d1f8be4,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-5FEB4E79000000000101EBCA,GYTRAVEL-S2-F010,20260904_第二阶段_餐饮住宿扩充,5feb4e79000000000101ebca,贵阳市中心正宗黔北菜，最高性价比黔菜馆,夜猫子二,2020-12-29,https://www.xiaohongshu.com/explore/5feb4e79000000000101ebca?xsec_token_redacted=1&xsec_source=pc_dots,"这家真是宝藏！在市中心！走路就到 #甲秀楼[地点]#‼️
现在来吃的全部都是贵阳本地人‼️
菜品完全没有雷区，每道都很好吃，味道正宗
关键是价格真的便宜！
这个才是来贵阳必打卡的黔菜馆～
-
🏠【环境：
里面很宽敞，也有包房，桌椅都是真正的老古董，有的已经几百年了！价值不菲！有些抽屉里还会翻出几十年前的老报纸📰！！自带一种老贵阳的氛围！
厨房是全开放式，用的什么油什么米都能看见，就连切菜都在眼前！！放心！
饭点时生意是真的很好，热热闹闹挤满了本地人，来吃的男女老少都有！且真的全都是本地人！有很多都是一家人来吃！
-
👩🍳菜品口味偏黔北（遵义），是黔北江湖菜！上菜速度贼快！！
✔️五个人点了满桌菜，一共16道，打折下来才100+，吃得舒坦又满足！！
✔️单道菜品最便宜的才6⃣️元！！
✔️大多菜都在十几二十几元！！
✔️甜品小吃基本十元左右！
✔️性价比真的高！
-
✅招牌必点：
▪️【招牌糟辣鱼】进店几乎看每桌都有点它，分量真的扎实，糟辣椒酸辣入味！很下饭很可口！
▪️【大叔黄牛肝】平时不爱吃牛肝猪肝，这个我吃了！怪味没那么重，炒得很嫩很入味，贼下饭！连吃了好几夹！
▪️【豆豉黑猪肉】爱豆豉的臭味就点吧！
▪️【赤水豆花】6元一碗！在贵阳找不到比它更平价的了！蘸水味道很好，够辣够味！
▪️【鲜肉锅贴】点单后现起锅！一个个里面都是肉哇！满足满足！
▪️【血旺烧肥肠】吃饭有肥肠的店我都会点肥肠！他们家这一份太太太满足了，肥肠量超多，血旺又很嫩，汤汁都很有味儿！爱了！！
✔️汤都是9块一盅，有土鸡汤、排骨汤、竹荪野菌汤！
-
整体菜品真的都非常好吃又正宗，价格也很实惠，来吃一次就会二刷的店！
而且有很多贵阳本地老者者会约在下午来店里喝茶闲聊！！当茶馆使！
-
-
✅店名：黔大叔大牌档 #黔大叔大牌档[地点]#
｜ 地址： #贵阳[地点]#南明区富水南路168号泰祥国际一楼（楼上就是黔诚酸汤牛肉，走路就到甲秀楼）
｜ 时间：11:00-22:30
｜ 人均：💰30+
-
-
-
贵阳探店 | 贵阳旅行 | 贵阳美食 ｜ 贵州美食
贵州旅行 | 美食探店 | 贵州特色 ｜ 黔菜",完整,899,789,2026-09-04T01:39:32-07:00,857e3e9746722d1970014e6ecd6f7bb0b64ab7d4276eeb09a8d75be795dcd273,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-5FEC5E3C000000000100A06C,GYTRAVEL-S2-F010,20260904_第二阶段_餐饮住宿扩充,5fec5e3c000000000100a06c,贵阳美食🔥市井烟火气的江湖菜终于来了,丁蔓菲呀,2020-12-30,https://www.xiaohongshu.com/explore/5fec5e3c000000000100a06c?xsec_token_redacted=1&xsec_source=pc_dots,"HELLO 大噶猴🐒
这里是分享贵阳好吃的丁丁
-
😱我是万万没想到
在2020年我还能找到
💰200块能吃到一桌子的菜（满汉全席）
-
整个店 都弥漫着市井的烟火气🔥
但区别于当下看腻了的那种风格
干净整洁的明亮厨房档口
货真价实的老古董家具
（比我年纪还大 极具年代感）
食材都是看的见贵州山里食材
这里的每一寸都透露出江湖气
-
🥘店名：黔大叔大牌档
📍地址：富水南路泰祥国际
💰人均：低则10￥ 高不过50 60￥
-
位于甲秀楼商圈 就在黔诚酸汤牛肉楼下
别看在景点附近 来吃的几乎全是老贵阳人
外地游客别错过这家本地人都来吃的贵州江湖菜
-
⭕️价格实在感人！
Zui 便宜的菜品6元可以吃饱
Zui 贵的菜真的也就是50元！！
就算不吃饭 来这里喝杯茶（10元）
坐在价值百万的古董桌椅上唠唠家常
或者和亲朋好友围在火炉旁烤火
这里就是贵阳市中心的不二选择
-
🔥糟辣鱼：
没有哪个贵州人没吃过糟辣椒！可以算是贵州非遗食材了！端上来红彤彤的糟辣椒盖满了鱼！也太有食欲了！光是这辣椒拌饭 都是我们贵州人最喜欢的吃法！
（糟辣椒虽看着红，其实并不辣，偏酸辣口味 ）
-
🔥豆花饭：
第1⃣️次看到这个年代了还有豆花饭卖6元
平时找个不起眼的路边摊也是12-15元一份
一份满实满载的鲜嫩豆花 加上 秘制辣椒蘸水
米饭是任意添加！光是吃饱6元完全可以搞定！
-
🔥石斛🐔汤：
汤是单人份 一盅一份 9元搞定
可以看到细火慢炖出的🐔油漂浮着
肉也是扎扎实实的几大块
就凭这品质这价格 光是喝汤我都会选择他家
还有竹荪野菌汤、番茄排骨汤口味可以选择
-
🔥鲜肉锅贴：
每桌都必点的鲜肉锅贴
还可以看到阿姨烙锅贴的全过程
色泽金黄一点也不含糊，酥脆程度刚刚好！
-
🔥粉蒸排骨：
一般感觉只有过年才能吃到的菜！
在这随时可以吃到粉蒸系列并且实惠！
-
🔥肉沫红苕粉：
砂锅煲出来的 有种吃砂锅粉的意思
宽苕粉是我们从小吃到大的回忆！
-
🔥还有豆豉黑猪肉干锅、黔北双椒🐔、大叔黄牛肝都是我的强推！
-
⭕️我觉得这里真的是贵阳人的“大食堂”
✅物价低✅有温度 ✅卫生干净✅真情怀
-
@吃货薯  @城市情报官  @生活薯
贵阳美食|贵阳探店|贵州江湖菜|贵州必吃美食|贵州旅游|贵阳吃喝玩乐攻略|甲秀楼美食|贵州本地菜|",完整,961,466,2026-09-04T01:39:32-07:00,1bbb065e571d41dcaca0a0318b4ee7651530f96b36b6737fc914c15f3bfc2bce,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-5FF020BF0000000001004509,GYTRAVEL-S2-F010,20260904_第二阶段_餐饮住宿扩充,5ff020bf0000000001004509,贵阳探店｜平价好吃有烟火气的黔菜馆找到啦！,小董小董,2021-01-02,https://www.xiaohongshu.com/explore/5ff020bf0000000001004509?xsec_token_redacted=1&xsec_source=pc_dots,"看到大排档的招牌忍不住被吸引进来，透明的厨房，复古实木的装修，体验感很好！菜品真的好吃，将黔菜的味道体现的很好！而且价格也很实惠！
-
店名：黔大叔大牌档
地址：富水南路168号泰祥国际1层
价格：人均40+
-
大厅很宽敞，桌与桌之间距离也合适，桌椅都是古董，价值不菲！还有许多包房，墙面还有老贵阳的照片，喷水池变化的照片等等！厨房也是开放的，炒菜、卤菜、甜品...都看得到！
·
他家菜品味道真的不错，黔味很足，糟辣、香辣、麻辣...都有！
招牌糟辣鱼：我很喜欢糟辣椒的味道，鱼处理的也不错没有腥味，很入味！
糟辣黑猪肉：黑猪肉品质很好，肉香味很浓！配得有一个加热的锅，越烧越香，里面还有白菜，荤素搭配起来不错！
虾仁粉丝煲：大粒虾仁和Q弹劲道的粉丝，比点，口味蒜香清淡，但盐味是够的！
石斛鸡汤：石斛营养价值很高，鸡汤味道很鲜美，而且价格很实惠，汤都是9块一蛊！
还有肉沫红苕粉、虾仁蒸蛋、粉蒸排骨、鲜肉锅贴、赤水豆花等等都很不错！
-
新年将近，年夜饭定在这也挺好的，市井烟火气息很足，菜品好吃，很下饭！服务也很热情！
贵阳探店｜贵阳美食｜贵阳旅游｜贵阳攻略｜贵阳黔菜｜贵阳江湖菜｜贵阳周末去哪儿",完整,502,83,2026-09-04T01:39:32-07:00,169c313901f306dca39332b05fd745e81310e6d05adb31bbab8906cf88d966a3,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-5FF1936300000000010030A9,GYTRAVEL-S2-F010,20260904_第二阶段_餐饮住宿扩充,5ff1936300000000010030a9,贵阳探店| 刷爆朋友圈的黔菜——黔大叔大排档,摸鱼一级选手,2021-01-03,https://www.xiaohongshu.com/explore/5ff1936300000000010030a9?xsec_token_redacted=1&xsec_source=pc_dots,"叮叮叮～莫鱼来探店！！！
刷爆朋友圈的黔菜大排档——黔大叔大排档
到底值不值打卡呢🤔🤔🤔👇👇👇
🔗店名：黔大叔大排档
[圆图钉]地理位置：富水南路168号泰祥国际1层
👭人均：50➕
💥💥💥💥💥💥💥💥💥
店内环境我还是很喜欢的店内没有过度装修，但是又给人老贵阳的安逸感，店里干净明亮，厨房也是开放式厨房，菜也是干净的放在案台上，让人看着就放心，桌子很有特色居说全是古董，也有独立的包间！
🌸🌸🌸🌸🌸🌸🌸🌸
【菜品推荐】
•招牌糟辣鱼⭐️⭐️⭐️⭐️⭐️
贵州特色糟辣椒，炸得酥脆的鱼[萌萌哒R]，淋上贵州特色糟辣椒，糟辣椒的酸辣加上鱼肉的酥嫩我觉得我可以一个人吃一条（这个是必点菜，他家糟辣椒很好吃酸脆酸脆的，外地的朋友也可以接受，因为也不是很辣）[赞R][赞R]
•盐菜肉⭐️⭐️⭐️半
肥瘦相宜，每片肉也很入味，肥而不腻，但是我吃盐菜肉都是为了盐菜去的[派对R]，拌饭超级好吃，盐菜脆脆的口感！美味！[赞R][赞R]
•肉末芍粉⭐️⭐️
我觉得这个一般，喜欢吃芍粉的可以冲，有点像在吃早餐的感觉😂
•肥肠烧血旺⭐️⭐️
有种在吃肠旺面的即视感[暗中观察R]，但是肥肠处理得很干净没啥味道[萌萌哒R]
•虾仁蒸蛋
就是蒸蛋，但是就是量少了点[捂脸R]，一盘三个人分有点少
•卤鸭胗⭐️⭐️⭐️
卤味很足，但是又不咸，配上我们贵州特色辣椒面
•赤水豆花⭐️⭐️⭐️⭐️
豆味很浓，很香，口中回甜[哇R][哇R]，不沾任何东西都好吃，配上油辣椒，绝配天仙配[赞R][喝奶茶R]
•红糖糍粑⭐️⭐️
虽然能吃出来糯米的颗粒感，但是感觉不够糯[可怜R]
•例汤⭐️⭐️⭐️⭐️
我点的是菌菇鸡汤，十分鲜香[赞R]，一人一蛊，清爽不腻，[皱眉R]小孩子也可以喝，（来晚了没喝上他家石斛鸡汤）[抓狂R]
🌸🌸🌸🌸🌸🌸🌸🌸🌸
他家店还是比较推荐来打卡的[斜眼R]，不是川菜的麻辣，也不是湘菜的咸辣，就是我们贵州的味道[派对R]，其实贵阳很多湘菜、川菜、粤菜餐厅但是我们自己的黔菜馆却很少，有些黔菜馆虽然好吃但是却又很难找[笑哭R]，外地的朋友就很难找到，有些好吃但是环境又差点，外地旅游的朋友可以放心来吃确实是正宗又平价的黔菜！[派对R][派对R][派对R]
贵州美食#贵阳美食#贵阳探店#贵阳打卡#贵阳旅游#",完整,949,133,2026-09-04T01:39:32-07:00,338227f21923d4b7f1177f7f32f6e6c0ccdaf2599c7c47af8d2d7f67413edb55,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
XHSPOST-5FFD87960000000001004D96,GYTRAVEL-S2-H006,20260904_第二阶段_餐饮住宿扩充,5ffd87960000000001004d96,贵阳温泉♨️|冬日最佳选择💯带地暖🔥,癫癫燕,2021-01-12,https://www.xiaohongshu.com/explore/5ffd87960000000001004d96?xsec_token_redacted=1&xsec_source=pc_dots,"贵阳冬天好去处[派对R]公司团建 家庭出游 溜娃圣地
【关于名字】
🏨万象温泉度假酒店
.
【关于地址】
📍贵州省贵阳市乌当区新添大道南段150号
.
【关于酒店】
🔹客房感受:我们住的这栋酒店比较新，房间带🈶️地暖，太暖和啦，床也很好睡，洗浴水也很大[赞R]
🔹温泉：🈶️室内 大泳池(带浴帽）和儿童区域
🈶️室外 各种各样的泡池随便你选，基本都是一个人承包一座池✌️私汤哈哈
🔹餐食：自助餐种类非常多，味道也很🉑️
🔹公共区域:还有很多🉑️玩的
1⃣️儿童区域
2⃣️游戏机
3⃣️电脑室
4⃣️电影院
5⃣️公共休息区🉑️过夜
6⃣️太空舱
7⃣️棋牌室
🔹整体感受:算是比较新的温泉酒店啦，离市区也不算远🚗服务也很nice[赞R]这里很适合公司团建，家庭出游，也有专门针对团建的🎫还有很多团建游戏设计[斜眼R]性价比挺高的
.
【关于费用】
我们购的是💰580包含（个人觉得太划算啦）
1⃣️双人温泉🎫
2⃣️酒店住宿（大床房or标间）⚠️带地暖的简直不要太暖和🔥[赞R][赞R][赞R]
3⃣️一日三餐❗️❗️❗️(早餐 自助晚餐  宵夜）
4⃣️1米以下儿童免费
.
【关于个人建议】
1⃣️泡温泉之前先冲一个热水澡让皮肤适应
2⃣️多喝姜水（服务员会经常在温泉区送姜水的服务很赞）
3⃣️不要泡太长时间
#贵阳周末好去处#贵阳温泉#公司团建#贵阳探店#贵阳酒店#贵阳旅游",完整,592,512,2026-09-04T02:07:52-07:00,ac1d6eb6c3cf193b219394490eeebb3a4f3b4ac0ba787f958dfa8d6ffc948d74,1,帖子正文为小红书原始证据；URL令牌可能失效，以小红书帖子ID去重；点赞数不代表游客热度。
