交付文件,业务类别,数据类型,记录数,数据来源渠道,上游来源文件,上游文件SHA256,交付文件SHA256,交付批次,交付整理时间UTC,备注
05_曼谷城市知识图谱_POI数据/00_目录说明.csv,全局,目录说明,6,本次整理规则,本次整理规则,,58f4776bdb92e708758db159b008edf8dcd0fb71d07b7d6fde8221ef03b02ab6,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/01_景点/00_目录说明.csv,景点,目录说明,8,既有业务目录说明,04_GoogleMaps曼谷/01_景点/00_目录说明.csv,02ec88210c6a7e7c3a4215a60ff0ea0545123e2e2a53d20e86211dfbf040c20d,c3e379d81b649cae6c7a09937a0154ae79cfdf377c97798727a9713a441a1f23,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/01_景点/01_地点主数据/地点总表.csv,景点,01_地点主数据/地点总表,766,多渠道；详见表内数据来源渠道字段,04_GoogleMaps曼谷/01_景点/01_地点主数据/地点总表.csv,11b2f5c18032fcbb684a49bbcf5a631ca4bdd59f4184dc5eafa44ea92439addf,1fe8c1e0f061a0b8f78db4c1191d2a8596c1f5729658e5d6db4a0c2cf867799b,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/01_景点/02_泰文名称/地点泰文翻译对照.csv,景点,02_泰文名称/地点泰文翻译对照,766,多渠道；详见表内数据来源渠道字段,04_GoogleMaps曼谷/01_景点/02_泰文名称/地点泰文翻译对照.csv,f3cc969adb74708b1bd7ea20a3541d60fc6ae772d16d16cc940d4e21abba36a5,f9f417b5e6b5752a2d0fbb2253f935ff0d353dab8628ea2a9a6fc51e7eb93950,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/01_景点/03_票券报价/历史票券报价.csv,景点,03_票券报价/历史票券报价,166,多渠道；详见表内数据来源渠道字段,04_GoogleMaps曼谷/01_景点/03_票券报价/历史票券报价.csv,4e65244430c5f11c67de8bf35862caab52ab6e37b8d3b5cc5bf82ff747e60254,6b67e15269da4e279d837a1afa12ca5c52a5504f4a164625de73dd8fb4a6e815,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/01_景点/04_评论样例/历史评论样例.csv,景点,04_评论样例/历史评论样例,1708,Google Places API (New)／Google Maps历史评论样例,04_GoogleMaps曼谷/01_景点/04_评论样例/历史评论样例.csv,e1f85e35ba5c9f34f92f04b41c34a9ec27ba1c6568e3b39f5983bc8a10c812e5,901f3c2883b5bdf5ab4f2dd5f024b1c2c56e2467a6c2f24c48037d8311c32687,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/01_景点/05_核验待补/实时补采清单.csv,景点,05_核验待补/实时补采清单,766,Google Maps／Google Places历史数据,04_GoogleMaps曼谷/01_景点/05_核验待补/实时补采清单.csv,516ebaf4914c6e1ae8112715193091439d8c80f7de1780b40d7d4b468ddfdde4,ca1fca591e275bf9e0c6efaa4ac4207d89bfc79c2899bda34a9c8126c3c1c606,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/01_景点/06_边界审核/曼谷边界外待审核.csv,景点,06_边界审核/曼谷边界外待审核,16,Maps网页历史批次,04_GoogleMaps曼谷/01_景点/06_边界审核/曼谷边界外待审核.csv,4455a6943b6bfc08b08a121ef4031638e46cdd09ebf70ac5f2777f4e055d21a5,2fb00f396b23232c0c13c93ab7267763f0de83440ac11a0b8ee042259deada0a,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/01_景点/07_来源清单/来源文件清单.csv,景点,07_来源清单/来源文件清单,113,历史来源文件清单,04_GoogleMaps曼谷/01_景点/07_来源清单/来源文件清单.csv,01323322492742087d802daf241f33745178f86289cb611fdc7c08335088b268,fb71955ad3fdc1b600d6a6a42c4f18ec8c7d00d088e546e8d0a230462c1cd202,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
05_曼谷城市知识图谱_POI数据/01_景点/08_异常核验/来源异常核验.csv,景点,08_异常核验/来源异常核验,0,Google Maps／Google Places历史数据,04_GoogleMaps曼谷/01_景点/08_异常核验/来源异常核验.csv,5476a17727ce6585344468c85bfc8bbdf6eed2dbe351eb03a3c9d8ee113f1ea7,b01f3757324ec27186a7c9578f7d45856614f668b53a7dc14c8eff74e617ab35,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,每条业务记录的具体来源以表内数据来源渠道和上游来源文件字段为准
