行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
北碧府,餐饮美食,RaftDara Cafe,RaftDara Cafe,咖啡馆,桂河,27,1,疑似已存在,THXHSFINAL-1521:RaftDara Cafe,固定实体候选,合并既有记录，不新增,下午休闲游客,英伦风环境好、河景治愈、饮品甜点不错,📍北碧3天2夜怎么玩？保姆级攻略🚗⛰️🏡,https://www.xiaohongshu.com/explore/6a675395000000001102e9b1?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,餐饮美食,W Story Cafe Kanchanaburi,W Story Cafe,景观咖啡馆,桂河,27,1,疑似已存在,THXHSFINAL-1522:W Story Cafe Kanchanaburi,固定实体候选,合并既有记录，不新增,摄影游客,山景+桂河景观、两层空间座位多、建议15:00-18:00来光线最美,📍北碧3天2夜怎么玩？保姆级攻略🚗⛰️🏡,https://www.xiaohongshu.com/explore/6a675395000000001102e9b1?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,餐饮美食,巴莱船面,Pa Lek Boat Noodle,面食与小吃,玛哈泰寺对面,72,9,疑似已存在,THXHSFINAL-1314:巴莱船面,固定实体候选,合并既有记录，不新增,美食打卡,"米其林船面,20泰铢/碗,分量小需多吃","大城府两日游，民宿推荐
大城府谁说没必要住宿！
🇹🇭大城府攻略｜中国人独有的打卡方式
#游玩攻略[话题]#
1、游玩交通
曼谷｜坐火车从曼谷去大城府一日游
第一步：出
曼谷往返大城一日游","https://www.xiaohongshu.com/explore/68d16947000000000e021ae7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/694e62e7000000001e034758?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68c2522a000000001c00a40e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8529280000000028004615?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a80750b0000000005033cd0?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,餐饮美食,Café Ayuthaya Ayothaya cafe,Café Ayuthaya Ayothaya cafe อโยธยาคาเฟ่,咖啡馆,Phai Ling,72,1,疑似已存在,THXHSFULL-0436:MongChang Cafe,固定实体候选,合并既有记录，不新增,大象互动,"大象咖啡店,250泰铢set含合影",大城府🇹🇭泰星同款大象咖啡店‼️,https://www.xiaohongshu.com/explore/691c91c8000000001e02af44?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
大城府,餐饮美食,Chirp Cafe and Chat Space,Chirp Cafe,咖啡馆,火车站至玛哈泰寺路上,72,1,疑似已存在,THXHSFINAL-1532:Chirp Cafe and Chat Space,固定实体候选,合并既有记录，不新增,抹茶爱好者,"日式庭院风,抹茶冰淇淋/饮品优秀",泰国大城府打卡推荐 EP.2,https://www.xiaohongshu.com/explore/69bd3a110000000023022cd8?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,餐饮美食,Brown Cabin,Brown Cabin,咖啡店,主街往码头穿过码头后,75,1,疑似已存在,THXHSFINAL-1722:Brown Cabin Chocolate Cafe,固定实体候选,合并既有记录，不新增,咖啡/拍照,"咖啡店漂亮比较小,冰美式不错,巧克力饮品太甜",🇹🇭沙美岛美食总结,https://www.xiaohongshu.com/explore/6794bce600000000290173d1?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,餐饮美食,Kang Ban Phe Noodles & Seafood Bar,Kang Ban Phe Noodles & Seafood Bar,酒吧与餐吧,班佩,75,3,疑似已存在,THXHSFINAL-1445:Kang Ban Phe Noodles & Seafood Bar,固定实体候选,合并既有记录，不新增,所有游客,"皮皮虾冬阴功面必吃,皮皮虾剥好去壳、膏满肉大,人均43元","沙美岛班佩码头必吃美食🦐
🇹🇭沙美岛美食总结
沙美岛码头好吃到飞起的皮皮虾面！探店成功","https://www.xiaohongshu.com/explore/6874b165000000002400db8e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6794bce600000000290173d1?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/689ca12d000000001d036b5f?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,餐饮美食,Tamnanpar Resort,Tamnanpar Resort,雨林主题餐厅,骑车15分钟,75,1,疑似已存在,THXHSFINAL-1721:Tamnanpar Resort 绿光森林生态餐厅,固定实体候选,合并既有记录，不新增,拍照/环境党,"热带雨林环境,溪流瀑布藤蔓,连续6年米其林,口味层次丰富",罗勇府雨林餐厅，品盘中的亚马逊，杯中的瀑布,https://www.xiaohongshu.com/explore/6a7355af0000000022030454?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,餐饮美食,Bay View Cafe,Bay View Cafe,景观咖啡馆,攀牙湾,51,2,疑似已存在,THXHSFINAL-1580:Bay View Cafe,固定实体候选,合并既有记录，不新增,日落/摄影,俯瞰攀牙湾、人均100元、坡度45度,"避开人潮｜普吉周边小众目的地推荐！
泰国攀牙湾｜意外闯入世外桃源","https://www.xiaohongshu.com/explore/67790b2c000000000900e8e5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65b3c8c6000000002c0356cf?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,餐饮美食,AMAZON COFFEE,AMAZON COFFEE(绵羊农场店),咖啡馆,郊区,69,2,疑似已存在,THXHSFINAL-1355:绵羊农场,固定实体候选,合并既有记录，不新增,适合拍照,门票100泰铢抵饮品、小绵羊温顺、蓝莓巴斯克强推,"清莱山上绵羊咖啡馆｜AMAZON COFFEE🐑
泰国🇹🇭清莱附近的绵羊咖啡","https://www.xiaohongshu.com/explore/6a8ae28b00000000250073c8?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a2f7242000000001702e2d4?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
