行政区,POI业务类型,POI名称,POI泰文名称,POI细分类型,地理位置描述,名称直接命中帖子数（非热度）,证据样例标题,证据样例URL,重要口径
北碧府,购物商业,桂河夜市,Kwai River Night Market,夜市,桂河大桥附近,1,北碧府：泰国的宁静绿洲,https://www.xiaohongshu.com/explore/69046ffe0000000004000821?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
北碧府,购物商业,桑卡武里县夜市,Sangkhla Buri Walking Street,夜市,孟族村附近,1,全网首发，泰国北碧府3天2夜自助游攻略,https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
北碧府,购物商业,JJ火车夜市,JJ Night Market Kanchanaburi,夜市,火车站附近,2,"北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，
🇹🇭北碧府四天三夜背包旅行攻略—P1","https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67e40184000000001d018e56?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
攀牙府,购物商业,Nang Thong 夜市,南通夜市,小型夜市,南通区,1,🌴 普吉岛北边小众宝藏海滨-Khao Lak考拉,https://www.xiaohongshu.com/explore/691989db0000000007035282?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
清莱府,购物商业,清莱夜市美食街,Chiang Rai Night Market,夜市,市中心车站旁,1,清莱美食推荐🇹🇭🇹🇭,https://www.xiaohongshu.com/explore/6291c5560000000021034295?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
春蓬府,购物商业,春蓬夜市,Chumphon Night Market,夜市,Aphakornkiatiwong Park公园门口,3,"未被“网红化”的泰国/春蓬府
🇹🇭春蓬｜三天三夜吃喝住行全攻略
泰国小众地春蓬🇹🇭千字旅游攻略真心大放送","https://www.xiaohongshu.com/explore/69c11256000000002301534c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a82d160000000022023db8?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65df30730000000003036527?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
春蓬府,购物商业,BIG ONE superstore,BIG ONE superstore,超市,市区,1,🇹🇭春蓬｜三天三夜吃喝住行全攻略,https://www.xiaohongshu.com/explore/69a82d160000000022023db8?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
春蓬府,购物商业,Chumphon Food Market,Chumphon Food Market,菜市场,市区,2,"🇹🇭小众旅行地➡️春蓬，榴莲爱好者速来
我竟然吃到了7块钱一斤的榴莲","https://www.xiaohongshu.com/explore/683b202d000000002102cc1b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6838707e000000002101b9d1?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
春蓬府,购物商业,Chumphon Public Market,Chumphon Public Market,公共市场,市区,1,🇹🇭小众旅行地➡️春蓬，榴莲爱好者速来,https://www.xiaohongshu.com/explore/683b202d000000002102cc1b?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
春蓬府,购物商业,Ocean Mall,Ocean Mall,商场,火车站附近,1,春蓬不止是中转站，军舰火车美食在等你,https://www.xiaohongshu.com/explore/6a67f142000000001d00cffe?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
春蓬府,购物商业,Ruam Charoen Market,Ruam charoen market,本地市场,离市区较远,1,泰国小众地春蓬🇹🇭千字旅游攻略真心大放送,https://www.xiaohongshu.com/explore/65df30730000000003036527?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
大城府,购物商业,Ong Gaan Tolasap Night Market,Ong Gaan Tolasap Night Market,夜市,玛哈泰寺对面,2,"第2次到大城府   我的感受是
大城夜游夜市 | 曼谷出发超全攻略","https://www.xiaohongshu.com/explore/66e39aa500000000120119b3?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/667efed7000000001c036aba?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
董里府,购物商业,Center Point Night Market,Center Point Night Market,夜市,火车站旁,3,"🇹🇭董里Trang 超平价的住宿
🇹🇭董里必逛夜市！本地人都在逛
董里夜市","https://www.xiaohongshu.com/explore/6912b337000000000402102e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6999a4c0000000000a03259b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65c7319a000000002d002757?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
董里府,购物商业,Cinta夜市,Cinta Night Market,夜市,市区,1,董里夜市,https://www.xiaohongshu.com/explore/65c7319a000000002d002757?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
董里府,购物商业,Robinson夜市,Robinson Night Market,夜市,Robinson商场旁,1,董里府Trang一个被时光温柔以待的隐士,https://www.xiaohongshu.com/explore/684318ff0000000022025467?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
罗勇府,购物商业,罗勇生鲜批发市场,Rayong Fresh Market,本地市场,诺富特星星酒店正门左边,1,不知道多少次泰国行之罗勇吃住,https://www.xiaohongshu.com/explore/6a328c4d000000000f016cb1?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
罗勇府,购物商业,星光夜市,Star Night Market,夜市与市集,诺富特星星酒店正门右边,5,"不知道多少次泰国行之罗勇吃住
泰兰德酒店分享来啦
泰国罗勇Rayong遛娃推荐，比芭提雅人少景美
罗勇｜班佩码头双条车完整版攻略✨（本地人平
曼谷Mochit-罗勇-沙美岛 交通实测攻略","https://www.xiaohongshu.com/explore/6a328c4d000000000f016cb1?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/681adbed0000000020029b68?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a292230000000022023a7c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6de6a50000000025016000?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7dbc25000000002500a237?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
