name,aliases,expectedDistrict,targetEntity,status,reason,queryObservedAt,raw,candidateCount,exactCandidateCount,amapPoiId,candidateName,amapType,amapTypecode,province,city,district,adcode,address,telephone,longitude,latitude,candidateJson
青岩古镇,[],花溪区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/3e3542e4c3fb.json,25,1,B035300ESE,青岩古镇,风景名胜;风景名胜;国家级景点,110202,贵州省,贵阳市,花溪区,520111,青岩镇,[],106.686834,26.331095,"{""amapPoiId"":""B035300ESE"",""name"":""青岩古镇"",""type"":""风景名胜;风景名胜;国家级景点"",""typecode"":""110202"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""花溪区"",""adcode"":""520111"",""address"":""青岩镇"",""telephone"":[],""longitude"":106.686834,""latitude"":26.331095}"
甲秀楼,[],南明区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/53cec0664b1e.json,25,1,B035301NFU,甲秀楼,风景名胜;风景名胜;风景名胜,110200,贵州省,贵阳市,南明区,520102,翠微巷8号,0851-85503811,106.719721,26.571358,"{""amapPoiId"":""B035301NFU"",""name"":""甲秀楼"",""type"":""风景名胜;风景名胜;风景名胜"",""typecode"":""110200"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""南明区"",""adcode"":""520102"",""address"":""翠微巷8号"",""telephone"":""0851-85503811"",""longitude"":106.719721,""latitude"":26.571358}"
黔灵山公园,[],云岩区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/a80367918c1e.json,25,1,B03530P3K2,黔灵山公园,风景名胜;风景名胜;国家级景点,110202,贵州省,贵阳市,云岩区,520103,枣山路187号,0851-86823039,106.69223,26.598319,"{""amapPoiId"":""B03530P3K2"",""name"":""黔灵山公园"",""type"":""风景名胜;风景名胜;国家级景点"",""typecode"":""110202"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""云岩区"",""adcode"":""520103"",""address"":""枣山路187号"",""telephone"":""0851-86823039"",""longitude"":106.69223,""latitude"":26.598319}"
花溪公园,[],花溪区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/bec38661b9d6.json,25,1,B035300A51,花溪公园,风景名胜;风景名胜;省级景点,110203,贵州省,贵阳市,花溪区,520111,花溪大道南段3108号,[],106.67221,26.433012,"{""amapPoiId"":""B035300A51"",""name"":""花溪公园"",""type"":""风景名胜;风景名胜;省级景点"",""typecode"":""110203"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""花溪区"",""adcode"":""520111"",""address"":""花溪大道南段3108号"",""telephone"":[],""longitude"":106.67221,""latitude"":26.433012}"
花溪夜郎谷,[],花溪区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/c45154bb593b.json,25,1,B0FFFX3R8P,花溪夜郎谷,风景名胜;风景名胜;风景名胜,110200,贵州省,贵阳市,花溪区,520111,思杨路122县,15519106882;13518518802,106.646181,26.386902,"{""amapPoiId"":""B0FFFX3R8P"",""name"":""花溪夜郎谷"",""type"":""风景名胜;风景名胜;风景名胜"",""typecode"":""110200"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""花溪区"",""adcode"":""520111"",""address"":""思杨路122县"",""telephone"":""15519106882;13518518802"",""longitude"":106.646181,""latitude"":26.386902}"
天河潭风景区,"[""天河潭旅游度假区""]",花溪区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/eb1acee03f4b.json,25,1,B035300A2B,天河潭旅游度假区,风景名胜;风景名胜;国家级景点,110202,贵州省,贵阳市,花溪区,520111,石板镇,4009009995,106.580558,26.440169,"{""amapPoiId"":""B035300A2B"",""name"":""天河潭旅游度假区"",""type"":""风景名胜;风景名胜;国家级景点"",""typecode"":""110202"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""花溪区"",""adcode"":""520111"",""address"":""石板镇"",""telephone"":""4009009995"",""longitude"":106.580558,""latitude"":26.440169}"
阳明祠,[],云岩区,Area,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/e2993795e4cd.json,25,1,B035301XB4,阳明祠,风景名胜;风景名胜;风景名胜,110200,贵州省,贵阳市,云岩区,520103,东山路15号,[],106.725742,26.583645,"{""amapPoiId"":""B035301XB4"",""name"":""阳明祠"",""type"":""风景名胜;风景名胜;风景名胜"",""typecode"":""110200"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""云岩区"",""adcode"":""520103"",""address"":""东山路15号"",""telephone"":[],""longitude"":106.725742,""latitude"":26.583645}"
文昌阁,[],云岩区,Area,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/1910d14432ba.json,25,1,B0FFFGLV23,文昌阁,风景名胜;风景名胜;风景名胜,110200,贵州省,贵阳市,云岩区,520103,文昌街8号,[],106.719288,26.57869,"{""amapPoiId"":""B0FFFGLV23"",""name"":""文昌阁"",""type"":""风景名胜;风景名胜;风景名胜"",""typecode"":""110200"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""云岩区"",""adcode"":""520103"",""address"":""文昌街8号"",""telephone"":[],""longitude"":106.719288,""latitude"":26.57869}"
贵阳市十里河滩国家湿地公园,"[""花溪十里河滩国家城市湿地公园"",""十里河滩国家城市湿地公园""]",花溪区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/c4d76d58f1b0.json,25,1,B03530OTGJ,花溪十里河滩国家城市湿地公园,风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜,110101|110200,贵州省,贵阳市,花溪区,520111,花溪大道南段辅路与郎萝桥交叉口东220米,0851-82412301;0851-83623593,106.677607,26.452877,"{""amapPoiId"":""B03530OTGJ"",""name"":""花溪十里河滩国家城市湿地公园"",""type"":""风景名胜;公园广场;公园|风景名胜;风景名胜;风景名胜"",""typecode"":""110101|110200"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""花溪区"",""adcode"":""520111"",""address"":""花溪大道南段辅路与郎萝桥交叉口东220米"",""telephone"":""0851-82412301;0851-83623593"",""longitude"":106.677607,""latitude"":26.452877}"
孔学堂,"[""贵阳孔学堂""]",花溪区,ScenicArea,accepted_exact_alias_admin,名称/声明别名精确且行政区匹配,2026-09-15,[LOCAL_HOME]/Desktop/city_knowledge/v2/scenic_amap_v10/raw/6d997b2f12d2.json,25,1,B03530RNBF,孔学堂,风景名胜;风景名胜相关;旅游景点,110000,贵州省,贵阳市,花溪区,520111,董家堰,0851-83610798;0851-83873027,106.678035,26.464389,"{""amapPoiId"":""B03530RNBF"",""name"":""孔学堂"",""type"":""风景名胜;风景名胜相关;旅游景点"",""typecode"":""110000"",""province"":""贵州省"",""city"":""贵阳市"",""district"":""花溪区"",""adcode"":""520111"",""address"":""董家堰"",""telephone"":""0851-83610798;0851-83873027"",""longitude"":106.678035,""latitude"":26.464389}"
