,,,,,,,
贵阳市高德美食 POI 关键字段补全,,,,,,,
"24,238 家，仍只使用高德评分 ≥3.5 数据；未与大众点评对齐。空值表示接口未返回，不做推断。",,,,,,,
,,,,,,,
字段,有值数,总数,覆盖率,,核验项,结果,说明
电话,18017,24238,0.7433369089858899,,Web Service Key,通过,已实调 POI ID 查询与逆地理编码
特色菜/推荐菜,13757,24238,0.5675798333195808,,唯一精确坐标,24041,每个坐标均有可续采缓存
菜系/风味,24238,24238,1.0,,精确逆地理完成,24041,township/towncode 来自 POI 本身坐标
商圈,11468,24238,0.473141348296064,,父/建筑 ID 已解析,2148,ID 查询最多 10 个 ID/请求
照片,22752,24238,0.9386913111642875,,父 POI 待核 ID,1075,接口不再返回的旧 ID 保持名称为空
街道乡镇,24231,24238,0.9997111972935061,,区县口径冲突,0,保留两份证据进入复核表
街镇代码,24231,24238,0.9997111972935061,,旧行政区关系错误,24238,原构建器把区县代码映射到街镇实体
父POI ID,13540,24238,0.5586269494182688,,已修复行政区关系,24238,现在全部指向区县级 AdminArea
父POI名称,11875,24238,0.4899331628022114,,Schema / 数据错误,0,必须为 0
室内建筑ID,169,24238,0.006972522485353577,,图节点 / 关系,"96,753 / 398,717",全量重新校验
室内建筑名称,0,24238,0.0,,,,
,,,,,,,
,,,,,,,
口径说明,,,,,,,
电话,读取 business.tel；多个号码拆成数组；不推断私人号码。,,,,,,
街道乡镇,逐个唯一 GCJ-02 精确坐标调用逆地理编码；不是按商圈文本推断。,,,,,,
父 POI,只使用高德 parent ID，再用 POI ID 查询名称；查询不到则留空。,,,,,,
室内建筑,indoor.cpid 与 parent 分列保存；实测同时存在的 169 家，两者 ID 全部不同。,,,,,,
营业状态,公开接口没有可靠营业/倒闭状态；dataQuality 保持 needs_review，不能仅凭本表声称当前仍营业。,,,,,,
数据源,美食仅使用高德，不使用大众点评或小红书。,,,,,,
