行政区,POI业务类型,POI名称,POI泰文名称,POI细分类型,地理位置描述,名称直接命中帖子数（非热度）,证据样例标题,证据样例URL,重要口径
巴蜀府,交通服务,曼谷阿皮瓦中央车站,Krung Thep Aphiwat Central Terminal,新火车站,MRT蓝线Chatuchak Park附近,1,泰国华欣攻略,https://www.xiaohongshu.com/explore/6a8ff731000000001f01f5e6?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
北碧府,交通服务,北碧府汽车站,Kanchanaburi Transportation,巴士站,市区,1,全网首发，泰国北碧府3天2夜自助游攻略,https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
北碧府,交通服务,北碧火车站,Kanchanaburi Station,火车站,市区,1,🇹🇭北碧府四天三夜背包旅行攻略—P1,https://www.xiaohongshu.com/explore/67e40184000000001d018e56?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
北碧府,交通服务,桂河大桥站,Saphan Kwae Yai Station,火车站,桂河大桥旁,1,北碧府tips,https://www.xiaohongshu.com/explore/6a843ae000000000250002fa?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
北碧府,交通服务,甲赛站,Tham Krasae Station,火车站,死亡铁路悬崖段,1,花200泰铢，坐上泰国最美铁路！,https://www.xiaohongshu.com/explore/6a648900000000000100f5bc?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
北碧府,交通服务,曼谷南部巴士总站,Sai Tai Mai Bus Terminal,巴士站,吞武里区,1,"北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，",https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
北碧府,交通服务,桑卡武里县汽车站,Sangkhla Buri Minibus Terminal,巴士站,孟族村附近,1,全网首发，泰国北碧府3天2夜自助游攻略,https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
北碧府,交通服务,Wang Pho火车站,Wang Pho Station,火车站,孟族村附近,1,全网首发，泰国北碧府3天2夜自助游攻略,https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,交通服务,呵叻火车站,Nakhon Ratchasima Railway Station,交通节点,呵叻市区,1,素林出发披迈石宫，值得一去吗？,https://www.xiaohongshu.com/explore/6644752f000000001e033103?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
攀牙府,交通服务,HinRomPier,欣罗姆码头,长尾船码头,攀牙湾入口,1,攀牙2天纯玩真实体验,https://www.xiaohongshu.com/explore/66e1103e0000000027000e7f?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
攀牙府,交通服务,Jian Wanich Pier,建瓦尼奇码头,轮渡码头,返回普吉,1,如何去瑶亚岛（Koh Yao yai）也叫大长岛,https://www.xiaohongshu.com/explore/65c841f0000000000c007228?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
攀牙府,交通服务,Laem Hin Pier,莱姆欣码头(皇家码头),轮渡码头,瑶亚岛方向,1,如何去瑶亚岛（Koh Yao yai）也叫大长岛,https://www.xiaohongshu.com/explore/65c841f0000000000c007228?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
攀牙府,交通服务,Sarasin Bridge,萨拉辛桥,跨海大桥,渔村,1,攀牙府渔村里的海鲜小餐馆~普吉岛,https://www.xiaohongshu.com/explore/68a9e40d000000001b033b38?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
清莱府,交通服务,清莱机场,Chiang Rai Airport,机场,市区4.5公里,5,"清迈、清莱之旅——住宿篇
曼谷清莱一日✈️游极限逛白红蓝三庙
到了清莱机场如何最便宜进城？
🇹🇭清莱艾美大促！928💰两人！豪华客房➕双早
泰国🇹🇭 | 泰北美斯乐，深山华人村落","https://www.xiaohongshu.com/explore/66e67972000000000c018696?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/691c7309000000001f004eff?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65f968400000000012032fa7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/660233ae000000000d00d7cc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/5ca4b61d000000000f027912?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
沙敦府,交通服务,瓜镇码头,Kuah Jetty,码头,前往丽贝岛,3,"泰国小马尔代夫✨兰卡威直达丽贝岛｜上岛攻略
兰卡威前往丽贝岛坐轮渡攻略看这篇！🚢
2026最新｜兰卡威→丽贝岛坐船攻略","https://www.xiaohongshu.com/explore/6a69b66e000000000f031192?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69f41b8e000000003502830c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69ac5ea1000000002203852b?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
沙敦府,交通服务,丽贝岛码头,Lipe Pier,码头,丽贝岛,4,"丽贝岛最全攻略及避坑指南（交通篇）
合艾→丽贝岛｜亲测不踩雷车船联运全攻略
丽贝岛车船联运推荐
丽贝游记👋","https://www.xiaohongshu.com/explore/69ff37f8000000001e00da71?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69feaac6000000002301ce5a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a79383d0000000025004aa4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69ddf2d4000000001b02137a?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
沙敦府,交通服务,沙墩码头,Pak Bara Pier,码头,朴巴拉,4,"沙墩码头到丽贝岛
成都—曼谷—合艾—丽贝岛超详细攻略
丽贝岛最全攻略及避坑指南（交通篇）
合艾至丽贝岛交通全攻略","https://www.xiaohongshu.com/explore/6a3e5aff00000000060348b3?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a64a527000000000f016ca7?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69ff37f8000000001e00da71?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6da51a000000002402ec1a?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
沙敦府,交通服务,Tammalang 码头,Tammalang Pier,边境码头,沙敦边境,1,泰国Tammalang 码头,https://www.xiaohongshu.com/explore/67930723000000001800b76c?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
素可泰府,交通服务,曼谷北部巴士站,Bangkok Bus Terminal (Chatuchak/Mo Chit 2),汽车站,靠近恰图恰市场,4,"从国内出发到素可泰交通攻略
曼谷市区坐大巴到素可泰
曼谷到素可泰的大巴
素可泰交通攻略（26年5月版）","https://www.xiaohongshu.com/explore/6a82e6350000000022011a5e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6980b686000000001a021946?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69908043000000002800b905?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a0acdfb000000003502ce02?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
素可泰府,交通服务,彭世洛汽车站1号,Phitsanulok Bus Terminal 1,汽车站,离彭世洛火车站2.3公里,2,"从国内出发到素可泰交通攻略
11元彭世洛到素可泰巴士攻略~~","https://www.xiaohongshu.com/explore/6a82e6350000000022011a5e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69be9c73000000002102dadf?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
