行政区,POI业务类型,POI名称,POI泰文名称,POI细分类型,地理位置描述,名称直接命中帖子数（非热度）,证据样例标题,证据样例URL,重要口径
巴蜀府,住宿酒店,Ace of Hua Hin Resort,爱斯华欣度假村,豪华度假酒店,市区往北12公里,2,"周末华欣Ace of Hua Hin resort酒店躺平
泰国华欣海滩度假村酒店初体验～","https://www.xiaohongshu.com/explore/6791c42a0000000018007fa3?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67756d800000000014024e2c?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,住宿酒店,Avani+ Hua Hin Resort,阿瓦尼+华欣度假村,网红风格度假村,距离华欣夜市一段距离,1,亲子旅行✈️华欣Avani+ Hua Hin Resort房间,https://www.xiaohongshu.com/explore/691fda59000000001e02dc6d?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,住宿酒店,Centara Life Cha-Am Beach Resort,盛泰乐生活七岩海滩度假村,海滨度假村,宁静的七岩海岸,1,逃离曼谷，在七岩过一个慢悠悠的海边周末,https://www.xiaohongshu.com/explore/6a8e8b1a0000000012011de7?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,住宿酒店,Dusit Thani Hua Hin,华欣都喜天丽度假村,泰国本土品牌度假村,距离华欣市区20-30分钟车程,2,"亲子旅行✈️华欣Avani+ Hua Hin Resort房间
亲子旅行✈️在泰国皇室后花园白人式度假","https://www.xiaohongshu.com/explore/691fda59000000001e02dc6d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68b50f34000000001b023f33?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,住宿酒店,Hyatt Regency Hua Hin,华欣凯悦度假村,五星级度假村,离Cicada夜市很近,1,🇹🇭华欣凯悦Hyatt regency Hua Hin,https://www.xiaohongshu.com/explore/66727587000000001c029c0a?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,住宿酒店,Let's Sea Hua Hin,莱茨海华欣酒店,设计感酒店,筷子山片区,1,泰国华欣Verso｜颜值在线，这些细节要注意,https://www.xiaohongshu.com/explore/69d36be6000000001a035cb3?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,住宿酒店,Sheraton Hua Hin Resort & Spa,华欣喜来登水疗度假酒店,六善底子喜来登运营,位置偏远,2,"世界第一家六善
泰国华欣 喜来登水疗度假酒店","https://www.xiaohongshu.com/explore/6a1aa305000000003601f2b2?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6974970000000006013420?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,住宿酒店,Siriam Guest House,西里阿姆宾馆,经济型宾馆,希尔顿附近/步行到夜市几分钟,1,从曼谷花9元坐6个多小时火车去趟华欣值吗？,https://www.xiaohongshu.com/explore/6445161c00000000120336e3?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,住宿酒店,Subhamitra Hotel Hua Hin,素帕米特拉酒店,经济型酒店,离火车站近,3,"嘿嘿！来泰兰德半个月做了八次马杀鸡
华欣七岩｜适合“消失式度假”的酒店
泰国华欣攻略","https://www.xiaohongshu.com/explore/66321a7b000000001e019a44?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/699e97f6000000002203833b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a8ff731000000001f01f5e6?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
巴蜀府,住宿酒店,The Regent Cha am Beach Resort,丽晶七岩海滩度假村,海滨度假村,靠近七岩海滩,1,华欣DNA动了！这家海边泰餐小馆我可以追着吃,https://www.xiaohongshu.com/explore/6a6df9d70000000033037dc8?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
