行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
北碧府,购物商业,北碧夜市,Kanchanaburi Night Market,夜市,大巴站前面,27,3,疑似已存在,THXHSFINAL-1525:北碧府火车站夜市,固定实体候选,合并既有记录，不新增,刚到/离开游客,特别便宜、打抛饭20泰铢,"北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，
北碧府：泰国的宁静绿洲
全网首发，泰国北碧府3天2夜自助游攻略","https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69046ffe0000000004000821?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
攀牙府,购物商业,Bang Niang Market,邦娘夜市,综合夜市,邦娘区,51,3,疑似已存在,THXHSFINAL-1208:邦娘夜市,固定实体候选,合并既有记录，不新增,游客/逛吃,300+摊位、烤排骨、Mojito 60泰铢、周一/三/四/日开,"考拉兰儒国家公园🏞️徒步路线和邦娘夜市
考拉（蔻丽）一个泰国最喜欢的宝藏地
Bang Niang Market","https://www.xiaohongshu.com/explore/693adc45000000001e028d33?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68f3b6e900000000070083c4?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66953a260000000025014389?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,购物商业,周末夜市,Walking Street Chiang Rai,周末夜市,巴士站附近,69,2,疑似已存在,THXHSFULL-0330:纳卡夜市；THXHSFULL-0384:Thepprasit Night Market,固定实体候选,合并既有记录，不新增,适合周六晚上,100B海盐烤鱼、60B烤鱿鱼、有免费表演,"泰国清莱 只在周六才开的超大夜市 有吃有玩
强烈安利我的泰北超值美食地图（个人向）","https://www.xiaohongshu.com/explore/65d56ecb000000000102a5b5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6d3a15000000002701fb1c?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,购物商业,Central Festival Hatyai,Central Festival Hatyai,商场与购物中心,市区,42,0,疑似已存在,THXHSFINAL-1417:Central Festival Hatyai,固定实体候选,合并既有记录，不新增,购物/餐饮,"几乎都可支付宝微信付款,超级方便",,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,购物商业,Greenway Night Market,Greenway Night Market,夜市与市集,市区,42,5,疑似已存在,THXHSFINAL-1381:Greenway Night Market,固定实体候选,合并既有记录，不新增,年轻人/购物爱好者,"合艾最大最潮夜市,100+种泰式小吃,潮流服饰手工艺品,4pm-10pm营业(周二至周日)","🇹🇭 合艾按摩推荐Greenway这家真的很可以
泰国🇹🇭合艾自驾游攻略
🇹🇭 || 合艾超好买的夜市❕
🌙🇹🇭 合艾 – 夜市美食 & 购物天堂
合艾｜拒绝赶趟，别再把合艾当中转站","https://www.xiaohongshu.com/explore/6a81af6f0000000011022f48?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6919a9d3000000000d00cb4f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65a530a0000000001e007d81?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67e77371000000001b026e24?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a55bb600000000016024a6c?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,购物商业,Kim Yong Market,ตลาดกิมหยง (Nescafe Street Cafe),本地市场,市区,42,3,疑似已存在,THXHSFINAL-1545:Kim Yong Market,固定实体候选,合并既有记录，不新增,早市爱好者,"啥都有,逛当地早市乐趣大于夜市","大马去合艾4天3夜行程
合艾｜拒绝赶趟，别再把合艾当中转站
🇹🇭泰国合艾五天三夜游","https://www.xiaohongshu.com/explore/6a338498000000000d00bc00?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a55bb600000000016024a6c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a258f720000000010001c01?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,购物商业,Lee Garden Night Market,Lee Garden Night Market ลีการ์เดนส์ ไนท์มาร์เก็ต,夜市与市集,市区,42,3,疑似已存在,THXHSFINAL-1412:Lee Garden Night Market,固定实体候选,合并既有记录，不新增,购物+美食,"食物价格便宜,马杀鸡一条街也在这","Greenway夜市闲逛，顺便晚餐在Food Court
合艾｜拒绝赶趟，别再把合艾当中转站
🇹🇭泰国合艾五天三夜游","https://www.xiaohongshu.com/explore/67ee68f4000000001c03c039?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a55bb600000000016024a6c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a258f720000000010001c01?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
素可泰府,购物商业,素可泰夜市,Sukhothai Night Market,夜市,历史公园正门口那条街(除周一外每天),42,0,疑似已存在,THXHSFINAL-1393:素可泰古城夜市,固定实体候选,合并既有记录，不新增,体验当地生活,"沿湖小摊,买了可在湖边席地而坐吃,有肉串等",,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,购物商业,桂河夜市,Kwai River Night Market,夜市,桂河大桥附近,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,傍晚游客,河边位置好、时间充裕可去,北碧府：泰国的宁静绿洲,https://www.xiaohongshu.com/explore/69046ffe0000000004000821?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,购物商业,桑卡武里县夜市,Sangkhla Buri Walking Street,夜市,孟族村附近,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,过夜游客,孟族特色、可体验清晨布施,全网首发，泰国北碧府3天2夜自助游攻略,https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
