id,name,transportMode,applicableAdminArea,vehicleCategory,timeWindow,distanceOrCondition,chargeComponent,rateValue,currency,rateUnit,calculationRule,effectiveDate,currentness,sourceTitle,sourceUrl,auditStatus,qualityNotes,sourceId,fieldSources,fieldUpdatedAt,batchId,externalIds,lastVerifiedAt,verifiedBy,dataQuality,contentHash,createdAt,updatedAt,lastSeenAt,referencedBy,archivedAt,archiveReason
transportfare_TAXI-BASE-DAY,白天起步价（06:30-22:00）,出租车,admin_520100,普通型巡游出租车（车辆购置价低于21万元）,06:30-22:00,0-3公里,白天起步价,10.0,CNY,元/车次（含3公里）,起步3公里内计收10元。,2018-03-05,2026-09-07|LATEST_KNOWN_BASE_RULE_PENDING_REGULATOR_CONFIRMATION,筑发改收费〔2018〕123号,https://guanjia.lanluo.cn/dongtai/gg/119066.html,BASE_RULE_VERIFIED,截至2026-09-07未检索到后续正式调价文件；实际乘车仍以贵阳市主管部门和计价器当期规则为准。,src_transport_dataset,"[""name:src_transport_dataset"",""transportMode:src_transport_dataset"",""applicableAdminArea:src_transport_dataset"",""vehicleCategory:src_transport_dataset"",""timeWindow:src_transport_dataset"",""distanceOrCondition:src_transport_dataset"",""chargeComponent:src_transport_dataset"",""currency:src_transport_dataset"",""rateUnit:src_transport_dataset"",""calculationRule:src_transport_dataset"",""effectiveDate:src_transport_dataset"",""currentness:src_transport_dataset"",""sourceTitle:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""auditStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""externalIds:src_transport_dataset"",""rateValue:src_transport_dataset""]","[""name:2026-09-07"",""transportMode:2026-09-07"",""applicableAdminArea:2026-09-07"",""vehicleCategory:2026-09-07"",""timeWindow:2026-09-07"",""distanceOrCondition:2026-09-07"",""chargeComponent:2026-09-07"",""currency:2026-09-07"",""rateUnit:2026-09-07"",""calculationRule:2026-09-07"",""effectiveDate:2026-09-07"",""currentness:2026-09-07"",""sourceTitle:2026-09-07"",""sourceUrl:2026-09-07"",""auditStatus:2026-09-07"",""qualityNotes:2026-09-07"",""externalIds:2026-09-07"",""rateValue:2026-09-07""]",transport-structured-20260907,"[""transport-fare:TAXI-BASE-DAY""]",,,needs_review,43e298c24077a1112d49b121888297506723b027142dfaf316b3cb93966d1d17,2026-09-07,2026-09-07,2026-09-07,0,,
transportfare_TAXI-BASE-NIGHT,夜间起步价（22:00-次日06:30）,出租车,admin_520100,普通型巡游出租车（车辆购置价低于21万元）,22:00-次日06:30,0-3公里,夜间起步价,12.0,CNY,元/车次（含3公里）,夜间起步3公里内计收12元。,2018-03-05,2026-09-07|LATEST_KNOWN_BASE_RULE_PENDING_REGULATOR_CONFIRMATION,筑发改收费〔2018〕123号,https://guanjia.lanluo.cn/dongtai/gg/119066.html,BASE_RULE_VERIFIED,截至2026-09-07未检索到后续正式调价文件；实际乘车仍以贵阳市主管部门和计价器当期规则为准。,src_transport_dataset,"[""name:src_transport_dataset"",""transportMode:src_transport_dataset"",""applicableAdminArea:src_transport_dataset"",""vehicleCategory:src_transport_dataset"",""timeWindow:src_transport_dataset"",""distanceOrCondition:src_transport_dataset"",""chargeComponent:src_transport_dataset"",""currency:src_transport_dataset"",""rateUnit:src_transport_dataset"",""calculationRule:src_transport_dataset"",""effectiveDate:src_transport_dataset"",""currentness:src_transport_dataset"",""sourceTitle:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""auditStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""externalIds:src_transport_dataset"",""rateValue:src_transport_dataset""]","[""name:2026-09-07"",""transportMode:2026-09-07"",""applicableAdminArea:2026-09-07"",""vehicleCategory:2026-09-07"",""timeWindow:2026-09-07"",""distanceOrCondition:2026-09-07"",""chargeComponent:2026-09-07"",""currency:2026-09-07"",""rateUnit:2026-09-07"",""calculationRule:2026-09-07"",""effectiveDate:2026-09-07"",""currentness:2026-09-07"",""sourceTitle:2026-09-07"",""sourceUrl:2026-09-07"",""auditStatus:2026-09-07"",""qualityNotes:2026-09-07"",""externalIds:2026-09-07"",""rateValue:2026-09-07""]",transport-structured-20260907,"[""transport-fare:TAXI-BASE-NIGHT""]",,,needs_review,e44a13171cac17fc8e6d4ae254cb6280492eed1f3e87c0d15692f8245bc4321a,2026-09-07,2026-09-07,2026-09-07,0,,
transportfare_TAXI-MILE-DAY,白天车公里价（06:30-22:00）,出租车,admin_520100,普通型巡游出租车（车辆购置价低于21万元）,06:30-22:00,超过3公里至10公里,白天车公里价,1.8,CNY,元/公里,计价器每0.5公里加收0.90元。,2018-03-05,2026-09-07|LATEST_KNOWN_BASE_RULE_PENDING_REGULATOR_CONFIRMATION,筑发改收费〔2018〕123号,https://guanjia.lanluo.cn/dongtai/gg/119066.html,BASE_RULE_VERIFIED,截至2026-09-07未检索到后续正式调价文件；实际乘车仍以贵阳市主管部门和计价器当期规则为准。,src_transport_dataset,"[""name:src_transport_dataset"",""transportMode:src_transport_dataset"",""applicableAdminArea:src_transport_dataset"",""vehicleCategory:src_transport_dataset"",""timeWindow:src_transport_dataset"",""distanceOrCondition:src_transport_dataset"",""chargeComponent:src_transport_dataset"",""currency:src_transport_dataset"",""rateUnit:src_transport_dataset"",""calculationRule:src_transport_dataset"",""effectiveDate:src_transport_dataset"",""currentness:src_transport_dataset"",""sourceTitle:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""auditStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""externalIds:src_transport_dataset"",""rateValue:src_transport_dataset""]","[""name:2026-09-07"",""transportMode:2026-09-07"",""applicableAdminArea:2026-09-07"",""vehicleCategory:2026-09-07"",""timeWindow:2026-09-07"",""distanceOrCondition:2026-09-07"",""chargeComponent:2026-09-07"",""currency:2026-09-07"",""rateUnit:2026-09-07"",""calculationRule:2026-09-07"",""effectiveDate:2026-09-07"",""currentness:2026-09-07"",""sourceTitle:2026-09-07"",""sourceUrl:2026-09-07"",""auditStatus:2026-09-07"",""qualityNotes:2026-09-07"",""externalIds:2026-09-07"",""rateValue:2026-09-07""]",transport-structured-20260907,"[""transport-fare:TAXI-MILE-DAY""]",,,needs_review,898e7e0d7b041d8f8ed16cc6a1c115b098bcdaf8e4cc0bf65120795f2ea0d07e,2026-09-07,2026-09-07,2026-09-07,0,,
transportfare_TAXI-MILE-NIGHT,夜间车公里价（22:00-次日06:30）,出租车,admin_520100,普通型巡游出租车（车辆购置价低于21万元）,22:00-次日06:30,超过3公里至10公里,夜间车公里价,2.16,CNY,元/公里,计价器每0.5公里加收1.08元。,2018-03-05,2026-09-07|LATEST_KNOWN_BASE_RULE_PENDING_REGULATOR_CONFIRMATION,筑发改收费〔2018〕123号,https://guanjia.lanluo.cn/dongtai/gg/119066.html,BASE_RULE_VERIFIED,截至2026-09-07未检索到后续正式调价文件；实际乘车仍以贵阳市主管部门和计价器当期规则为准。,src_transport_dataset,"[""name:src_transport_dataset"",""transportMode:src_transport_dataset"",""applicableAdminArea:src_transport_dataset"",""vehicleCategory:src_transport_dataset"",""timeWindow:src_transport_dataset"",""distanceOrCondition:src_transport_dataset"",""chargeComponent:src_transport_dataset"",""currency:src_transport_dataset"",""rateUnit:src_transport_dataset"",""calculationRule:src_transport_dataset"",""effectiveDate:src_transport_dataset"",""currentness:src_transport_dataset"",""sourceTitle:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""auditStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""externalIds:src_transport_dataset"",""rateValue:src_transport_dataset""]","[""name:2026-09-07"",""transportMode:2026-09-07"",""applicableAdminArea:2026-09-07"",""vehicleCategory:2026-09-07"",""timeWindow:2026-09-07"",""distanceOrCondition:2026-09-07"",""chargeComponent:2026-09-07"",""currency:2026-09-07"",""rateUnit:2026-09-07"",""calculationRule:2026-09-07"",""effectiveDate:2026-09-07"",""currentness:2026-09-07"",""sourceTitle:2026-09-07"",""sourceUrl:2026-09-07"",""auditStatus:2026-09-07"",""qualityNotes:2026-09-07"",""externalIds:2026-09-07"",""rateValue:2026-09-07""]",transport-structured-20260907,"[""transport-fare:TAXI-MILE-NIGHT""]",,,needs_review,c41624c7a0c4e0ab32a19fd761a49ecbd1231865ecf2a6cdc77828c113450f90,2026-09-07,2026-09-07,2026-09-07,0,,
transportfare_TAXI-RETURN-DAY,白天含空驶返程费车公里价（06:30-22:00）,出租车,admin_520100,普通型巡游出租车（车辆购置价低于21万元）,06:30-22:00,超过10公里部分,白天含空驶返程费车公里价,2.7,CNY,元/公里,超过10公里部分按车公里价加收50%空驶返程费；计价器每0.5公里加收1.35元。,2018-03-05,2026-09-07|LATEST_KNOWN_BASE_RULE_PENDING_REGULATOR_CONFIRMATION,筑发改收费〔2018〕123号,https://guanjia.lanluo.cn/dongtai/gg/119066.html,BASE_RULE_VERIFIED,截至2026-09-07未检索到后续正式调价文件；实际乘车仍以贵阳市主管部门和计价器当期规则为准。,src_transport_dataset,"[""name:src_transport_dataset"",""transportMode:src_transport_dataset"",""applicableAdminArea:src_transport_dataset"",""vehicleCategory:src_transport_dataset"",""timeWindow:src_transport_dataset"",""distanceOrCondition:src_transport_dataset"",""chargeComponent:src_transport_dataset"",""currency:src_transport_dataset"",""rateUnit:src_transport_dataset"",""calculationRule:src_transport_dataset"",""effectiveDate:src_transport_dataset"",""currentness:src_transport_dataset"",""sourceTitle:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""auditStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""externalIds:src_transport_dataset"",""rateValue:src_transport_dataset""]","[""name:2026-09-07"",""transportMode:2026-09-07"",""applicableAdminArea:2026-09-07"",""vehicleCategory:2026-09-07"",""timeWindow:2026-09-07"",""distanceOrCondition:2026-09-07"",""chargeComponent:2026-09-07"",""currency:2026-09-07"",""rateUnit:2026-09-07"",""calculationRule:2026-09-07"",""effectiveDate:2026-09-07"",""currentness:2026-09-07"",""sourceTitle:2026-09-07"",""sourceUrl:2026-09-07"",""auditStatus:2026-09-07"",""qualityNotes:2026-09-07"",""externalIds:2026-09-07"",""rateValue:2026-09-07""]",transport-structured-20260907,"[""transport-fare:TAXI-RETURN-DAY""]",,,needs_review,d811abfbdd9ee5dbf6b7c321043c13501e28b08ab98a9552c5cbf6a462f3df93,2026-09-07,2026-09-07,2026-09-07,0,,
transportfare_TAXI-RETURN-NIGHT,夜间含空驶返程费车公里价（22:00-次日06:30）,出租车,admin_520100,普通型巡游出租车（车辆购置价低于21万元）,22:00-次日06:30,超过10公里部分,夜间含空驶返程费车公里价,3.24,CNY,元/公里,超过10公里部分按夜间车公里价加收50%空驶返程费；计价器每0.5公里加收1.62元。,2018-03-05,2026-09-07|LATEST_KNOWN_BASE_RULE_PENDING_REGULATOR_CONFIRMATION,筑发改收费〔2018〕123号,https://guanjia.lanluo.cn/dongtai/gg/119066.html,BASE_RULE_VERIFIED,截至2026-09-07未检索到后续正式调价文件；实际乘车仍以贵阳市主管部门和计价器当期规则为准。,src_transport_dataset,"[""name:src_transport_dataset"",""transportMode:src_transport_dataset"",""applicableAdminArea:src_transport_dataset"",""vehicleCategory:src_transport_dataset"",""timeWindow:src_transport_dataset"",""distanceOrCondition:src_transport_dataset"",""chargeComponent:src_transport_dataset"",""currency:src_transport_dataset"",""rateUnit:src_transport_dataset"",""calculationRule:src_transport_dataset"",""effectiveDate:src_transport_dataset"",""currentness:src_transport_dataset"",""sourceTitle:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""auditStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""externalIds:src_transport_dataset"",""rateValue:src_transport_dataset""]","[""name:2026-09-07"",""transportMode:2026-09-07"",""applicableAdminArea:2026-09-07"",""vehicleCategory:2026-09-07"",""timeWindow:2026-09-07"",""distanceOrCondition:2026-09-07"",""chargeComponent:2026-09-07"",""currency:2026-09-07"",""rateUnit:2026-09-07"",""calculationRule:2026-09-07"",""effectiveDate:2026-09-07"",""currentness:2026-09-07"",""sourceTitle:2026-09-07"",""sourceUrl:2026-09-07"",""auditStatus:2026-09-07"",""qualityNotes:2026-09-07"",""externalIds:2026-09-07"",""rateValue:2026-09-07""]",transport-structured-20260907,"[""transport-fare:TAXI-RETURN-NIGHT""]",,,needs_review,c72143a7e728d699063e36e4408146f6237aa31a46266bb184c1a80fe45cf7b7,2026-09-07,2026-09-07,2026-09-07,0,,
transportfare_TAXI-LOW-SPEED-OFFPEAK,低速计时费（非07:00-09:00且非17:00-19:00）,出租车,admin_520100,普通型巡游出租车（车辆购置价低于21万元）,非07:00-09:00且非17:00-19:00,车速低于12公里/小时,低速计时费,0.25,,车公里单价/分钟,前3分钟免费；之后每分钟按相应时段车公里单价的25%计收。通知的普通型计价器说明列示0.45元/分钟。,2018-03-05,2026-09-07|LATEST_KNOWN_BASE_RULE_PENDING_REGULATOR_CONFIRMATION,筑发改收费〔2018〕123号,https://guanjia.lanluo.cn/dongtai/gg/119066.html,BASE_RULE_VERIFIED,截至2026-09-07未检索到后续正式调价文件；实际乘车仍以贵阳市主管部门和计价器当期规则为准。,src_transport_dataset,"[""name:src_transport_dataset"",""transportMode:src_transport_dataset"",""applicableAdminArea:src_transport_dataset"",""vehicleCategory:src_transport_dataset"",""timeWindow:src_transport_dataset"",""distanceOrCondition:src_transport_dataset"",""chargeComponent:src_transport_dataset"",""rateUnit:src_transport_dataset"",""calculationRule:src_transport_dataset"",""effectiveDate:src_transport_dataset"",""currentness:src_transport_dataset"",""sourceTitle:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""auditStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""externalIds:src_transport_dataset"",""rateValue:src_transport_dataset""]","[""name:2026-09-07"",""transportMode:2026-09-07"",""applicableAdminArea:2026-09-07"",""vehicleCategory:2026-09-07"",""timeWindow:2026-09-07"",""distanceOrCondition:2026-09-07"",""chargeComponent:2026-09-07"",""rateUnit:2026-09-07"",""calculationRule:2026-09-07"",""effectiveDate:2026-09-07"",""currentness:2026-09-07"",""sourceTitle:2026-09-07"",""sourceUrl:2026-09-07"",""auditStatus:2026-09-07"",""qualityNotes:2026-09-07"",""externalIds:2026-09-07"",""rateValue:2026-09-07""]",transport-structured-20260907,"[""transport-fare:TAXI-LOW-SPEED-OFFPEAK""]",,,needs_review,aab098ebb7c8e47d22159056fc523c446303b8b10e6a78d8f1f9cecb0c117e53,2026-09-07,2026-09-07,2026-09-07,0,,
transportfare_TAXI-LOW-SPEED-PEAK,高峰低速计时费（07:00-09:00、17:00-19:00）,出租车,admin_520100,普通型巡游出租车（车辆购置价低于21万元）,07:00-09:00、17:00-19:00,车速低于12公里/小时,高峰低速计时费,0.25,,车公里单价/分钟,不设前3分钟免费；每分钟按相应时段车公里单价的25%计收。,2018-03-05,2026-09-07|LATEST_KNOWN_BASE_RULE_PENDING_REGULATOR_CONFIRMATION,筑发改收费〔2018〕123号,https://guanjia.lanluo.cn/dongtai/gg/119066.html,BASE_RULE_VERIFIED,截至2026-09-07未检索到后续正式调价文件；实际乘车仍以贵阳市主管部门和计价器当期规则为准。,src_transport_dataset,"[""name:src_transport_dataset"",""transportMode:src_transport_dataset"",""applicableAdminArea:src_transport_dataset"",""vehicleCategory:src_transport_dataset"",""timeWindow:src_transport_dataset"",""distanceOrCondition:src_transport_dataset"",""chargeComponent:src_transport_dataset"",""rateUnit:src_transport_dataset"",""calculationRule:src_transport_dataset"",""effectiveDate:src_transport_dataset"",""currentness:src_transport_dataset"",""sourceTitle:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""auditStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""externalIds:src_transport_dataset"",""rateValue:src_transport_dataset""]","[""name:2026-09-07"",""transportMode:2026-09-07"",""applicableAdminArea:2026-09-07"",""vehicleCategory:2026-09-07"",""timeWindow:2026-09-07"",""distanceOrCondition:2026-09-07"",""chargeComponent:2026-09-07"",""rateUnit:2026-09-07"",""calculationRule:2026-09-07"",""effectiveDate:2026-09-07"",""currentness:2026-09-07"",""sourceTitle:2026-09-07"",""sourceUrl:2026-09-07"",""auditStatus:2026-09-07"",""qualityNotes:2026-09-07"",""externalIds:2026-09-07"",""rateValue:2026-09-07""]",transport-structured-20260907,"[""transport-fare:TAXI-LOW-SPEED-PEAK""]",,,needs_review,dea6d4938a9d2061ea1d2e328acd12607a517374c6cf05731ec0356022b0ac61,2026-09-07,2026-09-07,2026-09-07,0,,
transportfare_TAXI-HIGH-GRADE-START,中高档车型起步价上浮（全天）,出租车,admin_520100,中高档巡游出租车（车辆购置价21万元及以上）,全天,每车次,中高档车型起步价上浮,1.0,CNY,元/车次,起步价可在普通型标准基础上增加1元，其他计费规定相同。,2018-03-05,2026-09-07|LATEST_KNOWN_BASE_RULE_PENDING_REGULATOR_CONFIRMATION,筑发改收费〔2018〕123号,https://guanjia.lanluo.cn/dongtai/gg/119066.html,BASE_RULE_VERIFIED,截至2026-09-07未检索到后续正式调价文件；实际乘车仍以贵阳市主管部门和计价器当期规则为准。,src_transport_dataset,"[""name:src_transport_dataset"",""transportMode:src_transport_dataset"",""applicableAdminArea:src_transport_dataset"",""vehicleCategory:src_transport_dataset"",""timeWindow:src_transport_dataset"",""distanceOrCondition:src_transport_dataset"",""chargeComponent:src_transport_dataset"",""currency:src_transport_dataset"",""rateUnit:src_transport_dataset"",""calculationRule:src_transport_dataset"",""effectiveDate:src_transport_dataset"",""currentness:src_transport_dataset"",""sourceTitle:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""auditStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""externalIds:src_transport_dataset"",""rateValue:src_transport_dataset""]","[""name:2026-09-07"",""transportMode:2026-09-07"",""applicableAdminArea:2026-09-07"",""vehicleCategory:2026-09-07"",""timeWindow:2026-09-07"",""distanceOrCondition:2026-09-07"",""chargeComponent:2026-09-07"",""currency:2026-09-07"",""rateUnit:2026-09-07"",""calculationRule:2026-09-07"",""effectiveDate:2026-09-07"",""currentness:2026-09-07"",""sourceTitle:2026-09-07"",""sourceUrl:2026-09-07"",""auditStatus:2026-09-07"",""qualityNotes:2026-09-07"",""externalIds:2026-09-07"",""rateValue:2026-09-07""]",transport-structured-20260907,"[""transport-fare:TAXI-HIGH-GRADE-START""]",,,needs_review,d463bdf6722b0634eb0bd25af32b56afad3c66e8f1242594ab1330d50051c50d,2026-09-07,2026-09-07,2026-09-07,0,,
transportfare_TAXI-TOLL,通行费（全天）,出租车,admin_520100,全部巡游出租车,全天,实际发生高速公路、桥梁、隧道等通行费,通行费,,CNY,按实际发生额,由乘客据实支付。,2018-03-05,2026-09-07|LATEST_KNOWN_BASE_RULE_PENDING_REGULATOR_CONFIRMATION,筑发改收费〔2018〕123号,https://guanjia.lanluo.cn/dongtai/gg/119066.html,BASE_RULE_VERIFIED,截至2026-09-07未检索到后续正式调价文件；实际乘车仍以贵阳市主管部门和计价器当期规则为准。,src_transport_dataset,"[""name:src_transport_dataset"",""transportMode:src_transport_dataset"",""applicableAdminArea:src_transport_dataset"",""vehicleCategory:src_transport_dataset"",""timeWindow:src_transport_dataset"",""distanceOrCondition:src_transport_dataset"",""chargeComponent:src_transport_dataset"",""currency:src_transport_dataset"",""rateUnit:src_transport_dataset"",""calculationRule:src_transport_dataset"",""effectiveDate:src_transport_dataset"",""currentness:src_transport_dataset"",""sourceTitle:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""auditStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""externalIds:src_transport_dataset""]","[""name:2026-09-07"",""transportMode:2026-09-07"",""applicableAdminArea:2026-09-07"",""vehicleCategory:2026-09-07"",""timeWindow:2026-09-07"",""distanceOrCondition:2026-09-07"",""chargeComponent:2026-09-07"",""currency:2026-09-07"",""rateUnit:2026-09-07"",""calculationRule:2026-09-07"",""effectiveDate:2026-09-07"",""currentness:2026-09-07"",""sourceTitle:2026-09-07"",""sourceUrl:2026-09-07"",""auditStatus:2026-09-07"",""qualityNotes:2026-09-07"",""externalIds:2026-09-07""]",transport-structured-20260907,"[""transport-fare:TAXI-TOLL""]",,,needs_review,efb319efb255a34e9206cdf155c6841f499bb742155f4a07acf1e278ac92ba29,2026-09-07,2026-09-07,2026-09-07,0,,
transportfare_TAXI-FUEL-1,燃油附加费触发档（按半年度测算并公告）,出租车,admin_520100,全部巡游出租车,按半年度测算并公告,92号汽油加权均价达到7.22元/升且低于9.04元/升,燃油附加费触发档,1.0,CNY,元/车次,达到触发价后，由行业主管部门按机制发布执行公告。,2018-03-05,2026-09-07|DYNAMIC_AMOUNT_REQUIRES_CURRENT_NOTICE,筑发改收费〔2018〕123号,https://guanjia.lanluo.cn/dongtai/gg/119066.html,DYNAMIC_REQUIRES_CURRENT_NOTICE,该行只记录联动机制，不代表审计日正在收取1元。,src_transport_dataset,"[""name:src_transport_dataset"",""transportMode:src_transport_dataset"",""applicableAdminArea:src_transport_dataset"",""vehicleCategory:src_transport_dataset"",""timeWindow:src_transport_dataset"",""distanceOrCondition:src_transport_dataset"",""chargeComponent:src_transport_dataset"",""currency:src_transport_dataset"",""rateUnit:src_transport_dataset"",""calculationRule:src_transport_dataset"",""effectiveDate:src_transport_dataset"",""currentness:src_transport_dataset"",""sourceTitle:src_transport_dataset"",""sourceUrl:src_transport_dataset"",""auditStatus:src_transport_dataset"",""qualityNotes:src_transport_dataset"",""externalIds:src_transport_dataset"",""rateValue:src_transport_dataset""]","[""name:2026-09-07"",""transportMode:2026-09-07"",""applicableAdminArea:2026-09-07"",""vehicleCategory:2026-09-07"",""timeWindow:2026-09-07"",""distanceOrCondition:2026-09-07"",""chargeComponent:2026-09-07"",""currency:2026-09-07"",""rateUnit:2026-09-07"",""calculationRule:2026-09-07"",""effectiveDate:2026-09-07"",""currentness:2026-09-07"",""sourceTitle:2026-09-07"",""sourceUrl:2026-09-07"",""auditStatus:2026-09-07"",""qualityNotes:2026-09-07"",""externalIds:2026-09-07"",""rateValue:2026-09-07""]",transport-structured-20260907,"[""transport-fare:TAXI-FUEL-1""]",,,needs_review,0b14cd4432df43a7b1caf140bc86a13f27e195948bd2204289c7426b4670bdb9,2026-09-07,2026-09-07,2026-09-07,0,,
