行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
巴蜀府,交通服务,华欣火车站,Hua Hin Railway Station,火车站,华欣市区；华欣区,51,6,疑似已存在,THXHSFINAL-1331:华欣火车站,固定实体候选,合并既有记录，不新增,适合打卡/交通,1911年拉玛六世时期修建、泰国最美火车站之一、无检票随便进出,"周末华欣Ace of Hua Hin resort酒店躺平
🇹🇭华欣！四天三晚最满意的海边度假酒店
从曼谷花9元坐6个多小时火车去趟华欣值吗？
曼谷去华欣坐车一天搞定🤣
🇹🇭华欣！心中no.1的漂亮度假酒店💚🌴","https://www.xiaohongshu.com/explore/6791c42a0000000018007fa3?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a4f1bf000000002202ea11?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6445161c00000000120336e3?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6918a1d7000000000402a91e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/698089c3000000000a03dda2?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,交通服务,曼谷华南蓬火车站,Hua Lamphong Railway Station,百年火车站/火车博物馆,市中心靠近唐人街,51,1,疑似已存在,THXHSFINAL-0727:华南蓬火车站,固定实体候选,合并既有记录，不新增,适合体验绿皮火车,意大利建筑风格、每天1趟9:20发车到华欣44泰铢约4小时,曼谷～华欣 泰国风情火车🚞 仅44🐷,https://www.xiaohongshu.com/explore/69e07202000000001a033e28?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,交通服务,班佩码头,Ban Phe Pier,官方码头,去沙美岛,75,22,疑似已存在,THXHSFINAL-1348:班佩码头(Ban Phe Pier),固定实体候选,合并既有记录，不新增,所有游客,"大船往返120铢/人40分钟,单程70铢,上岛费200铢/人,认准官方码头别被司机带去私人码头","Staycation，泰国罗勇府班佩码头住到不想走
泰国罗勇Rayong遛娃推荐，比芭提雅人少景美
🇹🇭罗勇府的一天
沙美岛班佩码头必吃美食🦐
🇹🇭沙美岛美食总结","https://www.xiaohongshu.com/explore/6a71f006000000000502b174?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a292230000000022023a7c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66f8c9df000000001b0231ab?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6874b165000000002400db8e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6794bce600000000290173d1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,交通服务,Nuanthip Pier,Nuanthip Pier,官方码头,去沙美岛,75,22,疑似已存在,THXHSFINAL-1348:班佩码头(Ban Phe Pier),固定实体候选,合并既有记录，不新增,所有游客,"从干货市场进去的码头,沙美岛回曼谷大巴票也在这里买,对面有711和Amazon咖啡店","Staycation，泰国罗勇府班佩码头住到不想走
泰国罗勇Rayong遛娃推荐，比芭提雅人少景美
🇹🇭罗勇府的一天
沙美岛班佩码头必吃美食🦐
🇹🇭沙美岛美食总结","https://www.xiaohongshu.com/explore/6a71f006000000000502b174?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a292230000000022023a7c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66f8c9df000000001b0231ab?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6874b165000000002400db8e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6794bce600000000290173d1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
清莱府,交通服务,清莱巴士站,Bus Terminal 1,汽车站,市中心,69,2,疑似已存在,THXHSFINAL-0763:普吉汽车总站1,固定实体候选,合并既有记录，不新增,适合坐大巴去美斯乐/白庙,去白庙巴士写有white temple、去美斯乐50泰铢,"曼谷清莱一日✈️游极限逛白红蓝三庙
清莱如何去美斯乐","https://www.xiaohongshu.com/explore/691c7309000000001f004eff?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69d368a9000000001b023d55?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
素可泰府,交通服务,素可泰历史公园,Sukhothai Historical Park,历史遗迹,,42,15,疑似已存在,THXHSFINAL-1312:素可泰历史公园(中区),固定实体候选,合并既有记录，不新增,所有游客,"联合国教科文组织世界遗产,分中区/北区/西区/南区/东区,门票200泰铢(中区)","吹爆性价比天花板！素可泰Taitai Sukhothai
200的酒店，无价的服务，在素可泰🇹🇭
来泰国绝对不能错过这间Resort!!🇹🇭
素可泰平均房价不到800泰铢的独栋小屋泳池度假村和它还算丰富的早餐。
​推荐指数
素可泰｜被问爆了的莫奈花园酒店！","https://www.xiaohongshu.com/explore/679dc88c000000001902fb29?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6666d5f3000000000e0318ea?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68207754000000000f038e7d?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a2caacb00000000170298c0?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6793c6a000000000290126f3?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
素可泰府,交通服务,Wat Saphan Hin,石桥寺,寺庙,,42,2,疑似已存在,THXHSFINAL-1337:沙潘欣寺,固定实体候选,合并既有记录，不新增,日出观赏,"看日出地点,有流浪狗需注意","这家远离中心的小店，让我总想再回到素可泰
120r 泰国6城火车游第三站：素可泰","https://www.xiaohongshu.com/explore/695f65a5000000000b0100cd?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/694286bc000000001f0055f1?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
夜丰颂府,交通服务,拜县汽车站(Th Chaisongkhram),汽车站,拜县,交通枢纽,43,6,疑似已存在,THXHSFINAL-1326:汽车站(艾卡麦车站)；THXHSFINAL-1333:汽车站(莫奇车站),固定实体候选,合并既有记录，不新增,清迈-拜县-夜丰颂环线长途车停靠,强,"泰国夜丰颂～实用完整攻略～旅居旅行
泰国旅行攻略14 | 拐760弯去住拜县这家酒店
🇹🇭Mae Hong Son夜丰颂P.L.P Guest House
泰国牛洞寺禅修最全攻略～旅拍
泰国的免费内观静修所！包吃包住可以住10天","https://www.xiaohongshu.com/explore/6989bad0000000002801c286?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/5fab74f3000000000101d9f9?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/670f97800000000016020d86?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/694ad023000000001e024079?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/641ee2f60000000013013aa2?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,交通服务,曼谷阿皮瓦中央车站,Krung Thep Aphiwat Central Terminal,新火车站,MRT蓝线Chatuchak Park附近,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合乘坐空调火车,空调火车在此站、车票410泰铢有免费餐食和水,泰国华欣攻略,https://www.xiaohongshu.com/explore/6a8ff731000000001f01f5e6?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,交通服务,北碧府汽车站,Kanchanaburi Transportation,巴士站,市区,27,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,巴士到达/离开游客,有minibus运营公司、可去爱侣湾瀑布和孟族村,全网首发，泰国北碧府3天2夜自助游攻略,https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
