行政区,POI业务类型,POI名称,外文/地图名,POI细分类型,地理位置描述,引用小红书帖子数,名称直接命中帖子数（非热度）,现库匹配状态,现库匹配记录,固定实体审核,最终处理结论,适合人群,主要到访/入住理由,证据样例标题,证据样例URL,重要口径
北碧府,住宿酒店,Suan Sai Yok Resort,Suan Sai Yok Resort สวนไทรโยค รีสอร์ท,河景度假村,死亡铁路旁,27,1,疑似已存在,THXHSFINAL-1452:赛约克度假村,固定实体候选,合并既有记录，不新增,摄影/火车爱好者,出门即死亡铁路、步行到甲赛洞、火车与河景同框,花200泰铢，坐上泰国最美铁路！,https://www.xiaohongshu.com/explore/6a648900000000000100f5bc?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
北碧府,住宿酒店,The Float House水上漂浮酒店,The Float House River Kwai,漂浮度假村,桂河上,27,1,疑似已存在,THXHSFINAL-1451:桂河漂浮屋度假村,固定实体候选,合并既有记录，不新增,体验型游客,需乘船入住、含孟族表演/药草球按摩/河畔晚餐,北碧府tips,https://www.xiaohongshu.com/explore/6a843ae000000000250002fa?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,罗勇假日酒店及套房,Holiday Inn & Suites Rayong City Centre,城市酒店,Sukhumvit路,75,4,疑似已存在,THXHSFULL-0189:Holiday Inn（奥南原帖简称）,固定实体候选,合并既有记录，不新增,商务/城市游,"30层楼、隔音好,边上有Passione商场","泰兰德酒店分享来啦
罗勇酒店推荐 ⭐️Holiday Inn & Suites
罗勇府马杀鸡店推荐
罗勇按摩推荐thai house massage","https://www.xiaohongshu.com/explore/681adbed0000000020029b68?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/678b0d480000000019018435?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67069b40000000002c015501?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68fc110f000000000301b674?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
罗勇府,住宿酒店,诺富特星星会议中心酒店,Novotel Stars Convention Hotel,商务酒店,市中心,75,2,疑似已存在,THXHSFINAL-0773:芭提雅诺富特酒店,固定实体候选,合并既有记录，不新增,商务/过渡,"设施新、地理位置好,正门右边是星星夜市","罗勇市区（中心）
泰兰德D1罗勇府～","https://www.xiaohongshu.com/explore/698d2f84000000001600b089?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66a4a4a7000000000600ff24?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
沙敦府,住宿酒店,阿基拉酒店,Akira Lipe Resort,度假村,丽贝岛日出沙滩,70,3,疑似已存在,THXHSFINAL-0866:阿基拉塔佩酒店,固定实体候选,合并既有记录，不新增,追求高端度假、预算充足,25年米其林、但被吐槽入住流程乱、沙滩晚餐氛围好,"丽贝岛（有）美食（吗）攻略🌚
丽贝岛｜按摩天花板
丽贝岛的泰式按摩推荐两家","https://www.xiaohongshu.com/explore/69a1add3000000002801f0bb?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69f5ce67000000003503313e?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/690d549100000000070153c2?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
宋卡府,住宿酒店,CC Hotel,CC Hotel Hatyai,酒店与度假住宿,市区,42,1,疑似已存在,THXHSFINAL-1540:CC Hotel,固定实体候选,合并既有记录，不新增,家庭出游、老人小孩,"步行5-10分钟有两家7-11,附近吃的很多",🇲🇾2026合艾游住宿篇-CC Hotel🏨,https://www.xiaohongshu.com/explore/69d5bde50000000020038f27?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
夜丰颂府,住宿酒店,Mari Pai Resort(马里拜度假村),度假度假村,拜县,情侣/拍照,43,0,疑似已存在,THXHSFINAL-1379:大树秋千,固定实体候选,合并既有记录，不新增,独栋小木屋+大树秋千,强,,,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,住宿酒店,Ace of Hua Hin Resort,爱斯华欣度假村,豪华度假酒店,市区往北12公里,51,2,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合情侣/亲子,性价比高、私人海滩、无边泳池、自助早餐优秀,"周末华欣Ace of Hua Hin resort酒店躺平
泰国华欣海滩度假村酒店初体验～","https://www.xiaohongshu.com/explore/6791c42a0000000018007fa3?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67756d800000000014024e2c?xsec_token_redacted=1&xsec_source=pc_dots",回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,住宿酒店,Avani+ Hua Hin Resort,阿瓦尼+华欣度假村,网红风格度假村,距离华欣夜市一段距离,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合亲子/泡酒店,装修网红风、基础房型带阳台、泳池和公共区域优秀,亲子旅行✈️华欣Avani+ Hua Hin Resort房间,https://www.xiaohongshu.com/explore/691fda59000000001e02dc6d?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
巴蜀府,住宿酒店,Centara Life Cha-Am Beach Resort,盛泰乐生活七岩海滩度假村,海滨度假村,宁静的七岩海岸,51,1,本轮新增名称候选,,固定实体候选,通过｜新增进入Google候选,适合躺平/慢节奏度假,24小时前台、早餐供应至下午4点、酒店内有面摊,逃离曼谷，在七岩过一个慢悠悠的海边周末,https://www.xiaohongshu.com/explore/6a8e8b1a0000000012011de7?xsec_token_redacted=1&xsec_source=pc_dots,回答名称来自点点AI；正文直接命中是引用帖内字符串核对，不代表热度，也不等于Google事实核验
