校验ID,分类,校验项,结果,实测值,期望值,说明,校验时间
V001,文件,必要CSV均存在,通过,无缺失,无缺失,当前阶段全部持久化输出均为CSV,2026-09-07T01:16:09-07:00
V002,阶段边界,未创建SQLite数据库文件,通过,0,0,当前只落CSV，数据库阶段暂缓,2026-09-07T01:16:09-07:00
V003,编码,全部CSV使用UTF-8-BOM,通过,17,17,保证中文字段可直接由Excel等工具打开,2026-09-07T01:16:09-07:00
V004,结构,平台关系原始表严格四列,通过,"[""酒店ID"", ""酒店入住平台名称"", ""是否官网"", ""URL链接""]","[""酒店ID"", ""酒店入住平台名称"", ""是否官网"", ""URL链接""]",批次和标准化字段仅进入独立审计索引,2026-09-07T01:16:09-07:00
V005,结构,平台注册表字段顺序固定,通过,20,20,字段名与顺序由代码常量控制,2026-09-07T01:16:09-07:00
V006,结构,平台身份卡字段顺序固定,通过,34,34,字段名与顺序由代码常量控制,2026-09-07T01:16:09-07:00
V007,结构,采集任务计划字段顺序固定,通过,28,28,调度输入不依赖数据库,2026-09-07T01:16:09-07:00
V008,结构,平台覆盖进度字段顺序固定,通过,18,18,按平台与S/A/B分层汇总采集覆盖，不替代酒店×平台明细,2026-09-07T01:16:09-07:00
V009,结构,平台T4准入进度字段顺序固定,通过,11,11,只统计precision通道的T3候选与人工审核任务,2026-09-07T01:16:09-07:00
V010,结构,可比价格字段顺序固定,通过,24,24,只允许T4平台审核和价格语义人工通过的记录进入,2026-09-07T01:16:09-07:00
V011,T4证据,T4证据索引字段和任务覆盖固定,通过,52,52,每个T4审核任务必须有对应的实际运行证据索引；日期漂移只能进入人工处理,2026-09-07T01:16:09-07:00
V012,对账,平台关系行数与同批次审计索引一致,通过,6014,6014,动态上游可继续新增；当前批次内部必须完整,2026-09-07T01:16:09-07:00
V013,对账,平台关系内容与同批次审计索引逐行一致,通过,一致,逐行一致,原始四列顺序、平台名与URL均需保留,2026-09-07T01:16:09-07:00
V014,动态上游,识别批次后新增的平台关系,通过,0,允许采集运行期间产生待同步增量,最终交付前再次运行流水线即可纳入；不将正常增量判为批次损坏,2026-09-07T01:16:09-07:00
V015,主键,酒店ID不含类型前缀,通过,0,0,例如仅保留ChIJ...，不保留pid:,2026-09-07T01:16:09-07:00
V016,主键,酒店ID唯一且非空,通过,1273,1273,Google Place ID作为酒店主键,2026-09-07T01:16:09-07:00
V017,分层,S/A/B酒店数量符合策略,通过,"{""A"": 400, ""B"": 773, ""S"": 100}","{""A"": 400, ""B"": 773, ""S"": 100}",按评价数量、评分和酒店ID稳定排序,2026-09-07T01:16:09-07:00
V018,平台治理,平台洞察62行均有别名映射,通过,62,62,全部映射,2026-09-07T01:16:09-07:00
V019,平台治理,官网IBE引擎均已注册,通过,6,6,官网根据落地主域识别，不把酒店名称当OTA别名,2026-09-07T01:16:09-07:00
V020,身份,酒店与标准平台身份卡唯一,通过,6014,6014,每对酒店与标准平台仅保留最佳URL候选,2026-09-07T01:16:09-07:00
V021,身份,T1身份满足结构与可达性条件,通过,0,0,T1不代表酒店身份指纹已经核验,2026-09-07T01:16:09-07:00
V022,身份,无指纹分数时不得标记身份已核验,通过,0,0,身份三重核验尚未执行时保持待核验,2026-09-07T01:16:09-07:00
V023,快照,房型快照记录哈希唯一,通过,230,230,重复运行不重复追加同一源记录,2026-09-07T01:16:09-07:00
V024,快照,售卖方案快照记录哈希唯一,通过,326,326,重复运行不重复追加同一源记录,2026-09-07T01:16:09-07:00
V025,异常门禁,已知误采平台全部隔离为R,通过,0,0,BookMyBooking、Tripening和Kiwi搜索卡片在专属规则修复前禁止升级,2026-09-07T01:16:09-07:00
V026,价格语义,售卖方案包含规范要求的语义字段,通过,11,11,字段齐全,2026-09-07T01:16:09-07:00
V027,价格语义,当前阶段未自动放行可比价格,通过,0,0,计价单位、税费语义和T4未完成,2026-09-07T01:16:09-07:00
V028,质量门禁,机器流水线不会自动授予T4,通过,0,0,T4只能由人工审核产生,2026-09-07T01:16:09-07:00
V029,质量门禁,T4人工审核模板字段顺序固定,通过,23,23,模板只承载人工证据，不自动改变机器质量等级,2026-09-07T01:16:09-07:00
V030,质量门禁,T4模板只包含精确通道的T3关系,通过,0,0,不为不存在的平台关系或同源白标机械生成审核任务,2026-09-07T01:16:09-07:00
V031,房型映射,候选房型未被自动批准,通过,0,0,床型、面积、人数齐全也仍需跨平台人工确认,2026-09-07T01:16:09-07:00
V032,人工核验,房型价格人工核验表字段顺序固定,通过,42,42,人工填写列会按稳定核验记录ID保留,2026-09-07T01:16:09-07:00
V033,人工核验,每条售卖方案均进入人工核验表,通过,326,326,核验表同时保留无售卖方案的房型行,2026-09-07T01:16:09-07:00
V034,人工核验,当前核验表仅包含并覆盖当前售卖方案,通过,223,223,历史版本保留在快照核验表；当前核验表不混入已被替换的旧方案,2026-09-07T01:16:09-07:00
V035,采集计划,任务查询口径统一,通过,0,0,1晚、2成人、0儿童、1间房、THB、TH、en,2026-09-07T01:16:09-07:00
V036,采集计划,未通过URL模板口径检查的任务不可执行,通过,0,0,缺少可规范化的币种/POS参数时进入待口径适配；已知展示值由执行器统一到THB/TH,2026-09-07T01:16:09-07:00
V037,采集计划,每家酒店平台数不超过S/A/B配额,通过,0,0,S最多6个平台、A最多4个、B最多2个,2026-09-07T01:16:09-07:00
V038,异常证据,已知误采记录均有P0异常证据,通过,183,123,异常表可多记一条记录的多个命中规则，但不得少于误采记录数,2026-09-07T01:16:09-07:00
V039,导出,当日CSV交付目录存在,通过,[LOCAL_HOME]/Desktop/Thailand---泰国/06_酒店实时比价平台/08_数据/05_每日导出/2026-09-07,当日目录含核心CSV,每日导出是当前阶段的交付边界,2026-09-07T01:16:09-07:00
V040,批次,至少一个CSV批次完整结束,通过,57,>=1,失败批次不伪装为完成,2026-09-07T01:16:09-07:00
