字段字典,字段字典,字段字典,字段字典
所有业务字段采用中文；行政代码按文本保存，避免前导零丢失,所有业务字段采用中文；行政代码按文本保存，避免前导零丢失,所有业务字段采用中文；行政代码按文本保存，避免前导零丢失,所有业务字段采用中文；行政代码按文本保存，避免前导零丢失
,,,
字段,类型/单位,定义,业务用法
行政区代码/村代码,文本,DOPA/TIS 1099代码；保留前导零,主键；GeoJSON id前加TH
上级行政区代码,文本,父级代码,用于树形层级和级联筛选
中文名称,文本,府级人工校核；低层级仅保留可靠公开中文标签,空值不代表没有名称，而是尚无可靠中文标准名
中文显示名,文本,中文名称为空时回退英文,前端可直接显示
中心纬度/中心经度,十进制度,WGS84,"Google Maps位置顺序为{lat,lng}"
西/南/东/北界,十进制度,多边形外包框,可用于地图fitBounds
边界状态,文本,可绘制/仅点位,村级没有全国统一多边形
边界文件,文本,对应GeoJSON文件名,按层级分文件，避免一次加载过大
边界要素ID,文本,TH + 行政区代码,与GeoJSON feature.id一致
边界坐标系,文本,WGS84 / EPSG:4326,Google Maps可直接读取
Google原生边界支持,文本,Google DDS在泰国的覆盖情况,ADM0/ADM1支持，ADM2/ADM3不支持
中文名状态,文本,中文名来源或回退状态,可据此筛选后续本地化队列
