行政区,POI业务类型,POI名称,POI泰文名称,POI细分类型,地理位置描述,名称直接命中帖子数（非热度）,证据样例标题,证据样例URL,重要口径
北碧府,景点观光,茉莉之城,Mallika R.E 124 เมืองมัลลิกา,复古主题公园,市区外,2,"北碧府tips
曼谷出发🚗2.5h 打卡这座小众宝藏小城","https://www.xiaohongshu.com/explore/6a843ae000000000250002fa?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65aa6faa000000002d030535?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
北碧府,景点观光,Skywalk Kanchanaburi City,Skywalk Kanchanaburi City,玻璃栈道观景台,市区,1,"北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
	
这是原先打算走的行程，",https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,景点观光,考艾国家公园北门入口,Khao Yai National Park Checkpoint - Pak Chong,国家公园入口,北大门,2,"泰国考艾国家公园 移动风景线之公路
泰国考艾国家公园两天一夜自驾行程攻略","https://www.xiaohongshu.com/explore/68b5adfe000000001b03c787?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a1934430000000036001d5d?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,景点观光,考艾国家公园南门入口,Khao Yai National Park Checkpoint (Prachinburi Side),国家公园入口,南大门,2,"泰国考艾国家公园 移动风景线之公路
泰国考艾国家公园两天一夜自驾行程攻略","https://www.xiaohongshu.com/explore/68b5adfe000000001b03c787?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a1934430000000036001d5d?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,景点观光,披迈石宫,Phimai Historical Park / Prasat Phimai,历史遗迹,披迈县,8,"泰国也有“吴哥窟”→泰国最大高棉圣殿
披迈石宫｜泰国藏着一座高棉文明遗珠
当我坐火车从曼谷一路向东北
碧邁遺跡公園Phimai Historical Park呵叻府
呵叻| 跨越国界的文明—披迈石宫","https://www.xiaohongshu.com/explore/6a928688000000002903dbbc?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a2f1a7f0000000016027208?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69b4e6a6000000001a036776?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/66c85df9000000001f03af0f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a32ac9700000000160264c1?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,景点观光,Art Forrest,Art Forrest Khao Yai,主题园区,北冲县,1,周末逃离曼谷|🐑130km直达“瑞士牧场“,https://www.xiaohongshu.com/explore/69cb970f000000001b021dcc?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,景点观光,Ban Tha Chang Spring,Ban Tha Chang Spring,自然景点,北冲县,1,五一不知道去哪？那你应该看看泰国巴冲,https://www.xiaohongshu.com/explore/69b97d18000000001d019312?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,景点观光,GranMonte酒庄,GranMonte Vineyard and Winery,葡萄园/酒庄,北冲县,2,"泰国小瑞士！考艾3天2夜自驾之旅
泰国🇹🇭考艾 3天2晚自由行攻略","https://www.xiaohongshu.com/explore/6a509ae8000000002201b49f?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6985c506000000000d00a373?xsec_token_redacted=1&xsec_source=pc_dots",本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,景点观光,Haew Su Wat Waterfall,Haew Su Wat Waterfall,瀑布,考艾国家公园内,1,泰国考艾国家公园两天一夜自驾行程攻略,https://www.xiaohongshu.com/explore/6a1934430000000036001d5d?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
呵叻府,景点观光,Kong Kaew瀑布,Kong Kaew Waterfall,瀑布,考艾国家公园内,1,0难度新手必看考艾国家森林公园懒人路线,https://www.xiaohongshu.com/explore/67f39299000000000900fcba?xsec_token_redacted=1&xsec_source=pc_dots,本表只含现库未命中、固定实体、且引用小红书正文直接命名的新增候选；不等于已完成Google事实核验
