行政区,POI业务类型,POI名称,POI细分类型,外文/地图名,地理位置描述,游客需求场景,名称直接命中帖子数（非热度）,来源阶段,证据URL,证据内容,重要口径
巴蜀府,交通服务,华欣垂钓码头,码头与渡轮,Hua Hin Fishing Pier,华欣市区沿海,码头换乘/乘船出海,1,20260831小红书点点AI增量采集,https://www.xiaohongshu.com/explore/6a5221c5000000000f01d985?xsec_token_redacted=1&xsec_source=pc_dots,"「1」
标题：📷日记|华欣不止老头乐，还有超绝海滩啊🏖
正文：这里没有下饺子的人群，只有属于一个人的自由梦。
细软的白沙滩，
近岸水也清可见底
吹着傍晚的海风，
脚踩冰冰凉凉的海水，
好快活啊～

📍 打卡定位： Hua Hin Fishing Pier (华欣垂钓码头)
💡 拍照Tips：
●       下午五六点光线柔和，夕阳下的海滩
●       穿白色或亮色裙子，和蓝海增加对比度
●       废弃的石桥很有电影感

🚗 交通： 从曼谷出发约3小时，适合周末短途逃离城市。

🍈 限时彩蛋：华欣榴莲节！
7月8—13日这里有榴莲评选活动🎉。
活动地点：Blúport Hua Hin

#可以看看你们拍的海吗[话题]# #泰国旅行[话题]# #华欣旅游[话题]# #华欣海滩[话题]# #小众旅行地[话题]# #海边拍照[话题]# #度假[话题]# #治愈系[话题]# #周末去哪儿[话题]#  #泰国自由行[话题]#",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,交通服务,华欣火车站,火车站,Hua Hin Railway Station,华欣市区；华欣区,城际交通/到达离开,8,20260831小红书点点AI增量采集,"https://www.xiaohongshu.com/explore/6a7ca0ad0000000025014a02?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69d083ee000000001a0279be?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68efa9f700000000070310ca?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69888aee0000000015021a13?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69c0d5bd000000001e00e743?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：🏝️华欣隐藏宝藏｜爱与希望之宫🏰打卡攻略
正文：华欣火车站安排在同一天路线

「2*混合贴」
标题：曼谷周边3h直达，🇹🇭皇室私藏的海滨小城！
正文：📍打卡首站：华欣火车站🚂
全泰国最古老的火车站之一
红白配色＋维多利亚建筑+泰式风格
拍照一秒穿越上世纪旧时光🚂
火车经过时随手一拍都是电影画面
建议下了火车直接打卡！📷
不坐火车也值得专门去喔～

「3*混合贴」
标题：🌴 华欣慢游指南
正文：2️⃣ 华欣火车站 · 穿越回1911年
泰国最古老的火车站之一，红白相间的木质建筑，复古又上镜。现在车站已停止运营，但依然保留着原来的样貌，适合拍一组“假装在过往”的纪念照。

「4*混合贴」
标题：泰兰德🇹🇭曼谷+华欣7天6晚亲子游攻略
正文：2⃣️曼谷-丹嫩沙多水市场-华欣火车站-华欣夜市

「5*混合贴」
标题：给我7天时间，玩遍泰国华欣（旅游攻略）
正文：1. 华欣火车站，复古火车站+全新火车站，很出片，适合女生拍照打卡。4.5星
2. Hua Hin夜市，很多人，很热闹，很多逛的，也有很多吃的。4.5星

第三天：骑摩托车前往",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,交通服务,华欣汽车站,汽车与巴士站,Hua Hin Bus Terminal,华欣区,城际交通/到达离开,0,20260831小红书点点AI增量采集,,,小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,交通服务,曼谷阿皮瓦中央车站,新火车站,Krung Thep Aphiwat Central Terminal,MRT蓝线Chatuchak Park附近,适合乘坐空调火车,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/6a8ff731000000001f01f5e6?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：泰国华欣攻略
正文：1） 去程：从巴吞他尼的future park（图3）出发，坐小巴车到MRT蓝线chatuchak park（大约40分钟，35B，见图4），再坐摩托去Krung ThepAphiwat Central Terminal阿皮瓦曼谷中央车站（图5，花费30铢）。然后，曼谷阿皮瓦中央车站坐171次火车到达华欣 （Hua Hin，见图6，94铢）。
2） 返程：从华欣坐大巴（308铢）到曼谷BTS mo-chit站（挨着MRT chuduchuk站的），这里有直达future park的小巴车（35B），然后到了future park。",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
北碧府,交通服务,北碧府巴士总站,汽车与巴士站,Kanchanaburi Bus Terminal,桂河,城际交通/到达离开,3,20260831小红书点点AI增量采集,"https://www.xiaohongshu.com/explore/6a6c8d58000000003300bc55?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69b7c04d000000002200e73b?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6e97810000000002003c00?xsec_token_redacted=1&xsec_source=pc_dots","「1」
标题：🇹🇭🇲🇲泰缅边境解锁泰国最美铁路
正文：在泰国北碧府存在着一段绝美又残忍的悬崖铁路——死亡铁路（泰缅铁路），在建设过程中有大约10万名劳工不幸丧生。如今该条铁路的缅甸段早已荒废，而泰国北碧府境内的临崖路段则成了世界各国游客旅行的小众目的地。如果有一到两天的时间，不妨从曼谷出发，搭乘怀旧的风扇慢火车解锁一趟有趣的铁路旅行。
以下是游玩建议：
DAY1️⃣：早上7点45分前往Thon Buri火车站乘坐257次列车出发，车站很小到了就能直接上车，不用提前太久到车站，也不需要提前买票，列车员在车上检票时直接买就行，票价统一100泰铢。列车一路穿行在田野之间，风景和乘坐体验都非常棒，10点30左右到达北碧府市区的Kanchanaburi站，在这里不要下车继续乘坐，列车会在11点30左右通过最著名的临崖路段，可以先在车上拍摄列车过桥，随后列车马上到达Thamkra Sae站，在这里下车即可。
下车后可以沿着铁路走上临崖路段的铁路桥，走到图18处的位置后沿蓝色路径下楼梯可以到观景台观景台。13点30分左右返程的258次列车会再次通过临崖路段，在观景台处可以拍到图1和图2，在桥上火车的速度非常缓慢，拍完后可以马上爬楼梯继续拍到图3和图4。随后列车会在拍摄处短暂停车，如果决定当天回曼谷可以直接上车返回，下午17点40左右回到出发车站。如果不着急回曼谷，可以继续在周围转转，下午16点10分左右还会有一趟486次列车可以回到北碧府市区，北碧府市区有一些博物馆和夜市，可以逛逛之后在这里住一晚。
DAY2️⃣：北碧府市区的RIVER KWAI BRIDGE也是一处著名的铁路桥，第二天可以在这里拍摄257次火车过桥（图15-17），大桥可以叫garb前往，也可以10点半在Kanchanaburi站坐一站路到Saphan Kwae Yai站下车进行进行拍摄。
行程结束后返回曼谷有两种方式，一是坐回程的258次火车，发车时间14点40左右，17点40回到Thon Buri站。二是选择大巴车，前往北碧府巴士站（Kanchanaburi Bus Terminal）告诉工作人员去曼谷，会指引到售票处购票，建议选择终点站是Mochit的车，票价150🐷，车程2.5小时左右，大约80分钟一班车，到达Mochit后附近有地铁站可以前往市区。#泰国[话题]#  #北碧府[话题]# #死亡铁路[话题]# #泰缅铁路[话题]#  #米轨[话题]# #绿皮火车[话题]#  #乘着火车去旅行[话题]#   #列车上的风景[话题]#

「2」
标题：极限解锁泰缅边境北碧府一日游攻略
正文：适合临时起意，时间又不多的游客。
特意选的住在华南蓬火车站附近，早上五点半起床，6:25赶到车站，本来还窃喜这下能赶上6:30的车了，一问说去北碧府（Kanchanaburi）只支持线上提前购票，如果即时出发只能到Thonburi火车站，于是又打摩的去Thonburi火车站，到了7:10分左右，买票很方便，寥寥几个人排队，这条线所有站票价均是100铢，买到Nam Tok终点站。旁边有个早市，卖菜、水果、小吃的，很有本地人生活气息，吃了个早餐买了点当地水果酸芒果（长得像枇杷，皮薄多汁，酸酸甜甜味道像野酸枣）。
7:45火车准时到站，上车的人还是比较多的，本地旅游团和散客比较多，建议往后走到黄色木质座椅区，比较清爽。车速不快，类似于公交车一站一停，没有空调但是自然风很大，很清凉#小众国家旅游[话题]# #城市周边游[话题]# 。没买车票没关系，检票员会过来可以补票，车上也有来回走着卖小吃水果水的，价格很便宜，一路的风景很宜人，能见识到截然不同于曼谷的乡村风光。10:30左右到达北碧府市区Kanchanaburi站，注意这里如果仅一日游不要下车，大概11:12分火车经过桂河大桥，是二战时期日军占领泰国边境后，为了给缅甸提供军事补给，由当地劳工和战俘修建，包括后面的“死亡铁路”415公里，该工程仅耗时18个月造成10-15万劳工和战俘丧生。不过在桂河大桥建议先不下车，感受下列车经过大桥的壮观，下面很多游客会挥手致意。
列车继续前进约11:22分到达“死亡铁路”起点，11:40左右到终点，这里可以下车了，列车走了之后可以走到铁路上感受一下悬崖铁路的壮观，旁边有个岩洞免费参观，本地人会在里面拜佛，旁边有个沿河餐馆和商业街卖衣服纪念品，如果在这里吃午饭一定要尽早点餐，人很多，可能怕还没上菜车回来了。13:25的时候Nam Tok回来的车又会经过死亡铁路岩洞这里，停车时间很短一路小跑上车坐下，售票员会在车上补票。14:35左右列车会再次经过桂河大桥，这时可以下车玩一下了，但当天就再没有火车回曼谷了，桥上玩完还可以到死亡铁路博物馆战俘公墓，门票成人170铢送一杯速溶咖啡。这时候就可以打车去北碧府汽车站（Kanchanaburi bus terminal)坐车回曼谷了,有直接到Mochit站蓝线的可以选，票价120铢。车程约2.5h，下车可步行到乍都乍市场。#泰国旅行[话题]#

「3」
标题：愛侶灣國家公園 ｜北碧府旅遊
正文：愛侶灣國家公園—7層絕美瀑布
🚌巴士：單程80泰銖(現場買票.準時發車)
🗺️搭乘地點：Kanchanaburi Bus Terminal或是Kanchanaburi火車站對面轉角處(圖2.無站牌)，從巴士總站到火車站車程約10分鐘，這站上車再付錢即可
⛰️國家公園門票：300泰銖/外國人
💰額外費用：搭小車進入(圖4).租救生衣20泰銖.第三層寶特瓶押金20泰銖(可退).可免費寄食物及簡易行李
🎒物品：防水包.好走的涼鞋或溯溪鞋.換洗衣物.毛巾.環保瓶.防蚊液.點心

進入國家公園後走一小段抵達瀑布區(也可選擇搭小車)，路途很輕鬆就當散步，一路登頂後再慢慢玩下來，水池大的都可以下去玩玩看，一下水會有很多魚游過來吃腳皮。搭的是最後一班車，提前抵達避開站票。",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
北碧府,交通服务,北碧府汽车站,巴士站,Kanchanaburi Transportation,市区,巴士到达/离开游客,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：全网首发，泰国北碧府3天2夜自助游攻略
正文：Kanchanaburi Transportation（北碧府汽车站）
Srifah Bakery Shop（古早蛋糕房）",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
北碧府,交通服务,北碧火车站,火车站,Kanchanaburi Station,市区,火车到达/离开游客,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/67e40184000000001d018e56?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：🇹🇭北碧府四天三夜背包旅行攻略—P1
正文：到达站：北碧火车站（Kanchanaburi Station)
前往酒店: Grab打车或步行",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
北碧府,交通服务,桂河大桥站,火车站,Saphan Kwae Yai Station,桂河大桥旁,死亡铁路游客,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/6a843ae000000000250002fa?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：北碧府tips
正文：🚊下午班车：约 14:30左右（P10）桂河大桥站发车（直接上车

💰价格：",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
北碧府,交通服务,甲赛站,火车站,Tham Krasae Station,死亡铁路悬崖段,摄影游客,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/6a648900000000000100f5bc?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：花200泰铢，坐上泰国最美铁路！
正文：11:36 到达 Tham Krasae（甲赛站）",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
北碧府,交通服务,曼谷南部巴士总站,巴士站,Sai Tai Mai Bus Terminal,吞武里区,巴士前往北碧游客,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
正文：去程坐巴士，不用卡火车时刻。曼谷南部巴士总站（
Day 2：爱侣瀑布半日游
JJ Night Market Kanchanaburi对马路的711超市门口，坐蓝色巴士，直达📌Erawan Water Fall，车程约1.5小时，单程车费80泰铢，尽量赶早去吧（例如09:40班次）。爱侣瀑布共7层，建议直接先到第七层再逐层往下逛，可以直接穿运动鞋徒步，下水玩的话鞋子脱一边就行了，救生衣只能在一层租赁（20泰铢/2小时）。
回程末班车约16:30，提前候车不然没有座位。💰爱侣瀑布，外国人门票300泰铢
Day 3：死亡铁路悬崖段→曼谷
坐10:30火车去Tham Kra Sae段，体验贴着悬崖行驶的“死亡铁路”。去程靠左，回程靠右才能看到悬崖景观。下午13:28火车直达曼谷吞武里站(Thon Buri)💰票价约100泰铢，可上车买票。",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
