业务类别,数据类型,记录数,统计口径与状态,数据来源渠道,交付文件,交付批次,交付整理时间UTC,上游来源文件
景点,地点主数据,766,正式整理副本,Google Maps／Google Places历史数据,01_景点/01_地点主数据/地点总表.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,01_景点/01_地点主数据/地点总表.csv
酒店住宿,地点主数据,1273,正式整理副本,Google Maps／Google Places历史数据,02_酒店住宿/01_地点主数据/地点总表.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,02_酒店住宿/01_地点主数据/地点总表.csv
美食餐饮,地点主数据,3158,历史合并整理版,Google Places API (New),03_美食餐饮/01_地点主数据/地点总表.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,03_美食餐饮/01_地点主数据/地点总表.csv
全部核心POI,地点主数据合计,5197,待完成跨业务实体核验,多渠道,三类业务地点主表,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,三类业务地点主表
景点,历史评论样例,1708,历史样例,Google Places API／Google Maps评论,01_景点/04_评论样例/历史评论样例.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,01_景点/04_评论样例/历史评论样例.csv
酒店住宿,历史评论样例,2172,历史样例,Google Places API／Google Maps评论,02_酒店住宿/04_评论样例/历史评论样例.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,02_酒店住宿/04_评论样例/历史评论样例.csv
美食餐饮,历史评论样例,3258,历史样例,Google Places API／Google Maps评论,03_美食餐饮/03_评论样例/历史评论样例.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,03_美食餐饮/03_评论样例/历史评论样例.csv
景点,历史票券报价,166,历史报价快照,Google Maps Things to Do及供应商,01_景点/03_票券报价/历史票券报价.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,01_景点/03_票券报价/历史票券报价.csv
酒店住宿,历史酒店报价,482,历史报价快照,Google Travel及供应商,02_酒店住宿/03_酒店报价/历史酒店报价.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,02_酒店住宿/03_酒店报价/历史酒店报价.csv
美食餐饮,历史价格数据,0,本批次无价格记录,Google Places API (New),03_美食餐饮/05_价格数据/历史价格数据.csv,曼谷城市知识图谱_POI数据_20260906,2026-09-06T16:15:16.419110+00:00,03_美食餐饮/05_价格数据/历史价格数据.csv
