指标分类,指标名称,指标值,单位,阈值,结果,说明,采集批次ID
规模,酒店总数,1273,家,1273,通过,当前曼谷酒店主数据,20260907-003922-csv-f52bd5d0
分层,S级酒店数,100,家,100,通过,按评价数量、评分、ID稳定排序,20260907-003922-csv-f52bd5d0
分层,A级酒店数,400,家,400,通过,S级之后的400家,20260907-003922-csv-f52bd5d0
分层,B级酒店数,773,家,773,通过,其余长尾酒店,20260907-003922-csv-f52bd5d0
平台,原始平台关系数,6014,条,与上游一致,通过,严格四列、仅清理酒店ID前缀,20260907-003922-csv-f52bd5d0
平台,关系审计通过数,6014,条,无硬编码,信息,异常记录保留，不静默删除,20260907-003922-csv-f52bd5d0
平台,标准平台数,67,个,>=平台洞察去重数,信息,包含官网IBE与实时新增别名,20260907-003922-csv-f52bd5d0
身份,平台身份卡数,6014,条,无硬编码,信息,按酒店+标准平台选择最佳URL候选,20260907-003922-csv-f52bd5d0
身份,T1身份数,774,条,无硬编码,信息,仅结构与可达性；身份指纹仍待核验,20260907-003922-csv-f52bd5d0
快照,房型快照数,230,条,无硬编码,信息,按记录哈希去重追加,20260907-003922-csv-f52bd5d0
快照,售卖方案快照数,326,条,无硬编码,信息,当前均未自动确认含税与计价单位,20260907-003922-csv-f52bd5d0
门禁,可比售卖方案数,0,条,当前阶段=0,通过,未经T4不得进入比价,20260907-003922-csv-f52bd5d0
门禁,T4关系数,0,条,当前阶段=0,通过,流水线禁止自动授予T4,20260907-003922-csv-f52bd5d0
门禁,达到3家T3样本的平台数,3,个,进入平台级T4前>=1,信息,仍须完成2日期×2独立会话人工审核,20260907-003922-csv-f52bd5d0
异常,P0异常数,183,条,必须隔离,信息,搜索卡片、政策标题、已知误采平台及外键异常,20260907-003922-csv-f52bd5d0
调度,精确采集计划任务数,9550,条,按S/A/B策略,信息,只生成任务CSV，不在本流水线直接访问平台,20260907-003922-csv-f52bd5d0
调度,当前可执行任务数,94,条,仅T1身份,信息,未满足身份条件的任务保留为待补身份,20260907-003922-csv-f52bd5d0
