主题,字段/规则,说明
主表边界,本地景点,携程目的地 ID 为 191，非限时活动/特色体验合集；常设演艺/游船产品在实体类型中单列。
地理口径,范围分类/核验依据,依赖携程目的地 ID 与周边标记；地址出现外府名称或列表/详情归属冲突时单列待核验，不等同于行政边界测绘。
景点标识,景点POI_ID、详情业务ID,两个 ID 不一定相等。按 POI_ID 去重，使用来源卡片提供的详情 URL，并校验详情主体 ID。
评分,携程评分、列表评分、详情评分,5 分制；空值代表未提供/无评分，不用 0 填补。存在合法详情值时采用详情值，并保留列表值与来源。
点评,精确点评数,读取主体 commentCount，不使用页面万/w缩写或当前点评子集 commentTotalCount。真实 0 条点评保留 0。
热度,热度（非评分）,热度为独立字段，不可当成游客评分或与 5 分制评分合并。
价格,价格快照,采集时中文列表展示起价或免费标记，不是指定游玩日期的结算价；只有 isFree=true 才代表免费。
币种,页面货币符号、币种代码,保留页面提供的信息。未给 ISO 币种代码时留空，不将 ¥ 自动写成泰铢，也未进行汇率换算。
名称,泰文名、英文名,仅保存源页面实际提供的名称；本地副标题含泰文字符才进入泰文名，不机器翻译。
时间,采集时间（UTC）,Excel/CSV 统一显示 UTC；原 JSON 保存带原时区偏移的 ISO 8601 时间。营业时间为网站原文，可能含特殊日期规则。
坐标,经纬度、原坐标系、坐标来源URL,仅使用列表主体坐标并保留原坐标系，未做坐标转换；不拿详情里的周边推荐坐标填充主体。
状态,ok / pending / skipped / failed,依次为详情已通过校验、未尝试详情、没有可合规访问的详情 URL、尝试失败。周边/活动默认不补详情。
完整性,首批数据，不代表全量,只采配置的列表页；站点 totalCount=3000 与 totalCountDesc=1万+ 不代表本批条数或行政区覆盖率。
数据最小化,不采集的内容,不采点评正文、评论用户、长篇景点介绍、登录 Cookie，不下载图片；图片仅保留公开链接。
安全,公开 HTML / robots / 限速,先读取 robots；单线程限速，403/429/登录/验证即停；无私有接口、代理轮换或验证码绕过。
更新,JSON 为可续采数据，表格为导出快照,继续运行采集器会更新 JSON。再次生成 Excel/CSV 前应等待采集结束，并重新导出。
