问题ID,优先级,主题,区域,信息目标,问题,交叉验证次数,备注,问题来源
GYTRAVEL-HV-20260916-0001,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“黔大叔大牌档(甲秀楼店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：黔大叔大牌档(甲秀楼店)；业务类型为餐饮美食；行政区为南明区；参考地址为富水南路186号泰祥国际B1层。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“黔大叔大牌档(甲秀楼店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_4039cbf8-f08b-4ae2-8442-36c87f234d8a；score=94.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0002,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“8号花园餐厅(甲秀楼店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：8号花园餐厅(甲秀楼店)；业务类型为餐饮美食；行政区为南明区；参考地址为中南社区服务中心阳明路8号公馆4楼。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“8号花园餐厅(甲秀楼店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_6ff1be14-40bd-4679-9032-99dc77f90812；score=92.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0003,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“李兰英胖姨妈粉面店(护国路店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：李兰英胖姨妈粉面店(护国路店)；业务类型为餐饮美食；行政区为南明区；参考地址为护国路151号。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“李兰英胖姨妈粉面店(护国路店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_e5387afd-85f0-4cab-8629-974318135888；score=92.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0004,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“花园烧烤”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：花园烧烤；业务类型为餐饮美食；行政区为南明区；参考地址为下护国路ABC栋负二层。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“花园烧烤”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_15f21042-41cd-4a8d-8b41-343317c2daf3；score=92.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0005,P0,餐饮美食-标准POI精确证据核实,花溪区,核实标准实体“西街食府(青岩古镇店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：西街食府(青岩古镇店)；业务类型为餐饮美食；行政区为花溪区；参考地址为青岩古镇西街村四组36A号。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：花溪区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“西街食府(青岩古镇店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_87c2bc2a-d2f5-4851-9b9c-49f2d69c10e7；score=92.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0006,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“大虎老火锅(博爱路店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：大虎老火锅(博爱路店)；业务类型为餐饮美食；行政区为南明区；参考地址为博爱路31号(豪客来旁)。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“大虎老火锅(博爱路店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_3d5ad18d-0e1a-4f7c-91e7-6c7911b1be21；score=91.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0007,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“姜JIANG'S餐厅(南浦路店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：姜JIANG'S餐厅(南浦路店)；业务类型为餐饮美食；行政区为南明区；参考地址为东新区路63号昱华金果园1幢负1层1号。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“姜JIANG'S餐厅(南浦路店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_73045659-c439-4354-9272-521a6dc84596；score=91.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0008,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“毛辣果虾酸牛肉(甲秀楼店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：毛辣果虾酸牛肉(甲秀楼店)；业务类型为餐饮美食；行政区为南明区；参考地址为护国路180号2层2单元2号。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“毛辣果虾酸牛肉(甲秀楼店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_53bbe12f-08cf-463c-85da-b5c3b5978159；score=91.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0009,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“煮意现舂鲜货火锅(南浦路店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：煮意现舂鲜货火锅(南浦路店)；业务类型为餐饮美食；行政区为南明区；参考地址为南浦路17号(鲤精膳旁边)。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“煮意现舂鲜货火锅(南浦路店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_5ed05f5c-2152-4a67-a714-f3e80775eef6；score=91.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
GYTRAVEL-HV-20260916-0010,P0,餐饮美食-标准POI精确证据核实,南明区,核实标准实体“兴隆餐馆(兴隆街店)”近24个月小红书直接体验来源，并严格区分同名和分店,这是独立的贵州省贵阳市高价值 POI 小红书证据核实任务，与前面问题无关。本题只核实一个标准实体：兴隆餐馆(兴隆街店)；业务类型为餐饮美食；行政区为南明区；参考地址为新华社区服务中心兴隆街米市巷。请只依据近24个月来贵阳旅游的中国大陆游客发布的小红书真实到访笔记和实拍内容；证据不足时可放宽到36个月并明确说明，不足勿凑数，不设最低数量。只接受标题或正文能够直接指向该实体的帖子；同品牌不同分店必须依靠完整分店名、地址、商圈或附近地标区分，无法确认具体分店时写未确认，不得把品牌其他分店或同名地点的帖子归入本实体。只核实地图可定位、具有固定运营地址或稳定边界的这个实体，不要扩展推荐其他同类地点。第一行原样保留点点 AI 页面显示的“搜索并总结N人真实经验”“搜索并总结N篇笔记生成”或“ai总结N篇笔记生成”证据标记；第二行原样写“核实范围：南明区”。若存在可核实来源，只输出该实体一行，严格使用：POI名称｜外文/地图名｜POI业务类型｜POI细分类型｜行政区｜地理位置描述｜游客需求场景｜证据强度。POI名称必须对应“兴隆餐馆(兴隆街店)”，POI业务类型必须写“餐饮美食”。没有来源依据的字段写未确认；不得凭名称、常识或地图资料补写小红书体验，不得用点赞量代表独立笔记数或热度。如果没有任何可打开且正文直接提及该实体的小红书来源，请明确写“未发现可核实小红书来源”，不要生成实体行。最后单独列出疑似关闭、搬迁、改名、同名或分店混淆风险；没有可靠来源则写未确认。,1,graphId=food_af31d179-da81-4383-ba18-932c75f2bc06；score=90.0；existingEvidence=0；target=补齐首条直接体验证据,现行图谱高价值POI分层补采
